Biomarker_HGNC,TargetGene_HGNC
AKT2,FZR1
MECOM,ACTR3
EZH2,TMED2
FH,ATXN7L3
FH,FBXW11
FH,MAEA
FH,SOX17
FH,SUPT7L
FH,TXNRD1
FH,VPS4B
FKBP4,DCLRE1B
FKBP4,TOE1
NCBP2,LIN54
NCBP2,MIOS
ERC1,DCLRE1B
ERC1,RPL28
SIPA1L3,DDX39B
SIPA1L3,FZR1
SIPA1L3,LRFN1
SIPA1L3,TIMM17A
RFX5,ARHGAP29
RFX5,RAC1
RFX5,TRAF2
RFX5,VEZF1
RFX5,WT1
RFX5,WWTR1
EFR3A,E2F3
ATP11B,MIOS
ACAP2,ACTR3
UBN2,TMED2
NAALADL2,CCND1
NAALADL2,RAF1
PIK3CB,MYBL2
PIK3CB,TIMM17A
WWTR1,SNAP23
WWTR1,TIMM17A
UBXN7,LIN54
UBXN7,MIOS
LSM14A,PAX8
FBXL6,ESF1
ZC3HC1,YTHDC1
AGO2,NHLRC2
GOLIM4,ACTR3
ALG8,TIMM17A
ALG8,TOE1
AAMDC,TIMM17A
AAMDC,TOE1
C8orf33,ESF1
REPIN1,TMED2
HLTF,TIMM17A
ANXA9,ARHGAP29
ANXA9,RAC1
ANXA9,SAMD4B
ANXA9,TRAF2
ANXA9,VEZF1
ANXA9,WT1
ANXA9,WWTR1
DGAT1,ZFP36L1
PDCD5,ARID2
PDCD5,PARD6B
PDCD5,PAX8
LDHB,PFDN1
MATN2,NELFB
C8orf82,ESF1
MMP7,POLR2M
ASPH,KRAS
MTR,CCNE1
MTR,CIT
MTR,YTHDC1
NDUFB9,XRCC2
OPA1,LIN54
OPA1,MIOS
GOLT1B,PFDN1
DESI2,CIT
DESI2,PARD6B
DESI2,SKP2
DESI2,WDR26
ERGIC2,SNAP23
RSRC1,MIOS
PCF11,POLR2M
RAP2B,SNAP23
RAP2B,TIMM17A
RSF1,TIMM17A
RSF1,TOE1
PEPD,PARD6B
PEPD,PAX8
PIK3CA,MIOS
PLSCR1,TIMM17A
XRN1,MIOS
ESRP1,KRAS
ESRP1,METAP1
CHCHD3,YTHDC1
PPP1R2,ACTR3
PPP1R2,MIOS
GPATCH1,ARID2
GPATCH1,PARD6B
GPATCH1,PAX8
MED29,FZR1
CCDC91,SNAP23
ETNK1,SNAP23
RBM38,ARID2
CHD7,CDK4
CHD7,KRAS
CHD7,METAP1
CHD7,SCD
ITFG2,TOE1
CCNL1,MIOS
RASA2,MIOS
RASA2,SNAP23
EXOC4,YTHDC1
BDH1,MIOS
BICD1,SNAP23
SDHA,ZDHHC11
GOLPH3,PAX8
GOLPH3,UBE2H
TFB2M,ARPC2
TFB2M,ATXN7L3
TFB2M,FBXW11
TFB2M,XPR1
NOM1,DNM1L
NOM1,TMED2
NOM1,YTHDC1
SMYD3,ARPC2
SMYD3,ATXN7L3
SMYD3,FBXW11
SMYD3,MAEA
SMYD3,SOX17
SMYD3,VPS4B
FNDC3B,MIOS
ST6GAL1,MIOS
ST3GAL1,E2F3
WNK1,RPL28
SUPT5H,FZR1
UBE2H,YTHDC1
UVRAG,APC
UVRAG,MPHOSPH6
UVRAG,RICTOR
UVRAG,TOMM20
UVRAG,ZNF780B
PPFIBP1,PFDN1
PPFIBP1,SNAP23
RHPN2,PAX8
GFM1,LIN54
CCNE1,CCNE1
TNFSF10,MIOS
TIMM50,FZR1
PDIA4,TMED2
GAB2,PAX8
GAB2,TIMM17A
GAB2,TOE1
