Biomarker_HGNC,TargetGene_HGNC
AAMDC,TIMM17A
AAMDC,TOE1
ACAP2,ACTR3
ADCK5,ESF1
AGO2,NHLRC2
AHCTF1,VPS4B
AKT2,FZR1
ALG8,TIMM17A
ALG8,TOE1
ANXA9,ARHGAP29
ANXA9,RAC1
ANXA9,SAMD4B
ANXA9,TRAF2
ANXA9,VEZF1
ANXA9,WT1
ANXA9,WWTR1
ARFGEF1,KRAS
ARFGEF1,PDCD2
ASPH,KRAS
ATP11B,MIOS
BDH1,MIOS
BICD1,SNAP23
C8orf33,ESF1
C8orf82,ESF1
CCDC127,ZDHHC11
CCDC91,SNAP23
CCNE1,CCNE1
CCNL1,MIOS
CDH6,PAX8
CDH6,UBE2H
CHCHD3,YTHDC1
CHD7,CDK4
CHD7,KRAS
CHD7,METAP1
CHD7,SCD
CLNS1A,TIMM17A
CLNS1A,TOE1
COX20,CCNE1
COX20,CIT
COX20,PARD6B
COX20,SKP2
COX20,WDR26
DESI2,CIT
DESI2,PARD6B
DESI2,SKP2
DESI2,WDR26
DGAT1,ZFP36L1
DHX36,MIOS
DNM1L,SNAP23
ECT2,MIOS
EFR3A,E2F3
EIF4G1,MIOS
ERC1,DCLRE1B
ERC1,RPL28
ERGIC2,SNAP23
ESRP1,KRAS
ESRP1,METAP1
ETNK1,SNAP23
EXOC4,YTHDC1
EZH2,TMED2
FBXL6,ESF1
FGD4,PDS5B
FH,ATXN7L3
FH,FBXW11
FH,MAEA
FH,SOX17
FH,SUPT7L
FH,TXNRD1
FH,VPS4B
FKBP4,DCLRE1B
FKBP4,TOE1
FNDC3B,MIOS
GAB2,PAX8
GAB2,TIMM17A
GAB2,TOE1
GFM1,LIN54
GOLIM4,ACTR3
GOLPH3,PAX8
GOLPH3,UBE2H
GOLT1B,PFDN1
GPATCH1,ARID2
GPATCH1,PARD6B
GPATCH1,PAX8
HLTF,TIMM17A
IGF2BP2,MIOS
IL1RAP,LIN54
IL1RAP,MIOS
IPO8,SNAP23
ITFG2,TOE1
LDHB,PFDN1
LSM14A,PAX8
MATN2,NELFB
MECOM,ACTR3
MED29,FZR1
MFSD3,ESF1
MMP7,POLR2M
MTR,CCNE1
MTR,CIT
MTR,YTHDC1
NAALADL2,CCND1
NAALADL2,RAF1
NCBP2,LIN54
NCBP2,MIOS
NCOA2,KRAS
NCOA2,NELFB
NCOA2,PDCD2
NDRG1,E2F3
NDUFB9,XRCC2
NOM1,DNM1L
NOM1,TMED2
NOM1,YTHDC1
OPA1,LIN54
OPA1,MIOS
PAK4,DDX39B
PAK4,FZR1
PAK4,LRFN1
PAK4,TIMM17A
PCF11,POLR2M
PDCD5,ARID2
PDCD5,PARD6B
PDCD5,PAX8
PDIA4,TMED2
PEPD,PARD6B
PEPD,PAX8
PIK3CA,MIOS
PIK3CB,MYBL2
PIK3CB,TIMM17A
PLSCR1,TIMM17A
PPFIBP1,PFDN1
PPFIBP1,SNAP23
PPP1R2,ACTR3
PPP1R2,MIOS
PSMD8,DDX39B
PSMD8,FZR1
PSMD8,LRFN1
PSMD8,TIMM17A
RAP2B,SNAP23
RAP2B,TIMM17A
RASA2,MIOS
RASA2,SNAP23
RBM38,ARID2
REPIN1,TMED2
RFX5,ARHGAP29
RFX5,RAC1
RFX5,TRAF2
RFX5,VEZF1
RFX5,WT1
RFX5,WWTR1
RHPN2,PAX8
RSF1,TIMM17A
RSF1,TOE1
RSRC1,MIOS
SDHA,ZDHHC11
SIPA1L3,DDX39B
SIPA1L3,FZR1
SIPA1L3,LRFN1
SIPA1L3,TIMM17A
SMC4,LIN54
SMC4,MIOS
SMYD3,ARPC2
SMYD3,ATXN7L3
SMYD3,FBXW11
SMYD3,MAEA
SMYD3,SOX17
SMYD3,VPS4B
SPINT2,DDX39B
SPINT2,FZR1
SPINT2,LRFN1
SPINT2,TIMM17A
ST3GAL1,E2F3
ST6GAL1,MIOS
SUB1,PAX8
SUB1,UBE2H
SUPT5H,FZR1
TFB2M,ARPC2
TFB2M,ATXN7L3
TFB2M,FBXW11
TFB2M,XPR1
TGS1,WDR48
TIMM50,FZR1
TNFSF10,MIOS
TRA2B,MIOS
UBE2H,YTHDC1
UBN2,TMED2
UBXN7,LIN54
UBXN7,MIOS
UVRAG,APC
UVRAG,MPHOSPH6
UVRAG,RICTOR
UVRAG,TOMM20
UVRAG,ZNF780B
WNK1,RPL28
WWTR1,SNAP23
WWTR1,TIMM17A
XRN1,MIOS
ZC3HC1,YTHDC1
