BiomarkerCluster_HGNC,TargetGene_HGNC
"CDH6, C5orf22",PAX8
"CDH6, C5orf22",UBE2H
"SMC4, KPNA4, NMD3, B3GALNT1",LIN54
"DNM1L, YARS2, PKP2",SNAP23
"ALYREF, SLC25A10, ARHGDIA, P4HB, DCXR, PYCR1, PCYT2, ASPSCR1, HGS",CARS2
"ALG3, DVL3, EHHADH, EIF4G1, EPHB3, POLR2H, ABCF3, PARL, PSMD2, EIF2B5, ECE2",MIOS
"CDKN1B, HEBP1, DDX47",RPL28
"PAK4, SIRT2, NFKBIB, MRPS12",DDX39B
"PAK4, SIRT2, NFKBIB, MRPS12",FZR1
"PAK4, SIRT2, NFKBIB, MRPS12",LRFN1
"PAK4, SIRT2, NFKBIB, MRPS12",TIMM17A
NDRG1,E2F3
"YAP1, BIRC2, MMP7",POLR2M
"NCOA2, TRAM1, LACTB2",NELFB
"NCOA2, TRAM1, LACTB2",PDCD2
IPO8,SNAP23
ARFGEF1,KRAS
ARFGEF1,PDCD2
IGF2BP2,MIOS
"SPINT2, C19orf33, YIF1B, PPP1R14A",DDX39B
"SPINT2, C19orf33, YIF1B, PPP1R14A",FZR1
"SPINT2, C19orf33, YIF1B, PPP1R14A",LRFN1
"SPINT2, C19orf33, YIF1B, PPP1R14A",TIMM17A
"SUB1, DNAJC21, RAI14, ZFR, MTMR12",PAX8
"SUB1, DNAJC21, RAI14, ZFR, MTMR12",UBE2H
SMIM12,PAX8
SMIM12,RICTOR
MFSD3,ESF1
"OSBPL11, ZNF148",FAM98C
"OSBPL11, ZNF148",MYBL2
"OSBPL11, ZNF148",RICTOR
"OSBPL11, ZNF148",TIMM17A
"OSBPL11, ZNF148",TOE1
PCMTD1,METAP1
COX20,CCNE1
COX20,CIT
COX20,PARD6B
COX20,SKP2
"COMTD1, VDAC2, ZNF503",DPRX
"COMTD1, VDAC2, ZNF503",PIK3R1
CLNS1A,TIMM17A
CLNS1A,TOE1
FGD4,PDS5B
CCDC127,ZDHHC11
"TMEM68, TGS1",WDR48
CSTF1,ARID2
"CCDC50, IL1RAP, LPP",LIN54
"CCDC50, IL1RAP, LPP",MIOS
"CTSZ, GNAS, RAB22A, NPEPL1, TUBB1, STX16, VAPB",ARID2
"CNST, AHCTF1, SCCPDH",VPS4B
"ZNF800, ARF5, GCC1",YTHDC1
DHX36,MIOS
"ECH1, EIF3K, HNRNPL, LGALS7, PSMD8, ACTN4",DDX39B
"ECH1, EIF3K, HNRNPL, LGALS7, PSMD8, ACTN4",FZR1
"ECH1, EIF3K, HNRNPL, LGALS7, PSMD8, ACTN4",LRFN1
"ECH1, EIF3K, HNRNPL, LGALS7, PSMD8, ACTN4",TIMM17A
"ECT2, NCEH1",MIOS
"EIF4A2, DNAJB11, RFC4, TRA2B",MIOS
ADCK5,ESF1
"AKT2, PSMC4, FCGBP, DYRK1B",FZR1
MECOM,ACTR3
"EVPL, SRP68",TOE1
"EZH2, CUL1",TMED2
FH,ATXN7L3
FH,FBXW11
FH,MAEA
FH,SOX17
FH,SUPT7L
FH,TXNRD1
FH,VPS4B
FKBP4,DCLRE1B
FKBP4,TOE1
"NCBP2, PAK2, PIGX",LIN54
"NCBP2, PAK2, PIGX",MIOS
"TBC1D9B, MAPK9, ZFP62, SQSTM1",MMGT1
"TBC1D9B, MAPK9, ZFP62, SQSTM1",TMED2
ERC1,DCLRE1B
ERC1,RPL28
SIPA1L3,DDX39B
SIPA1L3,FZR1
SIPA1L3,LRFN1
SIPA1L3,TIMM17A
"POGZ, PI4KB, CGN, ZNF687, RFX5, SELENBP1",ARHGAP29
"POGZ, PI4KB, CGN, ZNF687, RFX5, SELENBP1",RAC1
"POGZ, PI4KB, CGN, ZNF687, RFX5, SELENBP1",TRAF2
"POGZ, PI4KB, CGN, ZNF687, RFX5, SELENBP1",VEZF1
"POGZ, PI4KB, CGN, ZNF687, RFX5, SELENBP1",WT1
"POGZ, PI4KB, CGN, ZNF687, RFX5, SELENBP1",WWTR1
EFR3A,E2F3
"ATP11B, DCUN1D1, MCCC1",MIOS
"JMJD6, MXRA7, UBE2O, RHBDF2",MPHOSPH6
"JMJD6, MXRA7, UBE2O, RHBDF2",TIMM17A
"JMJD6, MXRA7, UBE2O, RHBDF2",TOE1
"DNAJC13, NCK1, SRPRB, UBA5",MYBL2
"DNAJC13, NCK1, SRPRB, UBA5",TIMM17A
ACAP2,ACTR3
"TNPO3, COPG2, ZC3HC1, CALU",YTHDC1
YTHDF3,KRAS
YTHDF3,RPP25L
UBN2,TMED2
NAALADL2,CCND1
NAALADL2,RAF1
"ARMC8, NMNAT3, DBR1, PIK3CB, FAIM, RBP1, COPB2",MYBL2
"ARMC8, NMNAT3, DBR1, PIK3CB, FAIM, RBP1, COPB2",TIMM17A
"WWTR1, TM4SF1, COMMD2",SNAP23
"WWTR1, TM4SF1, COMMD2",TIMM17A
"UBXN7, PCYT1A, TFRC",LIN54
"UBXN7, PCYT1A, TFRC",MIOS
LSM14A,PAX8
FBXL6,ESF1
STAU2,METAP1
STAU2,NELFB
STAU2,PDCD2
AGO2,NHLRC2
GOLIM4,ACTR3
"KCTD21, ALG8",TIMM17A
"KCTD21, ALG8",TOE1
AAMDC,TIMM17A
AAMDC,TOE1
"COMMD5, C8orf33",ESF1
"REPIN1, NUB1",TMED2
"GYG1, HLTF",TIMM17A
"CERS2, ANXA9",ARHGAP29
"CERS2, ANXA9",RAC1
"CERS2, ANXA9",SAMD4B
"CERS2, ANXA9",TRAF2
"CERS2, ANXA9",VEZF1
"CERS2, ANXA9",WT1
"CERS2, ANXA9",WWTR1
"IMPA1, ZFAND1",NELFB
"NUDT19, ANKRD27, PDCD5",ARID2
"NUDT19, ANKRD27, PDCD5",PARD6B
"NUDT19, ANKRD27, PDCD5",PAX8
LDHB,PFDN1
MATN2,NELFB
"C8orf82, LRRC14",ESF1
MTR,CIT
MTR,YTHDC1
NDUFB9,XRCC2
"OPA1, LSG1, ATP13A3",LIN54
"OPA1, LSG1, ATP13A3",MIOS
"GOLT1B, RECQL, PYROXD1",PFDN1
DESI2,CIT
DESI2,PARD6B
DESI2,SKP2
DESI2,WDR26
ERGIC2,SNAP23
RSRC1,MIOS
"ESF1, PLCB4, NDUFAF5",DNM1L
PCF11,POLR2M
"SELENOT, RAP2B",TIMM17A
"WBP11, ATF7IP",RPL28
RSF1,TIMM17A
RSF1,TOE1
PEPD,PARD6B
PEPD,PAX8
"PIK3CA, MFN1, FXR1, ACTL6A",MIOS
PLSCR1,TIMM17A
XRN1,MIOS
ESRP1,METAP1
CHCHD3,YTHDC1
TMEM70,NELFB
PPP1R2,ACTR3
PPP1R2,MIOS
PPP1R3D,ARID2
GPATCH1,ARID2
GPATCH1,PARD6B
GPATCH1,PAX8
"SAMD4B, MED29",FZR1
ARMC1,NELFB
CCDC91,SNAP23
ETNK1,SNAP23
RBM38,ARID2
CDV3,MYBL2
CDV3,TIMM17A
CHD7,CDK4
CHD7,KRAS
CHD7,METAP1
CHD7,SCD
DNAJC11,PAX8
DNAJC11,RICTOR
ITFG2,TOE1
PRPSAP1,MYBL2
PRPSAP1,TIMM17A
"CCNL1, PTX3, GMPS, SLC33A1",MIOS
RASA2,MIOS
EXOC4,YTHDC1
"BDH1, FYTTD1, LRCH3",MIOS
BICD1,SNAP23
SDHA,ZDHHC11
GOLPH3,PAX8
GOLPH3,UBE2H
TFB2M,ARPC2
TFB2M,ATXN7L3
TFB2M,FBXW11
TFB2M,XPR1
NOM1,DNM1L
NOM1,TMED2
NOM1,YTHDC1
BLVRB,CCNE1
BLVRB,DDX39B
BLVRB,FZR1
BLVRB,TIMM17A
SMYD3,ARPC2
SMYD3,ATXN7L3
SMYD3,FBXW11
SMYD3,MAEA
SMYD3,SOX17
SMYD3,VPS4B
FNDC3B,MIOS
ST6GAL1,MIOS
ST3GAL1,E2F3
WNK1,RPL28
ZBTB10,ACTR1A
ZBTB10,CCND1
ZBTB10,RPP25L
ZBTB10,SCD
SUPT5H,FZR1
"TK1, SYNGR2, PGS1",TOE1
"TK1, SYNGR2, PGS1",TTF2
UBE2H,YTHDC1
UMPS,FAM98C
UMPS,ISCA2
UMPS,MRPS12
UMPS,MYBL2
UMPS,PAX8
UMPS,RICTOR
UMPS,TIMM17A
UMPS,TOE1
UVRAG,APC
UVRAG,MPHOSPH6
UVRAG,RICTOR
UVRAG,TOMM20
UVRAG,ZNF780B
PRDM2,PAX8
NOL9,CCNE1
NOL9,RICTOR
NOL9,SKP2
VCPIP1,KRAS
VCPIP1,PDCD2
RUFY1,TMED2
ESPN,CCNE1
ESPN,KDM2A
ESPN,SKP2
DCUN1D5,ESF1
PPFIBP1,PFDN1
PPFIBP1,SNAP23
RHPN2,PAX8
GFM1,LIN54
"URI1, CCNE1",CCNE1
TNFSF10,MIOS
TIMM50,FZR1
PDIA4,TMED2
MTFR1,NELFB
MTFR1,PDCD2
RB1CC1,KRAS
GAB2,TIMM17A
GAB2,TOE1
