BiomarkerCluster_HGNC,TargetGene_HGNC,ClusterRepresentative
"CDH6, C5orf22",PAX8,CDH6
"CDH6, C5orf22",UBE2H,CDH6
"SMC4, KPNA4, NMD3, B3GALNT1",LIN54,SMC4
"SMC4, KPNA4, NMD3, B3GALNT1",MIOS,SMC4
"DNM1L, YARS2",SNAP23,DNM1L
"ALG3, DVL3, EHHADH, EIF4G1, EPHB3, POLR2H, ABCF3, PARL, PSMD2, EIF2B5, ECE2",MIOS,EIF4G1
"PAK4, SIRT2, NFKBIB, MRPS12",DDX39B,PAK4
"PAK4, SIRT2, NFKBIB, MRPS12",FZR1,PAK4
"PAK4, SIRT2, NFKBIB, MRPS12",LRFN1,PAK4
"PAK4, SIRT2, NFKBIB, MRPS12",TIMM17A,PAK4
NDRG1,E2F3,NDRG1
NCOA2,KRAS,NCOA2
NCOA2,NELFB,NCOA2
NCOA2,PDCD2,NCOA2
IPO8,SNAP23,IPO8
ARFGEF1,KRAS,ARFGEF1
ARFGEF1,PDCD2,ARFGEF1
IGF2BP2,MIOS,IGF2BP2
"SPINT2, C19orf33, YIF1B, PPP1R14A",DDX39B,YIF1B
"SPINT2, C19orf33, YIF1B, PPP1R14A",FZR1,SPINT2
"SPINT2, C19orf33, YIF1B, PPP1R14A",LRFN1,SPINT2
"SPINT2, C19orf33, YIF1B, PPP1R14A",TIMM17A,SPINT2
"SUB1, DNAJC21, RAI14, ZFR, MTMR12",PAX8,SUB1
"SUB1, DNAJC21, RAI14, ZFR, MTMR12",UBE2H,SUB1
MFSD3,ESF1,MFSD3
COX20,CCNE1,COX20
COX20,CIT,COX20
COX20,PARD6B,COX20
COX20,SKP2,COX20
COX20,WDR26,COX20
CLNS1A,TIMM17A,CLNS1A
CLNS1A,TOE1,CLNS1A
FGD4,PDS5B,FGD4
CCDC127,ZDHHC11,CCDC127
"TMEM68, TGS1",WDR48,TGS1
"CCDC50, IL1RAP, LPP",LIN54,IL1RAP
"CCDC50, IL1RAP, LPP",MIOS,IL1RAP
"CNST, AHCTF1, SCCPDH",VPS4B,AHCTF1
DHX36,MIOS,DHX36
"ECH1, EIF3K, HNRNPL, LGALS7, PSMD8, ACTN4",DDX39B,PSMD8
"ECH1, EIF3K, HNRNPL, LGALS7, PSMD8, ACTN4",FZR1,PSMD8
"ECH1, EIF3K, HNRNPL, LGALS7, PSMD8, ACTN4",LRFN1,PSMD8
"ECH1, EIF3K, HNRNPL, LGALS7, PSMD8, ACTN4",TIMM17A,PSMD8
"ECT2, NCEH1",MIOS,ECT2
"EIF4A2, DNAJB11, RFC4, TRA2B",MIOS,TRA2B
ADCK5,ESF1,ADCK5
"AKT2, PSMC4, FCGBP, DYRK1B",FZR1,AKT2
MECOM,ACTR3,MECOM
"EZH2, CUL1",TMED2,EZH2
FH,ATXN7L3,FH
FH,FBXW11,FH
FH,MAEA,FH
FH,SOX17,FH
FH,SUPT7L,FH
FH,TXNRD1,FH
FH,VPS4B,FH
FKBP4,DCLRE1B,FKBP4
FKBP4,TOE1,FKBP4
"NCBP2, PAK2, PIGX",LIN54,NCBP2
"NCBP2, PAK2, PIGX",MIOS,NCBP2
ERC1,DCLRE1B,ERC1
ERC1,RPL28,ERC1
SIPA1L3,DDX39B,SIPA1L3
SIPA1L3,FZR1,SIPA1L3
SIPA1L3,LRFN1,SIPA1L3
SIPA1L3,TIMM17A,SIPA1L3
"POGZ, PI4KB, CGN, ZNF687, RFX5, SELENBP1",ARHGAP29,POGZ
"POGZ, PI4KB, CGN, ZNF687, RFX5, SELENBP1",RAC1,POGZ
"POGZ, PI4KB, CGN, ZNF687, RFX5, SELENBP1",TRAF2,POGZ
"POGZ, PI4KB, CGN, ZNF687, RFX5, SELENBP1",VEZF1,POGZ
"POGZ, PI4KB, CGN, ZNF687, RFX5, SELENBP1",WT1,POGZ
"POGZ, PI4KB, CGN, ZNF687, RFX5, SELENBP1",WWTR1,RFX5
EFR3A,E2F3,EFR3A
"ATP11B, DCUN1D1, MCCC1",MIOS,ATP11B
ACAP2,ACTR3,ACAP2
UBN2,TMED2,UBN2
NAALADL2,CCND1,NAALADL2
NAALADL2,RAF1,NAALADL2
"ARMC8, NMNAT3, DBR1, PIK3CB, FAIM, RBP1, COPB2",MYBL2,PIK3CB
"ARMC8, NMNAT3, DBR1, PIK3CB, FAIM, RBP1, COPB2",TIMM17A,PIK3CB
"WWTR1, TM4SF1, COMMD2",SNAP23,WWTR1
"WWTR1, TM4SF1, COMMD2",TIMM17A,WWTR1
"UBXN7, PCYT1A, TFRC",LIN54,TFRC
"UBXN7, PCYT1A, TFRC",MIOS,UBXN7
LSM14A,PAX8,LSM14A
FBXL6,ESF1,FBXL6
"COPG2, ZC3HC1",YTHDC1,ZC3HC1
AGO2,NHLRC2,AGO2
GOLIM4,ACTR3,GOLIM4
"KCTD21, ALG8",TIMM17A,ALG8
"KCTD21, ALG8",TOE1,ALG8
AAMDC,TIMM17A,AAMDC
AAMDC,TOE1,AAMDC
"COMMD5, C8orf33",ESF1,C8orf33
"REPIN1, NUB1",TMED2,REPIN1
"GYG1, HLTF",TIMM17A,HLTF
"CERS2, ANXA9",ARHGAP29,CERS2
"CERS2, ANXA9",RAC1,CERS2
"CERS2, ANXA9",SAMD4B,ANXA9
"CERS2, ANXA9",TRAF2,CERS2
"CERS2, ANXA9",VEZF1,CERS2
"CERS2, ANXA9",WT1,CERS2
"CERS2, ANXA9",WWTR1,ANXA9
"HSF1, DGAT1",ZFP36L1,DGAT1
"NUDT19, ANKRD27, PDCD5",ARID2,PDCD5
"NUDT19, ANKRD27, PDCD5",PARD6B,PDCD5
"NUDT19, ANKRD27, PDCD5",PAX8,PDCD5
LDHB,PFDN1,LDHB
MATN2,NELFB,MATN2
"C8orf82, LRRC14",ESF1,C8orf82
MMP7,POLR2M,MMP7
ASPH,KRAS,ASPH
MTR,CCNE1,MTR
MTR,CIT,MTR
MTR,YTHDC1,MTR
NDUFB9,XRCC2,NDUFB9
"OPA1, LSG1, ATP13A3",LIN54,ATP13A3
"OPA1, LSG1, ATP13A3",MIOS,OPA1
"GOLT1B, RECQL, PYROXD1",PFDN1,GOLT1B
DESI2,CIT,DESI2
DESI2,PARD6B,DESI2
DESI2,SKP2,DESI2
DESI2,WDR26,DESI2
ERGIC2,SNAP23,ERGIC2
RSRC1,MIOS,RSRC1
PCF11,POLR2M,PCF11
"SELENOT, RAP2B",SNAP23,RAP2B
