Gene,Regression Coefficient (Effect Size),P-value,Sample Size,R-squared
10013,0.046733850931677,0.0179176643724239,119,0.0469646577432583
10016,0.2418248587570622,1.832963536353655e-14,119,0.395769319453689
1004,0.3081532955159373,0.001572305081517,119,0.0821891359155272
10048,0.1233772631578946,1.5336714639078885e-05,117,0.1506345210939923
10049,0.1901288354721317,2.8931215309996147e-10,119,0.2890250259390302
10051,0.0953701428964001,0.0455354395077285,119,0.0337404991084082
10054,0.168202657649076,1.1674903961820784e-09,119,0.2722183945408416
10059,0.1571358133243151,6.730666729650498e-07,119,0.190970345056919
10061,0.2106565463362068,3.543718688368212e-18,119,0.4771353351401808
10067,0.1511661635460451,1.0988642101878137e-07,119,0.2149154961569009
10139,0.1581799797775531,0.0013375665536197,119,0.0845340927284757
10147,0.1659967391304347,2.861036317462544e-06,119,0.1714129746100542
10162,0.2568636428864288,2.514722488237681e-08,119,0.2339404549301891
10174,0.161980811638591,0.0005336574245594,119,0.0978278825397406
10195,0.2626316793893127,0.0003659554944117,99,0.1232918202450937
1020,0.2686166038074712,9.504394263973137e-14,119,0.3787525756143093
10212,0.2087233508042655,2.162992902173265e-07,119,0.206040557042799
10269,0.2609906124497993,1.1814759552158785e-13,119,0.3764683867543861
10270,0.1961566749664814,6.561084219716286e-13,119,0.3581863189681777
10298,0.2481217571521456,2.240664183914277e-13,119,0.3697028847279051
10327,0.093089256198347,0.0032195514353426,119,0.0717854581333159
10397,0.219598253880266,2.088937293735543e-05,119,0.1439358967268024
10404,0.1517437484677617,0.0053692763495319,119,0.0643624578072692
10434,0.2163970003014771,1.8403605328786767e-11,119,0.3211507057793896
10436,0.0810039770397703,0.0065486892128494,119,0.0614837900326872
10450,0.1716347163664239,1.3560482114029748e-08,119,0.241784956469039
10455,0.190104966442953,3.181618191965569e-07,119,0.2009446522404009
10465,0.2052122587086754,2.2450878158146177e-10,119,0.2920408623864294
10487,0.1734491759294749,3.859455791229495e-09,119,0.2575224651233082
10498,0.2195537949692892,2.580164501288897e-13,119,0.3682020321366502
10499,0.0960758615589409,9.642901722545756e-05,110,0.1318892541240945
10523,0.0867649142280524,0.0002911941376388,119,0.1065507131645273
10526,0.1576775030156815,5.6504032082189546e-06,119,0.1620844707769058
10531,0.1803642727272727,2.599998728743705e-05,119,0.1408701643264392
10535,0.0856470662833953,0.0037348190388553,119,0.0696300434367428
10565,0.2034820841633466,2.1819781141630847e-12,119,0.3450659729288684
10591,0.194008453993461,9.906024526011707e-07,119,0.1857848909879317
10644,0.1652078085928621,0.0419892302417167,119,0.0348755896025044
10653,0.4762883561643835,5.1473526855553815e-20,119,0.5133293293312218
10654,0.1580708200636943,0.0012924451461741,119,0.0850316026936942
10656,0.2503548786783686,0.0011949943806807,119,0.0861679132757075
10667,0.1952742480833496,6.0510695572036136e-12,119,0.3337279741749356
10671,0.0828818829113924,0.0058896265253901,119,0.0630211691277403
10714,0.1689338559119196,7.4250349983512e-05,119,0.1260660597832251
10723,0.1995807357780911,8.703618414691181e-09,119,0.2473724408886732
1075,0.142946616364065,0.0024886429612918,119,0.0755243919140422
10755,0.1623399611398963,2.4403511077779203e-09,119,0.2631884245597625
10762,0.165345781527531,6.363499137414881e-06,119,0.1604469210648695
10771,0.0955930622559154,4.665005923512013e-05,119,0.132643878713949
10799,0.0654344522968198,0.0263031358105019,117,0.0421919753314553
10809,0.2089346149337709,2.0119012368416324e-05,116,0.1479819554799391
10863,0.2359558441558441,0.0067973661752484,51,0.1401684223058118
10867,0.0850285785042099,0.0032413823392367,110,0.0774501805602658
10873,0.1479710897687182,0.0015707647067722,119,0.0822033546880466
10923,0.2564494718309859,1.9441326772801167e-11,119,0.3205246465913707
11000,0.1363958734525446,0.0216547923165473,119,0.0442542170404844
11018,0.1798710927770859,2.2010500397715044e-10,119,0.2922759491757353
11022,0.0940898734177215,0.023366951031078,117,0.043905530417753
11030,0.3349482914880587,2.2081892315137995e-06,114,0.182024593471876
11047,0.0614521052631578,0.0141021023838154,119,0.0504034059719958
11054,0.1765316939890711,6.2611727018966675e-09,119,0.2514985932094385
11083,0.1067034802784222,0.0006075563544501,119,0.0959556143964708
11098,0.2098716438356163,0.0174702883638027,75,0.0749477299524369
11140,0.2336819662243667,1.883121020007884e-20,119,0.521560181246709
11156,0.1569631944444445,0.0440221941757351,104,0.0391688590101343
11194,0.1997976076555023,3.620299759442491e-08,117,0.2327751939478874
1120,0.085128931572629,0.046376146392745,109,0.0365706579935792
11244,0.1484849834983497,0.0009472280148192,68,0.1536453598952303
112939,0.2119630345885159,3.7296744239942845e-08,119,0.2288959534821305
11311,0.0942171803852889,0.0007303860533437,119,0.0932949122467362
113246,0.097565016962682,0.0024059037425911,119,0.0760153068716366
11331,0.1423275693474355,2.0133115659462783e-06,119,0.1761973265531431
11336,0.0351780720338983,0.0131948402527095,119,0.051360471310719
113655,0.4663411764705881,6.961771401515994e-07,53,0.3857896978322671
115098,0.2347473844812554,1.9014523039036296e-10,119,0.2940100272398256
1155,0.3147658547546287,2.049068725368929e-17,119,0.4613631068662275
115908,0.2840760869565217,0.0059718908863299,119,0.0628200803466301
116113,0.291254561251086,3.279456030389848e-05,88,0.1826715981852533
116228,0.1971109631147542,9.183472795404717e-06,117,0.1578645102079899
116985,0.1065512784701332,0.000456289660185,119,0.1000868837168772
116988,0.1769307545655228,8.183570628208436e-08,113,0.2291508592573169
117145,0.2130086528497409,0.0133760160402347,102,0.059639509246944
1196,0.1784566666666666,0.0146032620066384,81,0.0731525159804197
1207,0.110330908880666,0.0022311425784043,117,0.0784027220388494
121512,0.1690940480216435,0.0001137857527451,119,0.1199967694059095
125950,0.1342879475982532,3.91122693884641e-16,119,0.4338012539313219
126382,0.1931132393262828,5.06383078264156e-05,108,0.144155865731629
126393,0.1525008469259723,0.0296396304796729,109,0.043440769820836
126526,0.2220810400866738,1.247258971922223e-07,62,0.3746951615475962
127687,0.1733588878760254,0.0005982684745328,81,0.1393488215341187
127700,0.1309371747211895,0.039788149920984,74,0.0574006375015859
129685,0.1078712091038407,0.0124279340081324,68,0.0909839735076997
133686,0.237774791929382,2.565640796392036e-09,119,0.2625715052644715
133957,0.2014032132768362,3.883971458087973e-06,119,0.1672331535458248
134147,0.2253517709849586,0.0053969571852626,119,0.0642878799896538
134218,0.1784890375707668,8.646807659735368e-06,102,0.1803417311135087
137492,0.1603521120075937,2.374997693630414e-07,114,0.2129369703957881
137682,0.1825272120786516,0.001148453317677,105,0.0979911117411668
137695,0.1834729237002025,2.6302308597630416e-06,111,0.1840342489080053
140576,0.1541676069435834,0.019899788125931,119,0.0454622660473397
142,0.1832228121664888,1.4364913848664633e-07,119,0.2114146785768039
147841,0.129420964381387,0.001828276370716,104,0.0912667336066834
149466,0.3971779411764707,6.98489581524079e-05,64,0.2267092638982949
149986,0.1957407838635617,1.391947154108902e-06,117,0.184051908393717
1503,0.2611182417168676,6.159633527584713e-12,119,0.3335286609925523
1508,0.213346093276802,2.9492163210492377e-05,119,0.13910124124723
152137,0.0920709360058845,9.27046257777667e-07,119,0.1866765694086574
1537,0.2293847326507394,5.582795913405557e-05,119,0.1301058511627796
154141,0.1819897058823529,0.0002133136774361,116,0.1137769197522134
154467,0.0773464226289517,0.0425681141319171,52,0.0797134473935445
155435,0.0727896744459698,0.0006491653169841,119,0.09499872808434
157378,0.2040653197875779,1.3337267718037318e-06,119,0.1817754820484306
157769,0.162333304291004,6.88673503367181e-09,119,0.2503077375977577
163882,0.147442551995503,0.0002169645196905,79,0.163708545805148
170506,0.2092261377427185,3.879288691457861e-16,119,0.4338797629179135
171017,0.1073321392935541,1.0862559892152529e-06,119,0.1845439991808787
1725,0.2631289052469401,5.704038468018873e-11,116,0.3148304571304371
1756,0.1050294560290118,0.036834025993813,111,0.0393695510608288
1777,0.2013973226351351,6.854441434228535e-09,119,0.2503665554513643
1785,0.137893734830097,1.3156008909878441e-15,119,0.4220686675656639
1786,0.2371058411563105,5.350962287504965e-12,119,0.3351046079739335
1802,0.1570014814814815,0.0032625374307954,92,0.0921648925135464
1808,0.203274786081004,3.0568478738156786e-05,119,0.1385976630177146
1832,0.1606440870758971,9.965951580747536e-05,119,0.1218842284264472
1857,0.0787928552350427,0.0047326688695352,113,0.0696590891093865
1871,0.2034238129496403,0.0010488619821044,64,0.160203537254188
1891,0.2363404352806415,1.8269434128319872e-08,119,0.2380079905741469
1894,0.2545009183338799,1.4670301469299528e-05,113,0.1562858023860084
192669,0.0856965374724467,0.0001738743569375,119,0.1139433155476702
1936,0.1319095425867507,1.3519845143412917e-08,119,0.2418229001836069
1962,0.1554901815181518,0.0007582758344169,119,0.0927530563174081
196513,0.1822566554180728,2.691417700089141e-06,114,0.179232844783859
1974,0.1407619300911853,2.669068404550366e-09,119,0.2620841880214284
1981,0.181011123241145,1.813645622737108e-14,119,0.3958773901121586
1992,0.1108099926524614,0.0059169415066179,119,0.0629540885283418
200205,0.1333938826122899,9.455960994595396e-05,119,0.1226314983852218
2017,0.1604033842070338,3.749308161863573e-07,119,0.1987680920554136
2026,0.1226248852524446,0.0131961944395819,119,0.0513589936473497
2029,0.1307045792497465,1.7742186094461896e-05,119,0.1462182366836496
203054,0.1519012976140644,0.0011464536294475,104,0.0989356461006316
2049,0.1489937809099902,0.0043752244460493,119,0.0673328583417826
2053,0.3539676694915254,4.069546800135233e-08,119,0.227775822242386
2063,0.2637312312911594,3.858281463558286e-07,119,0.1983877525429704
208,0.2651595687550854,1.040924185363299e-18,119,0.4878767790628694
2122,0.2072470762155059,0.0002705308148241,119,0.1076078727794623
2146,0.119815638875185,0.0110430256612841,102,0.0628442248749729
2166,0.2261443621943159,0.0019340715012868,114,0.0825840951268843
2185,0.1312298103823438,0.0146652566304133,111,0.053415003786426
221656,0.1018514598540146,0.0236287234399424,78,0.0655833067040976
2222,0.2408974712295579,6.908828274913293e-05,119,0.1270879862625998
2224,0.0992693733282384,0.0217089779748402,119,0.0442185271470549
2271,0.173934708509638,1.4468058432878432e-05,119,0.1490633117877937
22796,0.0649159252183406,0.0171323894224695,119,0.0476072361425835
22827,0.1140318732193732,8.019473981844092e-06,119,0.1572530560104507
2288,0.2166489469337188,3.85042986645113e-09,119,0.2575515076249389
22884,0.1957274156791248,1.6941532378446508e-11,119,0.3220944277875399
22887,0.1998165803108808,1.5167735959281328e-06,104,0.2037358289717084
22888,0.2221656734207389,0.0147127269172844,48,0.1225696436416498
22916,0.1170089012632978,0.0003484797596334,119,0.1039687286195901
22933,0.1630783146067414,5.353751201722676e-07,119,0.194028225934205
22974,0.2579228915662651,7.323783731673367e-05,119,0.1262608432557955
22976,0.1069577088716623,7.576488196242619e-05,113,0.1321364458377804
22982,0.1629141025641025,0.0074336691810827,53,0.1322564643397715
23012,0.1767449634214969,9.062260619747843e-07,119,0.1869818302645002
23029,0.0883364229097417,0.0066424546676752,119,0.0612778039733873
23039,0.2614985682819382,3.4081609220488497e-18,119,0.4774807070606324
23070,0.1578320596366509,2.4756727890927558e-08,119,0.2341401389106225
23085,0.1926774554591137,4.909274402879631e-11,119,0.3098696066326155
23094,0.1128866933284857,0.0004621149775434,113,0.1050329913608011
23126,0.115838190509915,0.0006307654075279,119,0.0954141241486951
23151,0.1297816568047337,0.0093358939811811,112,0.0598439948459909
23167,0.1226829141607435,5.903734493165362e-05,117,0.131418164129675
23185,0.2218965347616965,2.4549471178655146e-13,119,0.3687316555583441
23200,0.1579598248611703,0.0041325741843402,87,0.0927402332843653
23201,0.0872959704499664,0.0325519420623895,100,0.0457808708032648
23246,0.0977350511945392,0.0003706027968231,119,0.1030829903823024
23248,0.1692029801324503,5.511951666792889e-07,119,0.1936396961960524
23303,0.1264349014709964,1.648267566622546e-06,119,0.1789110862765791
23309,0.1285535737145294,0.0001879748583898,117,0.1146805785558506
23334,0.1135459051724138,0.0262311309791662,60,0.0823295532123602
23350,0.0743850072780203,0.0060798348287718,119,0.0625604013689686
23373,0.1458675042832666,0.0005529642469815,104,0.1108685363587236
23381,0.0924047992164544,0.0049791563556588,114,0.0682891765369295
23408,0.1497486308993766,0.0001473704810931,119,0.1163072459007383
23476,0.2082903719311103,6.414838903381303e-14,119,0.3828590553536255
23509,0.2134290201005025,1.096749590769878e-06,119,0.1844144877531822
23513,0.2434272554605887,5.856133562382522e-16,119,0.4299232238533762
23516,0.1578849770290965,0.0051652852539929,119,0.0649242548342255
23527,0.2037854465270121,1.5177721091111612e-14,119,0.3976911715466522
23557,0.0723300132144037,0.0180901000472931,119,0.046827395139564
23560,0.0807079649042843,0.0044957704712091,119,0.0669384218808056
23646,0.2447677005639439,6.301332442983489e-09,117,0.255194653195776
23654,0.1323426657506012,2.5385078383048942e-08,119,0.2338203180124786
23770,0.1621151459854013,6.670390904202677e-08,119,0.2214016959352674
23774,0.1836843749999999,2.9739532665104253e-05,81,0.199135547141405
24148,0.0858969666329626,0.0004105126138404,119,0.1016103108959777
252969,0.1777636408243376,0.003505615235397,59,0.1400132609738711
253260,0.1018311540497617,2.7647360245833382e-06,119,0.1718801152565562
254048,0.259425,0.0153188211201304,68,0.0858443988835305
254827,0.1422096774193548,0.0254081040393804,110,0.0454084497853138
25771,0.176147991761071,6.481294425478567e-05,90,0.1666835599896576
25796,0.2254239891053845,2.2732359537686617e-11,119,0.3187367629443487
25814,0.2248727564102563,5.406981611686819e-09,119,0.2533294258888117
25836,0.1000556611039794,5.430416005503153e-05,119,0.1304972449716929
25852,0.0614014578521939,0.0252211917489617,119,0.042080481961094
2590,0.1622559149722736,3.463782385540401e-06,119,0.1688007553252728
25909,0.0926508358140599,9.046680775966436e-07,119,0.187004950473521
25937,0.1761914264264264,0.0003565327711945,113,0.1089489351078752
25959,0.0841820615898057,0.0160527035513186,119,0.0485413984432904
2597,0.204658221911794,1.3425146362435519e-11,119,0.3247399765639415
25977,0.1930240210526314,8.417499029173208e-09,117,0.2515232196413404
26017,0.2544332434750644,3.9042250589046156e-10,110,0.3052654460679337
26043,0.1987852032010041,5.750466958104069e-13,119,0.3596107374696432
26064,0.1196375128733265,0.0021711241681566,119,0.077506010260677
26065,0.1685553981106611,3.632669533705556e-12,119,0.3394231634858039
26137,0.189027729257642,0.0059741334701155,68,0.108971470526864
26164,0.2677136939983093,5.853044176368181e-05,75,0.1996607159877195
26205,0.0736359728506787,0.0199094202665592,110,0.0491656278864156
26233,0.1959291327913279,0.0002396060520655,87,0.1475588602470695
26292,0.1597319374180251,3.2318711768136037e-09,119,0.2597207838580668
2639,0.264807829391892,1.837577725255753e-16,119,0.4409898503880074
26523,0.0914108757062147,0.0005708626528421,117,0.0984606437122929
2665,0.1821578561917443,3.3172269729436613e-14,119,0.3896887145682004
26873,0.2680330261660977,6.619245856379075e-08,119,0.2215013376622883
26958,0.0891560529279279,0.0038005875967409,119,0.0693766249391114
26986,0.0641536958568738,0.0085549332526798,119,0.0576148185767786
26993,0.1781477494732809,1.6359658089834683e-09,119,0.2680990877289049
27095,0.1237602203065134,1.0718103837263175e-06,119,0.1847243192799993
27161,0.1312231123595506,2.446504496232691e-06,119,0.1735468002445237
27238,0.0479590909090909,0.0475355271053237,119,0.0331401256219308
27333,0.1641425691937424,0.0003690032393121,119,0.103145248402962
27335,0.0534228328564214,0.0158587456536752,119,0.0487159596137185
2762,0.2132360540540541,1.0847026113703471e-09,119,0.273113582586172
2766,0.2406651791530944,0.0001848985207818,119,0.1130637256472554
2821,0.2170774242712897,1.3934557168670724e-11,119,0.3243171198365004
2822,0.127369478815148,0.0492911298196249,68,0.0573026290502587
283209,0.2049782312111058,0.0006046802851792,119,0.0960241430652153
283219,0.1115666666666666,0.0034285747945553,114,0.0739296219422799
284252,0.1517160734149053,0.0020717958027576,83,0.1111389240106202
286077,0.269268156996587,1.726913543896064e-08,119,0.2387227962240964
28952,0.0212921212121212,0.0343741828533585,119,0.0376910017762638
28971,0.1991135506587914,4.16146249479761e-05,119,0.1342554471427549
28974,0.2196761322132943,9.436715797415913e-08,114,0.2254359808279132
28991,0.0616308720112518,0.0010267831870762,117,0.0898377851975321
29028,0.10649011868369,0.0043421588929241,119,0.0674429566787702
29086,0.0931514373088684,7.924410513952262e-05,119,0.1251422864198892
2961,0.236737802907916,7.194131263260699e-13,119,0.3571896096416921
29803,0.1864768792710704,9.498572044015087e-06,114,0.1612632863173081
29883,0.1440592988263617,1.9600589435084965e-07,119,0.2073370303837127
29889,0.1157100076760699,2.5608790008529846e-06,119,0.172924378895925
29911,0.1352598658318426,4.124631506793524e-06,113,0.1746056436327028
2992,0.2312649082568806,5.5295302444747186e-09,119,0.2530499431120697
29920,0.1551865527693579,0.0016939876209363,119,0.0811076761350478
29956,0.1832290316901408,2.444458643932363e-06,119,0.1735581932034006
30000,0.228748317586607,9.895309502819481e-17,119,0.4468136107954561
3191,0.0510727397260274,0.000207797237962,119,0.111391840113205
3297,0.1870371899886234,4.309328314385942e-12,119,0.3375218669756663
3337,0.2457206606217615,2.6283682409281818e-21,119,0.5372829352990083
3383,0.1905763224556697,6.034718145176353e-05,119,0.1290043480700111
340371,0.3215439197455346,5.094016923980344e-10,117,0.2863984444609826
3422,0.1991036690975386,7.89116947111199e-06,119,0.157476069926601
342979,0.2792409252971138,0.0001518281075875,119,0.1158815686523683
349565,0.115087871510057,0.0312299683086669,119,0.039046988276595
3556,0.1673511324914812,8.046634339834092e-05,119,0.1249249728302069
359948,0.1067031374501992,3.56981435172992e-06,119,0.1683881593650645
3609,0.1045652686447473,9.889855820600356e-08,119,0.216288343635882
3633,0.1439161485890652,7.839412177586498e-05,109,0.1362200613163985
3636,0.2208378617363345,5.4376782736030144e-11,119,0.3086841002231353
3709,0.1395169171940928,0.0019530956086793,119,0.0790421894186914
3726,0.1187741796664873,0.0074097139975226,94,0.0753741560338043
3727,0.1079434585942936,5.7063574741099066e-05,117,0.1319065747694953
373156,0.2501958984375,2.161100108724137e-07,119,0.2060520859625576
374882,0.1731799888694546,8.903038841637621e-09,119,0.2470878902609727
376497,0.1800753343083994,0.000154148086418,119,0.1156648986794244
3840,0.154335726718886,1.9591254245394915e-10,119,0.2936562244316122
3845,0.1261166757344939,0.0047342829418508,114,0.0690513228834115
387338,0.1990172836595143,2.7068580592765933e-08,119,0.233000422757278
389677,0.1100890983838956,9.157582403117727e-06,119,0.1554163344277701
390916,0.153826814159292,0.000259335893836,119,0.1082145861307889
3911,0.1598039290048543,0.0022659430467572,119,0.0768854532935333
3945,0.279385310421286,2.464661035236918e-10,119,0.2909325716660325
3963,0.4731189898198904,0.0029312809527678,55,0.1550996660175883
4000,0.2057498697916666,0.0010770873206037,119,0.087673093209886
4026,0.0815892097264437,0.0182310015478993,119,0.0467162191564047
405,0.1191983087942697,0.0060263194977993,109,0.0683686238847482
4061,0.3209258256029684,0.0001145548727862,114,0.1249264532341233
4067,0.0903960343787695,0.0403282389068382,119,0.0354419115004555
4071,0.2497313861043899,0.0099562222238459,74,0.0887133460186871
4074,0.1943713768115941,8.229255427992955e-10,119,0.2764660703549758
410,0.1244403666427031,0.0414108671394184,116,0.0359801539292086
4147,0.1211440938511327,0.0447689059202562,119,0.0339778899813265
414919,0.3771155176336745,2.5067238965509037e-10,119,0.2907314010990608
4154,0.0731755027173912,0.0029226004749722,119,0.0731905303789949
4218,0.2218975173879443,1.9942699198162965e-14,119,0.3949083373694718
427,0.1396252882517918,0.002406130638544,119,0.0760139377024063
4316,0.3124701688383188,7.558521863803509e-05,117,0.1278637664938128
444,0.1256269662921348,0.0002954817321132,119,0.1063407009321726
4482,0.147722055393586,0.0001235790688877,117,0.1207645285064058
4548,0.1385730443206587,0.0002623538573146,119,0.1080485064005658
4580,0.0776507642338555,0.0249640064446946,119,0.0422263864331367
4582,0.2015624570118456,0.0264087028525006,119,0.0414259705259058
4650,0.1410112767660596,7.784464621511831e-07,119,0.1890219368566643
4678,0.2172039256198346,7.649787528503909e-05,119,0.125642920104496
4715,0.0865733325719507,0.0276875518955526,119,0.040754013632086
4763,0.1885918138987044,0.0063363833654867,115,0.0640921594206754
4784,0.1776342312100867,2.567840657737368e-06,119,0.1728873846883729
4793,0.1636470852017937,8.229407995262195e-05,64,0.2228018600325082
4839,0.1678162542406705,2.1411210930533448e-08,119,0.2359903223460951
4850,0.2460653677462888,4.0307684209165784e-08,103,0.2590378617747654
4854,0.1487344155844156,0.0066973962520129,100,0.0726327533715874
4881,0.2180435084241823,0.0002388645333395,119,0.1093944430575193
4904,0.084477246505436,0.0003183765541689,119,0.1052680834975138
4976,0.2498835329341317,1.771424769383846e-22,119,0.5579937256444661
50484,0.2063273655378485,4.216388605930233e-05,119,0.134070546252973
5052,0.1750830578512395,5.937591167313914e-09,119,0.2521614157309181
5062,0.1889659740691489,7.924680245170253e-19,119,0.490238266771418
50807,0.1290547459375805,7.20305442018152e-06,119,0.1587368156568976
51026,0.1402784574468085,0.0197221913111351,72,0.0752341656827528
51029,0.1533966666666666,0.000854739157747,96,0.1121085063776883
51067,0.2172553263442678,1.3761319422787086e-07,119,0.2119764912487509
51068,0.1645473450057406,5.588628715501684e-07,119,0.1934553218264503
5108,0.1730094110314739,8.671174517169662e-07,119,0.1875744072923301
51097,0.1460655658143938,3.748673877800903e-05,119,0.13572756770623
51105,0.1603086191923578,0.0040522052204633,95,0.0854245808416633
51122,0.1221974189189189,0.0156183137483204,117,0.0497684724353237
51123,0.1323724500809498,0.0021589691860094,114,0.0809218519595568
51163,0.1264220623145399,2.289657490403393e-06,119,0.1744487379283887
51205,0.1586517816869642,0.0322335184252508,91,0.050497866460095
51279,0.1169161700536093,0.0108301772893097,110,0.0586099052436883
51287,0.2048466868198308,5.013063590320894e-05,119,0.1316275910226482
