Gene,Gene_HGNC,Sample,CNA,Protein
10000,AKT3,TCGA-13-1409-01,2,0.969
10000,AKT3,TCGA-13-1410-01,1,0.0311
10000,AKT3,TCGA-13-1487-01,1,0.0831
10000,AKT3,TCGA-13-1488-01,1,0.4446
10000,AKT3,TCGA-13-1494-01,0,0.3586
10000,AKT3,TCGA-13-1497-01,1,-0.9244
10000,AKT3,TCGA-13-1500-01,0,0.4016
10000,AKT3,TCGA-13-1507-01,0,-0.2691
10000,AKT3,TCGA-13-1511-01,0,-0.2683
10000,AKT3,TCGA-13-2060-01,1,-0.5957
10000,AKT3,TCGA-23-1121-01,1,-0.1093
10000,AKT3,TCGA-24-1103-01,0,-0.6212
10000,AKT3,TCGA-24-1416-01,1,0.3152
10000,AKT3,TCGA-24-1430-01,0,0.2166
10000,AKT3,TCGA-24-1431-01,1,-0.6186
10000,AKT3,TCGA-24-1435-01,-1,0.2367
10000,AKT3,TCGA-24-1544-01,1,-0.5417
10000,AKT3,TCGA-24-1553-01,2,0.7757
10000,AKT3,TCGA-24-1555-01,0,-0.8026
10000,AKT3,TCGA-24-1558-01,1,-0.3858
10000,AKT3,TCGA-24-1562-01,1,-0.3311
10000,AKT3,TCGA-24-1565-01,1,-0.2505
10000,AKT3,TCGA-24-1927-01,0,-0.4515
10000,AKT3,TCGA-24-2261-01,-1,-0.0605
10000,AKT3,TCGA-24-2289-01,1,0.0605
10000,AKT3,TCGA-24-2290-01,1,-1.545
10000,AKT3,TCGA-24-2298-01,0,1.6371
10000,AKT3,TCGA-25-1313-01,1,0.1025
10000,AKT3,TCGA-25-1323-01,1,0.3083
10000,AKT3,TCGA-25-1623-01,0,0.9911
10000,AKT3,TCGA-25-1628-01,1,0.508
10000,AKT3,TCGA-25-1631-01,0,-0.0791
10000,AKT3,TCGA-25-2399-01,0,-0.2348
10000,AKT3,TCGA-25-2404-01,1,0.3817
10000,AKT3,TCGA-29-1688-01,2,-0.2567
10000,AKT3,TCGA-29-1690-01,1,0.6546
10000,AKT3,TCGA-29-1697-01,0,-1.09
10000,AKT3,TCGA-29-1698-01,0,0.5426
10000,AKT3,TCGA-29-1705-01,-1,0.0843
10000,AKT3,TCGA-29-1710-01,1,-0.0094
10000,AKT3,TCGA-29-1766-01,1,0.9553
10000,AKT3,TCGA-29-1768-01,-1,0.749
10000,AKT3,TCGA-29-1769-01,1,0.1763
10000,AKT3,TCGA-29-1770-01,1,0.8364
10000,AKT3,TCGA-29-1785-01,1,0.0516
10000,AKT3,TCGA-30-1887-01,0,0.2227
10000,AKT3,TCGA-36-1569-01,1,1.127
10000,AKT3,TCGA-36-1570-01,0,-0.4878
10000,AKT3,TCGA-36-1571-01,1,-0.5063
10000,AKT3,TCGA-36-1577-01,0,-0.0118
10000,AKT3,TCGA-36-1580-01,1,0.6214
10000,AKT3,TCGA-36-2534-01,1,-0.7172
10000,AKT3,TCGA-36-2544-01,-1,-0.0393
10000,AKT3,TCGA-36-2549-01,-1,-0.617
10000,AKT3,TCGA-59-2348-01,0,0.7783
10000,AKT3,TCGA-59-2351-01,1,-0.2732
