,Gene
0,5144
1,9639
2,55326
3,1672
4,1671
5,1667
6,90459
7,4482
8,54984
9,66036
10,252969
11,1508
12,2222
13,10395
14,7991
15,4481
16,29883
17,137492
18,5157
19,5108
20,427
21,63898
22,55174
23,526
24,9046
25,23039
26,2039
27,79873
28,80346
29,661
30,23516
31,10174
32,64236
33,57805
34,55909
35,91782
36,203069
37,4017
38,10863
39,80005
40,5520
41,665
42,1808
43,2185
44,2053
45,1191
46,51435
47,55246
48,55872
49,55140
50,55756
51,23303
52,10671
53,11030
54,2961
55,7486
56,3084
57,9445
58,5925
59,51741
60,4763
61,25813
62,29780
63,64098
64,23779
65,10762
66,2192
67,25814
68,55020
69,55687
70,9620
71,23151
72,25771
73,79087
74,410
75,23774
76,1120
77,79174
78,91289
79,6300
80,23654
81,9701
82,6305
83,9997
84,83642
85,80305
86,85378
87,1890
88,1756
