Drug,N_CellLines,Pearson_r,P_value,NegCorr
ICL1100013,12,0.865808042145634,0.00027239155499033394,False
MITOXANTRONE,7,0.9679074903111744,0.00034830146183411205,False
"APO866, FK866",11,0.7745355883082746,0.0004271099824117218,False
XMD14-99,12,-0.8417698525236221,0.0005951002463015336,True
AUY922,11,0.6611717805024654,0.0011005730417401806,False
NVP-BEZ235,12,0.6383244834647198,0.0013894743967375973,False
DOCETAXEL,12,0.5246819601202485,0.003477238159839896,False
BLEOMYCIN (50 UM),12,0.7504458501208382,0.004924485255685187,False
VORINOSTAT,12,0.5723515096934146,0.005376409085648526,False
"VENOTOCLAX, ABT-199, VENECLEXTA, GDC-0199",13,-0.7036243047628674,0.007279351309544643,True
BX-795,12,0.7270745670734513,0.007379072838194843,False
5-FLUOROURACIL,12,0.5620595566936628,0.00800485362122998,False
TANESPIMYCIN,12,0.7050731350915088,0.01043596761890554,False
CAY10566,13,-0.667405856956164,0.01269060040632058,True
VINBLASTINE,12,0.515453467947498,0.014080138088626437,False
WIKI4,10,-0.7401596044843554,0.014373330096846463,True
SNX-2112,12,0.6823687016052509,0.014488292460543265,False
SERDEMETAN,12,0.6790634574198295,0.015162823696725268,False
Y-39983,12,0.6710422558935025,0.01689572491723331,False
"JNK-9L, KIN001-204",11,0.68619269222438,0.0197232924597418,False
AZD8055,12,0.6547488520465912,0.02085744706157263,False
AVAGACESTAT,13,-0.4621354803721263,0.022991040381822453,True
GEMCITABINE,11,0.49238946000822226,0.023356034247766628,False
UNC0638,12,0.4771445767139742,0.0247392548891245,False
OXALIPLATIN,10,0.5400189296843828,0.025243030615207693,False
CCT018159,12,0.630695110350439,0.027888563810544203,False
(5Z)-7-OXOZEAENOL,11,0.651545321672008,0.029862572415800863,False
FILANESIB,13,0.59746591104471,0.03106009566047917,False
OF-1,7,-0.7983137802280185,0.031371243180756514,True
BLEOMYCIN,11,0.6426854328574689,0.03295104306496137,False
NIRAPARIB,7,0.7891678271886197,0.0348654287281792,False
THZ-2-49,12,0.6083889781777801,0.035807015810438596,False
REFAMETINIB,12,0.44813248792509613,0.036472234588084095,False
"AS605240, KIN001-173",12,-0.6064184940854025,0.03657607593527605,True
DINACICLIB,7,0.7769577086722349,0.03985234493399476,False
LESTAURTINIB,12,0.598251428769044,0.03988956930029098,False
"EPOTHILONE B, GNF-PF-193",11,0.619504200440987,0.04207742374410522,False
GSK269962A,11,0.5608782157438138,0.046138224647441474,False
OLAPARIB,12,0.3428696553637717,0.047132167833106205,False
JQ12,11,0.6036894666631236,0.04922356521272006,False
GDC-0941,12,0.34180116653566256,0.055529596231630785,False
QUIZARTINIB,12,-0.563703292690694,0.05628465593768184,True
IDELALISIB,12,-0.5584374568576972,0.05914124451244279,True
PALBOCICLIB,12,0.39945457617654206,0.0655078493991111,False
CYTARABINE,12,0.39352382653487034,0.06999188284459032,False
QL-XI-92,12,0.539672921046701,0.0701392895560455,False
GS-9973,7,0.7152732668000624,0.0707701153630482,False
BMS-754807,10,-0.5899883598765078,0.07259183858264198,True
CISPLATIN,12,0.37898715793528515,0.08196253021634337,False
OSIMERTINIB,10,-0.5734656440685673,0.08305951829803097,True
"UMI-77, UMI 77",10,-0.5717237188615855,0.08421655785176971,True
CX-5461,11,0.5401020388106922,0.08632455107617212,False
PANOBINOSTAT,13,0.4935135212252126,0.0865521664158001,False
KIN001-236,12,-0.5149576535897645,0.08666756068303534,True
PIPERLONGUMINE,11,0.5395706929581375,0.08669502140291462,False
CEDIRANIB,10,-0.5644875569555707,0.08913381020888735,True
MK-2206,12,-0.37934675702154214,0.08988413652149399,True
"METAP2 INHIBITOR, A832234",13,0.4798146821635661,0.09705424964626681,False
ALVOCIDIB,13,0.47740071204245765,0.09899108123879839,False
PELITINIB,12,0.4985327231797517,0.09900159284691619,False
ELESCLOMOL,12,0.4980474555761767,0.0993829011611509,False
PF-4708671,12,0.4976610671815644,0.09968721524276773,False
P22077,10,-0.5429090958472332,0.10487400826436366,True
"ISPINESIB MESYLATE, SB-715992",12,0.4908504712893146,0.1051538185349736,False
GW 441756,12,-0.4899679125872423,0.10587650969632525,True
PRT062607,7,0.6558164111670984,0.10971573729984467,False
CANERTINIB,13,-0.464185977540882,0.11006166599939536,True
SN-38,12,0.47486737755840275,0.11875687975002217,False
MITOMYCIN-C,11,0.48972306835059065,0.1262591406718793,False
DIHYDROROTENONE,7,-0.6328506293291605,0.12715247205819757,True
AMUVATINIB,11,-0.4856322927317569,0.129940529572615,True
XMD13-2,12,0.4614976618905443,0.13098658702659166,False
