Drug,N_CellLines,Pearson_r,P_value,NegCorr
YK-4-279,10,-0.7273526417225935,0.0009369616301270427,True
SL 0101-1,12,-0.778972479486742,0.002827614560286173,True
A-83-01,13,0.7534739105050404,0.0029388309515424238,False
WNT-C59,13,0.6246252365060501,0.0032378479393478854,False
"TELOMERASE INHIBITOR IX, MST-312, MST 312, MST312",10,-0.8243973210822757,0.0033459933793784547,True
681640,10,-0.6328472972596413,0.006399598483954504,True
PCI-34051,7,0.8924570160456694,0.006869390883582104,False
"FTY-720, FINGOLIMOD HYDROCHLORIDE; GILENYA; TDI-132; IMUSERA; GILENIA",13,0.6947215539249194,0.008403808065086152,False
GEMCITABINE,11,-0.5345732661353103,0.012538285472750895,True
BUPARLISIB,10,-0.7422720396046845,0.013950557738658376,True
KIN001-244,12,0.6832786584227611,0.01430654020803284,False
PHENFORMIN,11,-0.6874336526224833,0.01941367324851026,True
VINBLASTINE,12,-0.4901066135832403,0.020584164232743517,True
GSK690693,12,0.6555105020356277,0.02065846774307646,False
SORAFENIB,10,-0.6515260917675973,0.021714885778391084,True
FULVESTRANT,10,0.541189838627735,0.024866773811012165,False
"IWP-2, WNT INHIBITOR IWP-2",7,0.813934477763441,0.025875977497949582,False
AZD3759,10,0.6895222855949206,0.02737972696081148,False
TRETINOIN,12,-0.6048166245909044,0.037209898774495674,True
NSC-87877,11,0.6227359665406915,0.040711031844085,False
DASATINIB,10,0.5931633889494106,0.04205857466256244,False
NELARABINE,7,0.7672049783621999,0.04410222280146815,False
CZC24832,7,0.7659498900343209,0.04466642725484783,False
"EEF2K INHIBITOR, A-484954",13,0.5629083243056625,0.045185775623867754,False
RU-SKI-43,13,0.5472404870456858,0.05291408374084982,False
"NSC-207895, XI-006",11,0.5906950018143056,0.055686532034843486,False
WZ4003,7,0.7353196707752471,0.05966604093562572,False
SGC0946,12,0.551606836539158,0.06299493598922883,False
AFATINIB,12,0.320213800081069,0.06485396358532662,False
PIK-93,12,0.5480039724536506,0.06509611262790967,False
MK-1775,10,-0.599986329957363,0.0666958392506366,True
UNC0642,12,0.5450484022998873,0.0668555856964111,False
"SABUTOCLAX, BI-97C1",7,-0.7066768479610772,0.07584510436896308,True
APABETALONE,7,0.7001068726639924,0.07985062473908647,False
VINCRISTINE,7,-0.6948873182209848,0.08311116839179278,True
