Drug,N_CellLines,Pearson_r,P_value,NegCorr
YK-4-279,10,-0.7273526417225935,0.0009369616301270427,True
SL 0101-1,12,-0.778972479486742,0.002827614560286173,True
"TELOMERASE INHIBITOR IX, MST-312, MST 312, MST312",10,-0.8243973210822757,0.0033459933793784547,True
681640,10,-0.6328472972596413,0.006399598483954504,True
GEMCITABINE,11,-0.5345732661353103,0.012538285472750895,True
BUPARLISIB,10,-0.7422720396046845,0.013950557738658376,True
PHENFORMIN,11,-0.6874336526224833,0.01941367324851026,True
VINBLASTINE,12,-0.4901066135832403,0.020584164232743517,True
SORAFENIB,10,-0.6515260917675973,0.021714885778391084,True
TRETINOIN,12,-0.6048166245909044,0.037209898774495674,True
