Drug,N_CellLines,Pearson_r,P_value,NegCorr
VINCRISTINE,7,-0.8727392577245214,0.010349528748598624,True
LGK-974,13,0.4944309776674949,0.016473275231430603,False
SINULARIN,7,0.8174389174169193,0.024724207402656472,False
PFI-3,10,0.5373989148444163,0.026100896533768948,False
FILANESIB,13,-0.6060463561841589,0.028124474833490738,True
CARMUSTINE,7,0.8011258659564986,0.030338142533442584,False
SHIKONIN,10,-0.6632155772762819,0.036575800961515706,True
CP-724714,12,0.6037086231302803,0.03765286615293567,False
JW-7-24-1,12,0.5965073842417794,0.040623873498387794,False
TENOVIN-6,13,0.5694949275396377,0.04219299318578618,False
FTI-277,11,0.6090604951155013,0.04670968710301268,False
PODOPHYLLOTOXIN,7,-0.7606028499307191,0.047114401065115566,True
"GSK591, EPZ015866, GSK3203591",10,0.6356188124821739,0.04825582266478345,False
TIVOZANIB,12,0.5787877237555112,0.04863690670364854,False
TEMOZOLOMIDE,12,0.4157162444954733,0.0543308788075568,False
VX-702,12,0.5625165342098326,0.05691985564921197,False
"SABUTOCLAX, BI-97C1",7,-0.7263151573307647,0.06452740128636059,True
AZD8186,10,-0.5980364099370675,0.06782022799202439,True
ETP-45835,13,0.5138316114619796,0.0724614311009426,False
"CAP-232, TT-232, TLN-232",13,0.512918050278369,0.07305798857420617,False
VNLG/124,11,-0.5594626756466026,0.07353229064415678,True
VISMODEGIB,12,0.5330980215009037,0.07430444418214718,False
SIROLIMUS,10,0.5315476720357041,0.07531071894264767,False
ALVOCIDIB,13,-0.5090514670701736,0.07562089594303828,True
"AS605240, KIN001-173",12,0.5238751572090701,0.08042811408066645,False
YM-155,12,0.39147050847706094,0.08784430085673295,False
IBRUTINIB,7,0.6812542761116787,0.091954374304809,False
AZ6102,10,0.5579429053953597,0.09373619851748206,False
"MIM1, MIM 1, MIM-1",10,-0.5542197693181106,0.09642071321737875,True
SU-11274,13,0.4761897460242308,0.09997254826959692,False
BIBR-1532,10,0.5487648534689232,0.10044138064492382,False
CPI-613,13,-0.47470278989204673,0.10118674312561107,True
GENENTECH CPD 10,12,0.4926081024706635,0.10372436750828554,False
WYE-125132,13,0.46155349978745286,0.11236273318583126,False
GSK269962A,11,0.46148067610860466,0.11242684578157519,False
XMD8-92,7,-0.6489362056738481,0.11480056915143887,True
NELARABINE,7,0.6473850531081522,0.11596340728374774,False
"FMK, KIN001-242",11,0.5009457535973724,0.1165040990002429,False
"KRAS (G12C) INHIBITOR-12, GTPL8020",7,0.6424706750162262,0.11968742681719849,False
AXITINIB,12,0.4735911958550453,0.11989047763321253,False
"GSK343, GTPL8240, AOB3680, AK175558",7,0.635757610182227,0.12487228650043654,False
YK-4-279,10,-0.3868887740567705,0.12499382158915447,True
PYRIDOSTATIN,10,0.515988468014255,0.12682831661099983,False
"NSC-207895, XI-006",11,-0.48629744081557963,0.12933735206511307,True
PF-4708671,12,0.4623876066037925,0.1301480941964943,False
TRAMETINIB,12,0.3311107535597041,0.13226614105956538,False
BORTEZOMIB,10,0.45976057431601197,0.1326333551248417,False
LEFLUNOMIDE,7,0.6253318700878466,0.1331477871979766,False
RUXOLITINIB,12,0.3559765953931032,0.1346977915733512,False
VX-11E,12,0.3288595994444622,0.1350768542787791,False
LCL-161,13,-0.3447172104812324,0.13663973356771952,True
AS601245,11,0.4780981545796159,0.13689782576266024,False
"APITOLISIB, GDC0980",13,0.43479408595085256,0.13760744560936322,False
LIMK1 INHIBITOR BMS4,13,0.43385828956548955,0.13855242865960532,False
BVD-523,10,0.3405969259043452,0.1417042309717434,False
RO-3306,12,0.44944432139666074,0.142690240304945,False
GDC-0941,12,-0.26230376684526124,0.1469708159713172,True
VE-821,10,0.4901302799755497,0.15040173641365528,False
CRIZOTINIB,7,0.5189672281216873,0.15224257558198873,False
JNK INHIBITOR VIII,12,0.43569538981677186,0.1568382207386903,False
PONATINIB,11,0.45653363183175044,0.15809454151592203,False
QS11,11,0.4520232894348907,0.16277079312393142,False
BMS-536924,11,0.30060319373776195,0.16339932183029213,False
