Biomarker,TargetGene,T-stat,P-value,EffectSize,n_Deleted,n_WT,MeanEffect_Deleted,MeanEffect_WT,FDR
CTPS2,IGF2BP3,-6.33858376296006,1.0378838622864058e-05,-2.4789361040775497,15,3,-0.1501621235041723,0.0646018985840524,0.0461521006462207
CTPS2,PDCD1,-8.086964165914756,6.674144080731395e-07,-3.2180925553836404,15,3,-0.0661856998506704,0.0994018927544025,0.0118713000763969
CTPS2,TMEM185A,-6.655726202789261,7.556244289910303e-06,-2.471767862419315,15,3,-0.0869810174748608,0.057618782425102,0.0448009723948781
CTSB,SRR,-7.409728091380463,3.110021483661049e-06,-2.9933019299701438,13,5,0.0493933066459822,0.1994449655810689,0.0276589760649395
DYNC1LI2,NEUROG1,-6.880886013345116,3.7461853737281976e-06,-3.079566226751599,6,12,-0.1968911530169585,-0.0505468348482058,0.0333166996212517
EDC4,NEUROG1,-6.880886013345116,3.7461853737281976e-06,-3.079566226751599,6,12,-0.1968911530169585,-0.0505468348482058,0.0333166996212517
ERAP1,TMED2,-7.061198499860116,2.7135663093456227e-06,-3.0290346263177845,5,13,-1.0067979034805423,-0.4861872463497574,0.0486162539982361
ERI1,SRR,-7.409728091380463,3.110021483661049e-06,-2.9933019299701438,13,5,0.0493933066459822,0.1994449655810689,0.0276589760649395
ESRP2,NEUROG1,-6.880886013345116,3.7461853737281976e-06,-3.079566226751599,6,12,-0.1968911530169585,-0.0505468348482058,0.0333166996212517
FDFT1,SRR,-7.409728091380463,3.110021483661049e-06,-2.9933019299701438,13,5,0.0493933066459822,0.1994449655810689,0.0276589760649395
GRAMD4,MMP13,-7.153164853177991,4.358202529025005e-06,-3.2306352718686946,13,5,-0.0140881525669388,0.1134209276117382,0.0258397827945892
LMF2,MMP13,-7.153164853177991,4.358202529025005e-06,-3.2306352718686946,13,5,-0.0140881525669388,0.1134209276117382,0.0258397827945892
LNPEP,TMED2,-7.061198499860116,2.7135663093456227e-06,-3.0290346263177845,5,13,-1.0067979034805423,-0.4861872463497574,0.0486162539982361
MSRA,SRR,-7.409728091380463,3.110021483661049e-06,-2.9933019299701438,13,5,0.0493933066459822,0.1994449655810689,0.0276589760649395
SBF1,MMP13,-7.153164853177991,4.358202529025005e-06,-3.2306352718686946,13,5,-0.0140881525669388,0.1134209276117382,0.0258397827945892
SCO2,MMP13,-7.153164853177991,4.358202529025005e-06,-3.2306352718686946,13,5,-0.0140881525669388,0.1134209276117382,0.0258397827945892
SLC25A6,DYNLRB2,-5.870729163451022,3.2059049161257245e-05,-2.358263926270403,15,3,0.1689948020457989,0.3565626187495751,0.0475168540318434
SLC25A6,HAT1,-6.057788329658405,2.60634369564334e-05,-2.4546873600752286,15,3,-0.0922592766036722,0.161429322094243,0.0463564289707124
SYAP1,IGF2BP3,-6.33858376296006,1.0378838622864058e-05,-2.4789361040775497,15,3,-0.1501621235041723,0.0646018985840524,0.0461521006462207
SYAP1,PDCD1,-8.086964165914756,6.674144080731395e-07,-3.2180925553836404,15,3,-0.0661856998506704,0.0994018927544025,0.0118713000763969
SYAP1,TMEM185A,-6.655726202789261,7.556244289910303e-06,-2.471767862419315,15,3,-0.0869810174748608,0.057618782425102,0.0448009723948781
TBC1D22A,MMP13,-7.153164853177991,4.358202529025005e-06,-3.2306352718686946,13,5,-0.0140881525669388,0.1134209276117382,0.0258397827945892
TRMU,MMP13,-7.153164853177991,4.358202529025005e-06,-3.2306352718686946,13,5,-0.0140881525669388,0.1134209276117382,0.0258397827945892
TTC38,MMP13,-7.153164853177991,4.358202529025005e-06,-3.2306352718686946,13,5,-0.0140881525669388,0.1134209276117382,0.0258397827945892
YTHDC2,TMED2,-7.061198499860116,2.7135663093456227e-06,-3.0290346263177845,5,13,-1.0067979034805423,-0.4861872463497574,0.0486162539982361
