Gene,Entrez ID,Regression Coefficient (Effect Size),P-value,Sample Size,R-squared
HDAC6,10013,0.046733850931677,0.017917664372423904,119,0.04696465774325831
PDCD6,10016,0.2418248587570622,1.832963536353655e-14,119,0.395769319453689
CDH6,1004,0.3081532955159373,0.0015723050815170047,119,0.08218913591552723
RANBP9,10048,0.12337726315789468,1.5336714639078885e-05,117,0.15063452109399234
DNAJB6,10049,0.19012883547213172,2.893121530999615e-10,119,0.28902502593903023
SMC4,10051,0.09537014289640013,0.04553543950772859,119,0.03374049910840826
UBA2,10054,0.168202657649076,1.1674903961820784e-09,119,0.2722183945408416
DNM1L,10059,0.15713581332431514,6.730666729650498e-07,119,0.190970345056919
ABCF2,10061,0.21065654633620687,3.543718688368212e-18,119,0.4771353351401808
SCAMP3,10067,0.15116616354604515,1.0988642101878137e-07,119,0.21491549615690098
ARFRP1,10139,0.15817997977755313,0.0013375665536197662,119,0.08453409272847578
SUGP2,10147,0.16599673913043478,2.861036317462544e-06,119,0.17141297461005423
LPCAT3,10162,0.2568636428864288,2.5147224882376812e-08,119,0.2339404549301891
SORBS3,10174,0.16198081163859102,0.0005336574245594819,119,0.09782788253974062
ALG3,10195,0.26263167938931276,0.00036595549441172304,99,0.12329182024509378
CDK5,1020,0.26861660380747127,9.504394263973136e-14,119,0.3787525756143093
DDX39A,10212,0.20872335080426552,2.1629929021732652e-07,119,0.206040557042799
ZMPSTE24,10269,0.2609906124497993,1.1814759552158785e-13,119,0.3764683867543861
AKAP8,10270,0.19615667496648145,6.561084219716286e-13,119,0.35818631896817776
PAK4,10298,0.24812175715214566,2.2406641839142766e-13,119,0.36970288472790513
AKR1A1,10327,0.09308925619834704,0.003219551435342665,119,0.07178545813331594
NDRG1,10397,0.21959825388026605,2.088937293735543e-05,119,0.1439358967268024
CPQ,10404,0.1517437484677617,0.005369276349531934,119,0.06436245780726924
LYPLA1,10434,0.2163970003014771,1.8403605328786767e-11,119,0.32115070577938964
EMG1,10436,0.08100397703977039,0.006548689212849434,119,0.061483790032687224
PPIE,10450,0.17163471636642397,1.3560482114029748e-08,119,0.24178495646903908
ECI2,10455,0.19010496644295302,3.1816181919655687e-07,119,0.20094465224040092
PPIH,10465,0.20521225870867543,2.245087815814618e-10,119,0.29204086238642946
CAP1,10487,0.17344917592947495,3.859455791229495e-09,119,0.25752246512330823
CARM1,10498,0.2195537949692892,2.580164501288897e-13,119,0.36820203213665026
NCOA2,10499,0.09607586155894098,9.642901722545756e-05,110,0.13188925412409458
CHERP,10523,0.08676491422805246,0.0002911941376388223,119,0.10655071316452736
IPO8,10526,0.1576775030156815,5.6504032082189546e-06,119,0.1620844707769058
PITRM1,10531,0.18036427272727273,2.599998728743705e-05,119,0.14087016432643928
RNASEH2A,10535,0.08564706628339536,0.0037348190388553915,119,0.06963004343674284
ARFGEF1,10565,0.2034820841633466,2.1819781141630843e-12,119,0.3450659729288684
DNPH1,10591,0.194008453993461,9.906024526011707e-07,119,0.18578489098793172
IGF2BP2,10644,0.16520780859286216,0.041989230241716795,119,0.034875589602504475
SPINT2,10653,0.47628835616438353,5.1473526855553815e-20,119,0.5133293293312218
PMVK,10654,0.1580708200636943,0.0012924451461741042,119,0.08503160269369425
KHDRBS3,10656,0.25035487867836864,0.0011949943806807582,119,0.0861679132757075
FARS2,10667,0.19527424808334964,6.0510695572036136e-12,119,0.3337279741749356
DCTN6,10671,0.08288188291139241,0.005889626525390191,119,0.06302116912774036
POLD3,10714,0.1689338559119196,7.4250349983512e-05,119,0.12606605978322516
SLC12A7,10723,0.19958073577809113,8.70361841469118e-09,119,0.24737244088867327
CTSC,1075,0.14294661636406508,0.0024886429612918943,119,0.07552439191404225
GIPC1,10755,0.16233996113989632,2.4403511077779203e-09,119,0.26318842455976255
NUP50,10762,0.16534578152753104,6.363499137414881e-06,119,0.16044692106486957
ZMYND11,10771,0.09559306225591548,4.665005923512013e-05,119,0.132643878713949
RPP40,10799,0.06543445229681981,0.0263031358105019,117,0.042191975331455356
STARD10,10809,0.2089346149337709,2.0119012368416324e-05,116,0.1479819554799391
ADAM28,10863,0.23595584415584414,0.006797366175248474,51,0.14016842230581184
TSPAN9,10867,0.08502857850420999,0.0032413823392367855,110,0.07745018056026587
ME3,10873,0.14797108976871828,0.0015707647067722788,119,0.08220335468804663
SUB1,10923,0.25644947183098593,1.9441326772801167e-11,119,0.3205246465913707
SLC27A3,11000,0.13639587345254464,0.021654792316547353,119,0.04425421704048449
TMED1,11018,0.17987109277708596,2.2010500397715044e-10,119,0.2922759491757353
TDRKH,11022,0.09408987341772153,0.023366951031078,117,0.043905530417753025
RBPMS,11030,0.3349482914880587,2.2081892315137995e-06,114,0.18202459347187605
ADRM1,11047,0.061452105263157884,0.0141021023838154,119,0.050403405971995885
OGFR,11054,0.1765316939890711,6.261172701896667e-09,119,0.25149859320943857
DIDO1,11083,0.10670348027842225,0.0006075563544501118,119,0.09595561439647082
PRSS23,11098,0.20987164383561635,0.0174702883638027,75,0.07494772995243693
CDC37,11140,0.23368196622436674,1.883121020007884e-20,119,0.521560181246709
PTP4A3,11156,0.1569631944444445,0.044022194175735184,104,0.03916885901013434
ABCB8,11194,0.19979760765550236,3.620299759442491e-08,117,0.23277519394788748
CHKB,1120,0.08512893157262905,0.046376146392745045,109,0.03657065799357928
ZHX1,11244,0.14848498349834977,0.0009472280148192933,68,0.15364535989523032
NACC1,112939,0.2119630345885159,3.7296744239942845e-08,119,0.22889595348213054
VPS45,11311,0.09421718038528894,0.0007303860533437689,119,0.09329491224673625
C12orf57,113246,0.09756501696268206,0.0024059037425911128,119,0.0760153068716366
PHB2,11331,0.14232756934743557,2.0133115659462783e-06,119,0.17619732655314313
EXOC3,11336,0.035178072033898306,0.013194840252709566,119,0.05136047131071908
MFSD3,113655,0.46634117647058815,6.961771401515994e-07,53,0.38578969783226713
CCDC124,115098,0.2347473844812554,1.9014523039036296e-10,119,0.2940100272398256
TBCB,1155,0.31476585475462876,2.049068725368929e-17,119,0.4613631068662275
CTHRC1,115908,0.28407608695652176,0.005971890886329915,119,0.06282008034663011
