Protein,MissingPercent
PYY,97.10144927536231
OTUD1,96.1352657004831
DMKN,96.1352657004831
GRB14,95.65217391304348
ABCB9,95.65217391304348
IMMP2L,95.65217391304348
SASS6,95.65217391304348
ZNF721,95.65217391304348
SCGB1A1,95.65217391304348
TRIL,95.65217391304348
ZBTB46,94.68599033816425
CD3E,94.68599033816425
C14orf93,94.68599033816425
C20orf194,94.68599033816425
CAMKMT,94.68599033816425
SH2D1A,94.20289855072464
ZNF773,94.20289855072464
PRSS33,94.20289855072464
FGFBP1,94.20289855072464
RARG,94.20289855072464
LIME1,94.20289855072464
EMID1,94.20289855072464
CADM2,94.20289855072464
KIF18A,94.20289855072464
KDM8,94.20289855072464
CNKSR2,93.71980676328504
KLF16,93.71980676328504
ACOT4,93.23671497584542
RSPH9,93.23671497584542
SHB,93.23671497584542
RAD51AP1,93.23671497584542
RIPK4,93.23671497584542
PLEKHG4,93.23671497584542
CRYBB1,93.23671497584542
CENPI,93.23671497584542
DGKG,93.23671497584542
SMYD4,93.23671497584542
THSD7A,92.7536231884058
LAPTM4B,92.7536231884058
RNF150,92.7536231884058
RERG,92.7536231884058
CA4,92.7536231884058
COL6A5,92.7536231884058
HGF,92.7536231884058
PRSS50,92.7536231884058
CCL21,92.27053140096618
ABCC12,92.27053140096618
USP33,92.27053140096618
MMS22L,92.27053140096618
ZNF513,92.27053140096618
CENPT,91.78743961352657
NSUN3,91.78743961352657
TRAK1,91.78743961352657
SCGN,91.78743961352657
CPEB3,91.78743961352657
KLHL4,91.78743961352657
GRIP1,91.78743961352657
SAC3D1,91.78743961352657
SCGB1D2,91.78743961352657
DCLRE1C,91.30434782608695
ARMC5,91.30434782608695
FMO3,91.30434782608695
PERP,91.30434782608695
FRMD5,91.30434782608695
HAMP,91.30434782608695
PRODH,91.30434782608695
ZWINT,91.30434782608695
SHROOM1,91.30434782608695
PUSL1,91.30434782608695
RTTN,91.30434782608695
RAD18,91.30434782608695
ADAMTSL4,91.30434782608695
ZNRD1,90.82125603864735
SIMC1,90.82125603864735
CD3G,90.82125603864735
CHIT1,90.33816425120773
SCUBE3,90.33816425120773
RILPL2,90.33816425120773
KRT31,90.33816425120773
S100A3,90.33816425120773
RMND5B,90.33816425120773
GPR125,90.33816425120773
TRIM36,90.33816425120773
LGR6,90.33816425120773
CEP78,90.33816425120773
PDGFD,90.33816425120773
KIAA1210,90.33816425120773
RUSC1,90.33816425120773
SCG3,89.85507246376811
PRF1,89.85507246376811
CRYGC,89.85507246376811
SLC6A6,89.85507246376811
SOSTDC1,89.85507246376811
SYDE1,89.85507246376811
TAB3,89.85507246376811
TNMD,89.85507246376811
TRMT2B,89.85507246376811
TUBE1,89.85507246376811
ZKSCAN7,89.85507246376811
ZNF189,89.85507246376811
HIVEP2,89.85507246376811
ARHGEF3,89.85507246376811
KAL1,89.85507246376811
MATN1,89.85507246376811
BBS4,89.85507246376811
PDZD2,89.85507246376811
