,Gene
0,AGRN
1,ATAD3A
2,ATAD3B
3,B3GALT6
4,CDK11B
5,CPSF3L
6,FAM213B
7,GLTPD1
8,GNB1
9,ISG15
10,MIB2
11,MRPL20
12,NADK
13,NOC2L
14,PANK4
15,PRKCZ
16,RER1
17,SDF4
18,SSU72
19,UBE2J2
20,VWA1
21,ARHGEF16
22,MEGF6
23,TPRG1L
24,LRRC47
25,DFFB
26,C1orf174
27,KCNAB2
28,RPL22
29,ICMT
30,ACOT7
31,ESPN
32,NOL9
33,DNAJC11
34,PARK7
35,RERE
36,ENO1
37,SLC2A5
38,H6PD
39,TMEM201
40,PIK3CD
41,CLSTN1
42,CTNNBIP1
43,LZIC
44,NMNAT1
45,UBE4B
46,KIF1B
47,PGD
48,DFFA
49,PEX14
50,CASZ1
51,TARDBP
52,SRM
53,EXOSC10
54,MTOR
55,FBXO2
56,FBXO44
57,FBXO6
58,AGTRAP
59,MTHFR
60,KIAA2013
61,PLOD1
62,MFN2
63,VPS13D
64,DHRS3
65,PRDM2
66,KAZN
67,EFHD2
68,CASP9
69,DNAJC16
70,DDI2
71,PLEKHM2
72,FBLIM1
73,SPEN
74,EPHA2
75,SZRD1
76,NECAP2
77,CROCC
78,MFAP2
79,SDHB
80,PADI2
81,PADI4
82,RCC2
83,ARHGEF10L
84,ACTL8
85,ALDH4A1
86,UBR4
87,EMC1
88,MRTO4
89,AKR7A2
90,CAPZB
91,MINOS1-NBL1
92,TMCO4
93,PLA2G2A
94,MUL1
95,CDA
96,DDOST
97,HP1BP3
98,EIF4G3
99,ECE1
100,ALPL
101,RAP1GAP
102,USP48
103,HSPG2
104,CDC42
105,C1QA
106,C1QC
107,C1QB
108,EPHB2
109,KDM1A
110,LUZP1
111,HNRNPR
112,TCEA3
113,ASAP3
114,RPL11
115,TCEB3
116,PITHD1
117,GALE
118,HMGCL
119,LYPLA2
120,FUCA1
121,SRSF10
122,CLIC4
123,SYF2
124,TMEM57
125,LDLRAP1
126,MTFR1L
127,STMN1
128,PAFAH2
129,ZNF593
130,CNKSR1
131,NUDC
132,WDTC1
133,TMEM222
134,SYTL1
135,MAP3K6
136,FCN3
137,WASF2
138,AHDC1
139,FGR
140,FAM76A
141,STX12
142,PPP1R8
143,THEMIS2
144,RPA2
145,SMPDL3B
146,EYA3
147,DNAJC8
148,ATPIF1
149,TRNAU1AP
150,EPB41
151,SRSF4
152,MECR
153,PTPRU
154,PUM1
155,SNRNP40
156,ZCCHC17
157,FABP3
158,TINAGL1
159,PEF1
160,COL16A1
161,PTP4A2
162,KHDRBS1
163,KPNA6
164,TXLNA
165,EIF3I
166,HDAC1
167,MARCKSL1
168,BSDC1
169,RBBP4
170,KIAA1522
171,YARS
172,AK2
173,ZNF362
174,PHC2
175,SMIM12
176,SFPQ
177,ZMYM4
