Gene,T-statistic (Deletion vs Neutral),P-value (Deletion vs Neutral),Cohen's d (Deletion vs Neutral)
COPS2,-6.256019390189081,0.0091326159030931,-1.429743819408701
CTDP1,-5.53565481746797,0.0179963682018316,-1.596586942479762
CTPS2,-3.271041358032861,0.0293106854290357,-0.8163064477570544
CTSB,-3.417244328502601,0.0087468023166656,-1.4564049677497493
CTTNBP2NL,-5.226903787811874,0.0003118876409418,-0.777001226535716
CWC27,-2.870999331549006,0.0308981287532213,-1.2189709831382336
CYB5A,-7.99704569061557,0.0083308616625931,-2.211545022346745
CYB5B,-5.399035925027014,0.0168659302261598,-1.96653769148564
CYB5R3,-4.492966212186024,0.0002895739398934,-1.5124886300282232
DAPK2,-4.443654823631489,0.0078988580779042,-1.21992061654381
DAZAP1,-2.779175471739204,0.0473730670556501,-1.985580534599436
DBI,-6.305364993134133,0.0247711006393811,-1.3684164461315742
DCTN6,-2.27263612158483,0.0473504663678154,-0.999758654963954
DDI2,-15.152641584642913,6.22996068571727e-18,-2.488747318105025
DENND2D,-6.722564378216776,0.0099055749156199,-1.3507339280630757
DHFR,-2.31534474340896,0.0492035820822073,-0.8325086973693352
DHX29,-8.689682150264277,0.0033808821337494,-3.076614025466605
DIMT1,-3.883392967962387,0.0090766626697514,-1.169509016103444
DLG1,-15.1119761274673,2.1677714239934345e-14,-3.079598845502254
DMD,-2.777316385666586,0.0101698204188508,-0.9594761462544364
DNAJC16,-9.02901996274486,2.4519800379561737e-10,-1.5423485436469262
DOCK6,-5.2325988233653815,0.0016353081335875,-1.1935486522346292
DOCK9,-4.910343439583949,0.0414529246892691,-1.4738486629157148
DPYSL2,-2.4694772584036624,0.0203940621497893,-0.7649584289003531
DYNC1LI2,-5.837918169397974,0.0396226467410444,-2.3828961742459294
EDC4,-3.8776681111375817,0.0376877941829478,-1.450837090195583
EEF2,-4.3442161310449,0.0056608362657326,-1.724779642549808
EFHD2,-7.090203160652671,1.6123351379766442e-08,-1.1658249981139237
EFNB2,-3.142849995144236,0.0236527859201494,-0.6804667366977765
EIF1AX,-2.720303623283016,0.0209856566337051,-0.5682524619653267
EIF2AK4,-7.635547162845686,0.0134391843519218,-2.052760737324735
ELMO3,-7.442554382692025,3.3974274358119574e-05,-1.970119294759149
ELP3,-2.980001095124158,0.0057889336912498,-0.8036403154678382
EMC8,-8.798634149520012,6.135925522452986e-08,-2.08001945638328
ENPP2,-3.487363936180748,0.0074863613735633,-1.1363107526925085
EPHX2,-5.930926258702377,2.1065662338172785e-06,-1.5924493155315993
ERAP1,-4.88877184298379,0.0027466867329751,-1.4575131692551004
ERBB2IP,-9.070245312983802,3.667305487665356e-05,-2.2976301236200225
ERI1,-4.869951073155869,0.0010985935075195,-2.320553007012601
ERMP1,-8.912092992504334,0.0002569385570074,-3.074951301481233
ESD,-4.222664277042837,0.03872650687682,-2.6656120582541285
ESRP2,-4.654109244212889,0.0004595013592504,-1.3812290663887028
EZR,-5.187029167383108,0.006782676713391,-2.4564555447539984
FAM172A,-4.528738985207489,0.0078457943057056,-1.6406274426582244
FARP1,-10.024949739434584,0.0167737629368701,-3.3318530409195644
FBLIM1,6.245133567118989,3.2597250965304186e-07,1.0609882219410929
FCHO2,-4.544371667266043,0.0001241539799916,-1.0896320569489906
FDFT1,-3.3161325826472843,0.0054709922295089,-1.094721433809804
FNDC3A,-4.905984875036254,0.0094471723039668,-2.6963479343548
FRG1,-4.779979592761422,0.0210969639546457,-1.3744895107192296
GALNS,-2.7289804559056035,0.0228355596477649,-0.7067890717586842
GAMT,-2.946091909527184,0.0166723137122438,-1.3287769218250782
GCHFR,-4.790267659455113,0.0005552828777607,-1.0944687179807135
GCSH,-6.201738010821573,0.0046342272874097,-2.6447901084270806
GET4,-4.455430174430084,0.0258172383690663,-1.1934194102774058
GK,-3.3888124026954114,0.0178777191683736,-1.3650590069454618
GLG1,-4.516738767385874,0.038143113742689,-1.7091685284780431
GNA11,-4.545933515774178,0.0027271302565469,-1.8882798980768425
GNAI3,-4.109248740476694,0.0044101614605446,-0.6611723175722825
GPX4,-3.9750116794941337,0.006624526195454,-2.309840721317759
GRAMD4,-3.0211349415300446,0.0083489397790481,-1.3860893032735455
GSR,-7.071970794247819,5.487057544664956e-06,-2.1777519420266453
GSTM1,-4.057770865092866,0.0151276931794345,-0.768381873666832
GTF2E2,-4.758495533644016,0.0002935809983082,-1.4574086968019346
GTF2F2,-6.007363449651569,0.042486159745024,-2.349520980143019
GTF2H2C,-2.405730884495388,0.0453361715416869,-1.0279274178045386
GZMK,-3.7740581913979625,0.0006635521341712,-0.6832491361841968
HCCS,-4.147948362114335,0.0232500636171525,-1.6825658073537422
HEBP2,-6.218847924490743,0.0001782291242525,-1.3291925068435488
HEXB,-5.641282342299675,1.2481663208825876e-05,-1.468877940557834
HMGB2,-11.34138526395065,3.6029512769582403e-13,-1.9960608243851328
HN1L,-4.747527652256856,0.0331927386002251,-1.4949033932544222
IGF2BP3,-6.842947675302277,0.0032960968100582,-1.4529116493360517
IPO5,-12.18805841277323,4.961240231790959e-06,-2.409339374017412
ITM2B,-5.930876262036555,2.142362278970002e-05,-1.677921761473991
IVD,-11.636335921347124,0.0001270310033373,-2.4608197951132103
KANK2,-2.284395982281238,0.0432358796936964,-0.4806661245539371
KIF13B,-2.6769622262878587,0.0192676674821275,-0.9652300441995836
KLHDC4,-3.640750044736643,0.0421917906547475,-2.331516954694361
KPNA3,-6.37536678180406,0.0024622448745785,-2.8272954367347687
LMF2,-3.298525737397895,0.0040221926623266,-1.3310432323826822
LNPEP,-3.0972185695047405,0.0422192893114236,-1.6615399123757002
LRCH1,-7.200685206304369,0.0162866070558195,-2.34366211848054
LRRC57,-6.982063530209398,0.0205151364873538,-2.0210606639838646
LSM1,-5.547508656014943,0.0207609958549374,-2.853349755528624
LSM7,-3.073454356806129,0.0140412196907186,-1.3439295506417122
MACC1,-4.49480575543326,0.0124725446664642,-1.098474779512116
MAP1B,-3.857813255887789,0.0009096910207214,-0.9731011197619324
