Gene,T-statistic (Amplification vs Neutral),P-value (Amplification vs Neutral),Cohen's d (Amplification vs Neutral),T-statistic (Deletion vs Neutral),P-value (Deletion vs Neutral),Cohen's d (Deletion vs Neutral)
A1BG,,,,,,
A2M,,,,,,
A2ML1,,,,,,
AACS,,,,,,
AAGAB,,,,,,
AAK1,,,,,,
AAMDC,,,,,,
AAR2,,,,,,
AARS,,,,,,
AARS2,,,,,,
AARSD1,,,,,,
AASDHPPT,,,,,,
AASS,,,,,,
AATF,,,,,,
ABAT,,,,,,
ABCA2,,,,,,
ABCB10,,,,,,
ABCB6,,,,,,
ABCB7,,,,,,
ABCB8,,,,,,
ABCC1,,,,,,
ABCC10,,,,,,
ABCC3,,,,,,
ABCC4,,,,,,
ABCD1,,,,,,
ABCD3,,,,,,
ABCE1,,,,,,
ABCF1,,,,,,
ABCF2,,,,,,
ABCF3,,,,,,
ABHD10,,,,,,
ABHD11,,,,,,
ABHD12,,,,,,
ABHD14B,,,,,,
ABHD16A,,,,,,
ABHD17B,,,,,,
ABHD4,,,,,,
ABI1,,,,,,
ABI2,,,,,,
ABI3,,,,,,
ABI3BP,,,,,,
ABL1,,,,,,
ABLIM1,,,,,,
ABR,,,,,,
ABRACL,,,,,,
ABT1,,,,,,
ACACA,,,,,,
ACAD10,,,,,,
ACAD11,,,,,,
ACAD8,,,,,,
ACAD9,,,,,,
ACADM,,,,,,
ACADS,,,,,,
ACADSB,,,,,,
ACADVL,,,,,,
ACAP1,,,,,,
ACAP2,,,,,,
ACAT1,,,,,,
ACAT2,,,,,,
ACBD3,,,,,,
ACBD5,,,,,,
ACBD6,,,,,,
ACBD7,,,,,,
ACE,,,,,,
ACIN1,,,,,,
ACLY,,,,,,
ACN9,,,,,,
ACO1,,,,,,
ACO2,,,,,,
ACOT11,,,,,,
ACOT13,,,,,,
ACOT7,,,,,,
ACOT8,,,,,,
ACOT9,,,,,,
ACOX1,,,,,,
ACOX2,,,,,,
ACOX3,,,,,,
ACP1,,,,,,
ACP2,,,,,,
ACP5,,,,,,
ACP6,,,,,,
ACPP,,,,,,
ACSF2,,,,,,
ACSF3,,,,,,
ACSL1,,,,,,
ACSL5,,,,,,
ACSM3,,,,,,
ACSS1,,,,,,
ACSS2,,,,,,
ACTA1,,,,,,
ACTB,,,,,,
ACTBL2,,,,,,
ACTG1,,,,,,
ACTG2,,,,,,
ACTL6A,,,,,,
ACTL8,,,,,,
ACTN1,,,,,,
ACTN4,,,,,,
ACTR1B,,,,,,
ACTR2,,,,,,
ACTR3,,,,,,
ACTR3B,,,,,,
ACTR5,,,,,,
ACVR1,,,,,,
ACY1,,,,,,
ACYP1,,,,,,
ACYP2,,,,,,
ADA,,,,,,
ADAM15,,,,,,
ADAM17,,,,,,
ADAM28,,,,,,
ADAM9,,,,,,
ADAMTS16,,,,,,
ADAMTSL1,,,,,,
ADAP1,,,,,,
ADAP2,,,,,,
ADAR,,,,,,
ADARB1,,,,,,
ADCK1,,,,,,
ADCK3,,,,,,
ADCK4,,,,,,
ADCK5,,,,,,
ADD1,,,,,,
ADD2,,,,,,
ADI1,,,,,,
ADK,,,,,,
ADNP,,,,,,
ADO,,,,,,
ADPGK,,,,,,
ADPRH,,,,,,
ADPRHL2,,,,,,
ADRBK1,,,,,,
ADRM1,,,,,,
ADSS,,,,,,
ADSSL1,,,,,,
AES,,,,,,
AFAP1,,,,,,
AFAP1L2,,,,,,
AFF4,,,,,,
AFG3L2,,,,,,
AFM,,,,,,
AFTPH,,,,,,
AGA,,,,,,
AGAP1,,,,,,
AGAP3,,,,,,
AGFG2,,,,,,
AGK,,,,,,
AGL,,,,,,
AGO1,,,,,,
AGO2,,,,,,
AGO3,,,,,,
AGPAT1,,,,,,
AGPAT2,,,,,,
AGPAT3,,,,,,
AGPAT4,,,,,,
AGPAT5,,,,,,
AGPAT6,,,,,,
AGPS,,,,,,
AGR2,,,,,,
AGR3,,,,,,
AGRN,,,,,,
AGT,,,,,,
AGTRAP,,,,,,
AHCTF1,,,,,,
AHCY,,,,,,
AHCYL1,,,,,,
AHCYL2,,,,,,
AHDC1,,,,,,
AHNAK,,,,,,
AHNAK2,,,,,,
AHR,,,,,,
AHSA1,,,,,,
AHSG,,,,,,
AIDA,,,,,,
AIF1,,,,,,
AIF1L,,,,,,
AIM1,,,,,,
AIMP2,,,,,,
AIP,,,,,,
AK1,,,,,,
AK2,,,,,,
AK3,,,,,,
AK4,,,,,,
AKAP1,,,,,,
AKAP10,,,,,,
AKAP11,,,,,,
AKAP12,,,,,,
AKAP13,,,,,,
AKAP17A,,,,,,
AKAP8,,,,,,
AKAP8L,,,,,,
AKAP9,,,,,,
AKR1A1,,,,,,
AKR1B1,,,,,,
AKR1C2,,,,,,
AKR1C3,,,,,,
AKR7A2,,,,,,
AKT1,,,,,,
AKT2,,,,,,
AKT3,,,,,,
ALB,,,,,,
ALCAM,,,,,,
ALDH1A1,,,,,,
ALDH1A3,,,,,,
ALDH1B1,,,,,,
ALDH1L1,,,,,,
ALDH1L2,,,,,,
ALDH2,,,,,,
ALDH3A2,,,,,,
ALDH3B1,,,,,,
ALDH4A1,,,,,,
ALDH5A1,,,,,,
ALDH6A1,,,,,,
ALDH7A1,,,,,,
ALDH9A1,,,,,,
ALDOA,,,,,,
ALDOC,,,,,,
ALG1,,,,,,
ALG10,,,,,,
ALG11,,,,,,
ALG12,,,,,,
ALG3,,,,,,
ALG6,,,,,,
ALG8,,,,,,
ALG9,,,,,,
ALKBH2,,,,,,
ALKBH4,,,,,,
ALKBH5,,,,,,
ALPL,,,,,,
ALS2,,,,,,
ALYREF,,,,,,
AMDHD2,,,,,,
AMPD2,,,,,,
AMPH,,,,,,
AMY1A,,,,,,
ANAPC10,,,,,,
ANAPC2,,,,,,
ANAPC5,,,,,,
ANAPC7,,,,,,
ANG,,,,,,
ANGEL2,,,,,,
ANGPTL2,,,,,,
ANK1,,,,,,
ANK2,,,,,,
ANK3,,,,,,
ANKHD1,,,,,,
ANKIB1,,,,,,
ANKLE2,,,,,,
ANKMY2,,,,,,
ANKRD13A,,,,,,
ANKRD17,,,,,,
ANKRD26,,,,,,
ANKRD27,,,,,,
ANKRD28,,,,,,
ANKRD44,,,,,,
ANKRD49,,,,,,
ANKRD52,,,,,,
ANKRD54,,,,,,
ANKRD6,,,,,,
ANKS1A,,,,,,
ANKZF1,,,,,,
ANLN,,,,,,
ANO1,,,,,,
ANO6,,,,,,
ANP32A,,,,,,
ANP32E,,,,,,
ANPEP,,,,,,
ANTXR1,,,,,,
ANTXR2,,,,,,
ANXA1,,,,,,
ANXA11,,,,,,
ANXA2,,,,,,
ANXA3,,,,,,
ANXA4,,,,,,
ANXA6,,,,,,
ANXA7,,,,,,
ANXA9,,,,,,
AOC1,,,,,,
AOC3,,,,,,
AOX1,,,,,,
AP1B1,,,,,,
AP1G1,,,,,,
AP1G2,,,,,,
AP1M1,,,,,,
AP1M2,,,,,,
AP1S1,,,,,,
AP1S2,,,,,,
AP2A2,,,,,,
AP2B1,,,,,,
AP2M1,,,,,,
AP2S1,,,,,,
AP3B1,,,,,,
AP3D1,,,,,,
AP3M1,,,,,,
AP3M2,,,,,,
AP3S1,,,,,,
AP4B1,,,,,,
AP4S1,,,,,,
AP5B1,,,,,,
AP5Z1,,,,,,
APAF1,,,,,,
APBB1IP,,,,,,
APBB2,,,,,,
APC,,,,,,
APCS,,,,,,
APEH,,,,,,
APEX1,,,,,,
APH1A,,,,,,
APIP,,,,,,
APLP2,,,,,,
APMAP,,,,,,
APOA1,,,,,,
APOA1BP,,,,,,
APOA2,,,,,,
APOA4,,,,,,
APOB,,,,,,
APOBEC3B,,,,,,
APOBEC3C,,,,,,
APOBEC3F,,,,,,
APOBEC3G,,,,,,
APOC1,,,,,,
APOC2,,,,,,
APOC3,,,,,,
APOD,,,,,,
APOE,,,,,,
APOF,,,,,,
APOH,,,,,,
APOL1,,,,,,
APOL2,,,,,,
APOL3,,,,,,
APOM,,,,,,
APOO,,,,,,
APOOL,,,,,,
APPL1,,,,,,
APPL2,,,,,,
APRT,,,,,,
APTX,,,,,,
AQR,,,,,,
ARAF,,,,,,
ARAP1,,,,,,
ARCN1,,,,,,
ARF4,,,,,,
ARF5,,,,,,
ARF6,,,,,,
ARFGAP1,,,,,,
ARFGAP2,,,,,,
ARFGAP3,,,,,,
ARFGEF1,,,,,,
ARFGEF2,,,,,,
ARFIP1,,,,,,
ARFRP1,,,,,,
ARGLU1,,,,,,
ARHGAP1,,,,,,
ARHGAP10,,,,,,
ARHGAP12,,,,,,
ARHGAP17,,,,,,
ARHGAP18,,,,,,
ARHGAP21,,,,,,
ARHGAP25,,,,,,
ARHGAP26,,,,,,
ARHGAP27,,,,,,
ARHGAP29,,,,,,
ARHGAP30,,,,,,
ARHGAP32,,,,,,
ARHGAP4,,,,,,
ARHGAP5,,,,,,
ARHGAP6,,,,,,
ARHGAP8,,,,,,
ARHGAP9,,,,,,
ARHGDIA,,,,,,
ARHGDIB,,,,,,
ARHGEF1,,,,,,
ARHGEF10,,,,,,
ARHGEF10L,,,,,,
ARHGEF11,,,,,,
ARHGEF12,,,,,,
ARHGEF16,,,,,,
ARHGEF17,,,,,,
ARHGEF18,,,,,,
ARHGEF2,,,,,,
ARHGEF28,,,,,,
ARHGEF37,,,,,,
ARHGEF40,,,,,,
ARHGEF5,,,,,,
ARHGEF6,,,,,,
ARHGEF7,,,,,,
ARID1A,,,,,,
ARID1B,,,,,,
ARID2,,,,,,
ARID3A,,,,,,
ARID4B,,,,,,
ARID5B,,,,,,
ARIH1,,,,,,
ARL1,,,,,,
ARL14EP,,,,,,
ARL15,,,,,,
ARL2,,,,,,
ARL2BP,,,,,,
ARL4C,,,,,,
ARL5A,,,,,,
ARL5B,,,,,,
ARL6,,,,,,
ARL6IP1,,,,,,
ARL6IP4,,,,,,
ARL6IP5,,,,,,
ARL8A,,,,,,
ARL8B,,,,,,
ARMC1,,,,,,
ARMC10,,,,,,
ARMC6,,,,,,
ARMC8,,,,,,
ARNT,,,,,,
ARPC1A,,,,,,
ARPC1B,,,,,,
ARPC3,,,,,,
ARPC4,,,,,,
ARPC5,,,,,,
ARPC5L,,,,,,
ARPP19,,,,,,
ARRB1,,,,,,
