,Gene
0,79932
1,5690
2,26523
3,192669
4,1296
5,27095
6,55700
7,9967
8,127700
9,64960
10,80149
11,64769
12,79753
13,29889
14,127687
15,3633
16,10946
17,2275
18,64121
19,26292
20,4725
21,23499
22,8761
23,10450
24,54802
25,10487
26,5538
27,6018
28,10269
29,4802
30,1503
31,22887
32,79717
33,10465
34,4904
35,79078
36,6513
37,10969
38,149466
39,64834
40,112950
41,23334
42,81888
43,5792
44,9682
45,9670
46,1802
47,55929
48,79033
49,8891
50,5052
51,10327
52,4678
53,55624
54,10489
55,7388
56,387338
57,2166
58,4853
59,51205
60,607
61,51027
62,9557
63,2209
64,653519
65,9659
66,8799
67,10623
68,5565
69,9939
70,9554
71,10628
72,10262
73,56957
74,11311
75,51177
76,81611
77,51107
78,54460
79,9129
80,23248
81,80222
82,1893
83,4170
84,2029
85,55204
86,1520
87,1513
88,405
89,9869
90,29956
91,8416
92,79626
93,6944
94,8394
95,5710
96,57592
97,5298
98,5993
99,23126
100,5692
101,8991
102,57530
103,7286
104,81609
105,65005
106,11022
107,117145
108,6281
109,6282
110,7062
111,6283
112,6279
113,6280
114,6278
115,6275
116,6277
117,6273
118,140576
119,57402
120,6284
121,6271
122,26097
123,23557
124,3608
125,4881
126,65123
127,11000
128,57459
129,10654
130,57326
131,90780
132,6464
133,1163
134,80308
135,51043
136,8751
137,54344
138,55974
139,200185
140,4582
141,7059
142,4580
143,10067
144,1196
145,5313
146,2224
147,55870
148,55154
149,6016
150,9181
151,56893
152,28956
153,57111
154,92312
155,4000
156,23381
157,7203
158,84320
159,9213
160,3918
161,6726
162,2052
163,9725
164,29920
165,286826
166,142
167,8476
168,79169
169,128308
170,2987
171,200205
172,5867
173,58
174,55746
175,23456
176,9816
177,2590
178,22796
179,84886
180,79573
181,8443
182,149371
183,54583
184,7257
185,84284
186,388753
187,6894
188,359948
189,23029
190,51742
191,9453
192,6905
193,4811
194,3964
195,55127
196,4548
197,2271
198,1122
199,9859
200,10000
201,51029
202,116228
203,3192
204,64754
205,25909
206,163882
207,51097
208,64216
209,80851
210,56987
211,961
212,55081
213,22989
214,26137
215,4045
216,10274
217,51163
218,25852
219,22808
220,55179
221,5291
222,56945
223,9276
224,5947
225,349565
226,55186
227,5922
228,483
229,7029
230,54464
231,5357
232,23350
233,5352
234,5359
235,2992
236,6596
237,84343
238,1356
239,4071
240,25937
241,51122
242,5217
243,9819
244,51714
245,4154
246,5912
247,170506
248,4311
249,9197
250,8833
251,6747
252,389170
253,57018
254,5806
255,51319
256,4291
257,85476
258,56925
259,5918
260,64747
261,57560
262,10051
263,3840
264,151742
265,8706
266,51068
267,590
268,79740
269,11235
270,27333
271,2122
272,7095
273,80012
274,5584
275,200916
276,56648
277,5337
278,64778
279,8743
280,57552
281,1894
282,254827
283,79718
284,5290
285,55669
286,59345
287,86
288,57129
289,4711
290,8975
291,8087
292,131118
293,23200
294,54165
295,56922
296,1173
297,1857
298,8893
299,55486
300,55689
301,55324
302,10195
303,9718
304,5708
305,1981
306,5437
307,2049
308,23355
309,1962
310,59343
311,10644
312,6434
313,51726
314,197
315,26998
316,3827
317,1974
318,5984
319,6480
320,4026
321,9076
322,3556
323,152137
324,151963
325,4976
326,131578
327,79572
328,55341
329,152002
330,23527
331,347
332,5504
333,7037
334,5130
335,26043
336,22916
337,5062
338,54965
339,622
340,84248
341,84859
342,6165
343,65980
344,133957
345,11336
346,10016
347,6389
348,11076
349,9319
350,10723
351,81037
352,79888
353,4726
354,170690
355,84246
356,54888
357,4552
358,22948
359,134147
360,7204
361,90268
362,90441
363,4651
364,10409
365,1004
366,29102
367,55322
368,64083
369,54545
370,51663
371,10923
372,114899
373,26064
374,55299
375,134218
376,79925
377,92255
378,133686
379,25836
380,9631
381,55100
382,253260
383,735
384,1601
385,55770
386,2762
387,56897
388,1992
389,5272
390,5269
391,4835
392,8737
393,670
394,7280
395,389362
396,10455
397,9425
398,10799
399,648791
400,57128
401,10667
402,2162
403,6239
404,6745
405,83732
406,1832
407,154007
408,81567
409,63915
410,9521
411,7020
412,55003
413,51522
414,23408
415,51406
416,10048
417,63933
418,84062
419,2766
420,51439
421,9972
422,63971
423,7172
424,221656
425,7913
426,154141
427,1871
428,54901
429,51473
430,57380
431,2822
432,7915
433,55856
434,23070
435,154467
436,116113
437,129685
438,647024
439,89953
440,5754
441,6722
442,10591
443,55131
444,4899
445,7328
446,51530
447,84928
448,51200
449,95681
450,4232
451,26958
452,4289
453,5420
454,54927
455,60412
456,231
457,669
458,800
459,29062
460,4850
461,23165
462,5764
463,8805
464,92092
465,56829
466,254048
467,6916
468,64761
469,401409
470,23608
471,4708
472,673
473,51650
474,55750
475,6742
476,23601
477,8972
478,5644
479,5645
480,373156
481,835
482,7791
483,7984
484,27010
485,8454
486,2146
487,9601
488,5919
489,29803
490,155038
491,168537
492,55303
493,170575
494,28959
495,26
496,11194
497,1020
498,6522
499,83590
500,116988
501,10061
502,54480
503,6604
504,51667
505,6009
506,51422
507,58508
508,57180
509,22976
510,155435
511,64434
512,9690
513,10049
514,57488
515,54892
516,286
517,51606
518,6917
519,10434
520,29088
521,64321
522,137695
523,96764
524,4067
525,6224
526,79145
527,767
528,5862
529,55636
530,444
531,10565
532,23213
533,10499
534,7013
535,157869
536,389677
537,54845
538,55656
539,137682
540,79666
541,9791
542,7381
543,6383
544,10404
545,85453
546,92140
547,4147
548,6156
549,1345
550,6674
551,26986
552,7534
553,51123
554,79977
555,83988
556,50484
557,51366
558,528
559,8323
560,115908
561,81034
562,25879
563,55074
564,3646
565,9694
566,84955
567,56943
568,9166
569,7227
570,8667
571,84294
572,5885
573,90390
574,5168
575,6873
576,79075
577,64798
578,7373
579,28998
580,6641
581,22882
582,79139
583,11244
584,29028
585,157769
586,157378
587,11236
588,83940
589,4715
590,6713
591,286053
592,50807
593,23167
594,51105
595,10397
596,6482
597,10656
598,83696
599,54108
600,27161
601,22898
602,5747
603,11156
604,51337
605,1584
606,1585
607,4061
608,79792
609,1936
610,286077
611,23513
612,22827
613,340371
614,83481
615,5339
616,84875
617,26873
618,54512
619,8733
620,1537
621,81858
622,84232
623,727957
624,203054
625,23246
626,65265
627,414919
628,28991
629,29894
630,8694
631,26233
632,3297
633,9684
634,113655
635,6132
636,4796
637,51160
638,22982
639,347688
640,10771
641,23185
642,23560
643,3422
644,22884
645,5214
646,10531
647,1646
648,8644
649,51806
650,2665
651,84991
652,5209
653,9231
654,11128
655,55107
656,8772
657,8500
658,2017
659,3636
660,81570
661,116985
662,10809
663,9873
664,9828
665,23201
666,5870
667,51642
668,51287
669,80227
670,51400
671,283209
672,387787
673,10714
674,9789
675,408
676,6188
677,871
678,80168
679,7405
680,7481
681,2615
682,726
683,1207
684,51773
685,28971
686,92105
687,65987
688,4718
689,79053
690,283219
691,9846
692,79731
693,26011
694,5547
695,51585
696,60492
697,55863
698,84233
699,8301
700,8726
701,10873
702,11098
703,65084
704,1075
705,4316
706,5927
707,65125
708,23085
709,196513
710,2288
711,55846
712,10867
713,4704
714,7450
715,928
716,55080
717,51258
718,9918
719,2597
720,4839
721,1108
722,171017
723,50813
724,8079
725,5763
726,920
727,8078
728,7167
729,2026
730,113246
731,5777
732,11331
733,10436
734,10162
735,716
736,715
737,51279
738,5830
739,9332
740,25977
741,8076
742,144568
743,4074
744,2120
745,54477
746,5139
747,79912
748,5965
749,51026
750,3945
751,55907
752,9847
753,55500
754,586
755,3845
756,79365
757,3709
758,26127
759,51768
760,9412
761,23012
762,8496
763,60488
764,55297
765,51290
766,10526
767,1663
768,636
769,121512
770,10059
771,51067
772,84920
773,144402
774,284252
775,7675
776,54850
777,59286
778,5300
779,50509
780,56342
781,8666
782,1786
783,51073
784,3383
785,125950
786,3385
787,7297
788,11140
789,9817
790,65095
791,10053
792,57153
793,3609
794,81890
795,1785
796,11018
797,10498
798,78992
799,6597
800,147841
801,25959
802,57572
803,9545
804,374882
805,5589
806,51295
807,1264
808,84337
809,54
810,4125
811,84292
812,1725
813,84261
814,30000
815,29911
816,3726
817,7001
818,10535
819,1777
820,2639
821,2193
822,811
823,5886
824,90480
825,4784
826,55621
827,112939
828,8677
829,84245
830,28974
831,54862
832,5989
833,342979
834,5566
835,90378
836,55723
837,10212
838,5585
839,10755
840,3337
841,9524
842,4713
843,4854
844,23476
845,10270
846,26993
847,58525
848,64926
849,114770
850,57834
851,7171
852,4218
853,26017
854,8907
855,58513
856,10523
857,79939
858,23309
859,93323
860,4650
861,55850
862,2063
863,29086
864,64981
865,79016
866,84705
867,83483
868,684
869,93343
870,376497
871,25796
872,79709
873,55201
874,6142
875,115098
876,5296
877,10437
878,3727
879,25804
880,54858
881,8178
882,51477
883,23770
884,55295
885,23373
886,1311
887,5976
888,11316
889,54555
890,9454
891,10147
892,93436
893,54929
894,8625
895,126382
896,57794
897,23383
898,54815
899,51079
900,7386
901,10775
902,79156
903,898
904,8725
905,147991
906,9141
907,84079
908,390916
909,85415
910,55094
911,5184
912,26065
913,2821
914,84306
915,10054
916,57655
917,51599
918,7392
919,10430
920,23354
921,79171
922,1340
923,9757
924,126393
925,7305
926,5438
927,1155
928,826
929,7705
930,23094
931,94274
932,10653
933,64073
934,90522
935,5714
936,11184
937,27335
938,81
939,3963
940,1891
941,3191
942,22933
943,4793
944,54938
945,6183
946,10298
947,9535
948,55095
949,54623
950,55588
951,6217
952,6829
953,92609
954,9149
955,2091
956,8857
957,5704
958,208
959,126526
960,23646
961,56265
962,64601
963,5786
964,64949
965,22888
966,60493
967,9762
968,81502
969,598
970,22974
971,81572
972,3055
973,9777
974,23509
975,9371
976,2139
977,23613
978,8202
979,55544
980,5105
981,6874
982,149986
983,5688
984,26039
985,26164
986,9885
987,11047
988,3911
989,6227
990,11054
991,11083
992,54994
993,54915
994,55738
995,1917
996,6725
997,85441
998,26205
999,10139
1000,80331
1001,24148
1002,10287
1003,7165
1004,54963
1005,84619
1006,57473
1007,24140
1008,10682
1009,5935
1010,64743
1011,7454
1012,10013
1013,10245
1014,10084
1015,7355
1016,56850
1017,11230
1018,11152
1019,27238
1020,5355
1021,28952
