Gene,T-statistic (Amplification vs Neutral),P-value (Amplification vs Neutral),Cohen's d (Amplification vs Neutral),T-statistic (Deletion vs Neutral),P-value (Deletion vs Neutral),Cohen's d (Deletion vs Neutral)
10000,1.3335243611911627,0.2852760988748709,0.8009288170811426,,,
10013,1.7875611456659217,0.14497764933982152,1.6200098285675195,,,
10016,5.5560519942448225,0.00020374742774664453,2.1444199424732244,,,
1004,1.3146836034544451,0.2463271872219943,0.5672855483108501,,,
10048,2.4992471387377813,0.02845664845312813,1.0505571335641666,,,
10049,3.3869404522927637,0.004574708532074872,1.3391048464006334,,,
10051,2.8891757402449163,0.007777939729310829,0.95732893638675,,,
10053,-0.13787548660721352,0.8938528206856976,-0.05384741723491429,,,
10054,3.4835663363744707,0.00830314612336931,1.8591488743176854,,,
10059,3.1604913217285553,0.04577273312800435,2.1661244689047603,,,
10061,5.768713669850949,5.024209825869541e-05,2.3999651649880813,,,
10067,2.3393323513347424,0.06444118796145314,1.972939063231463,,,
10084,1.215187344508622,0.2808193863354862,0.7311104984930539,,,
10139,2.6574075806011295,0.03580756426974481,1.3581575980102891,,,
10147,2.549704805567456,0.0509488840708799,1.2458127232062712,,,
10162,3.076306295098642,0.0181524197965466,1.686217349766644,,,
10174,,,,-2.0802398140038245,0.05753050658681018,-0.8990886328935479
10195,3.303408874866839,0.0020909590707954688,1.042779802883434,,,
1020,4.991947908854222,0.0002833195122727564,2.4013774878208993,,,
10212,2.954014682579236,0.008601739178174441,0.9567679764067766,,,
10245,1.2790123416682586,0.25759598656894794,0.7216747744162874,,,
10262,0.7593939195763313,0.47113382424278427,0.34090380211424537,,,
10269,5.80791014368351,3.752473007509447e-05,2.5725309990678276,,,
10270,4.380701079474118,0.00037352368106120966,1.5061758917618162,,,
10274,0.298409458897438,0.7707786535273636,0.11077999463402771,,,
10287,1.0301976105884494,0.36941303791042795,0.6709744568085142,,,
10298,5.621561923312649,0.00027638393206695107,2.8503754513499104,,,
10327,2.7796126140716892,0.02637554442781647,1.2569964268656255,,,
10395,,,,1.5022391515225728,0.17567760546791744,0.7307397538998996
10397,4.022353848227549,0.0001855656694619575,0.9488206236487771,,,
10404,2.124988469381578,0.05312507434544118,0.8306410998096787,,,
10409,2.0356658646685664,0.0747459290129546,0.705519308944605,,,
10430,0.5304094937910738,0.6197800098214561,0.3092545135544648,,,
10434,3.8631446207378515,0.016816344826590838,3.451805932195865,,,
10436,1.5946374150395048,0.15166062300121108,0.732799844078927,,,
10437,,,,,,
10450,4.397875065580777,0.0004507101053497302,1.858348221746541,,,
10455,3.2430761848474763,0.004001119206509709,0.970923352934763,,,
10465,4.472585315775711,0.0011801233716209382,2.3388456708858913,,,
10487,4.56426645895047,0.0002621783080031313,1.7414315697495932,,,
10489,2.6516941343882996,0.023591961900926477,1.0347691165018533,,,
10498,2.13469043492161,0.0669903222373947,1.344855416412456,,,
10499,4.087161127939811,0.005659382155704428,1.4795505957255697,,,
10523,2.960771703789164,0.01246028685768441,1.132722671664467,,,
10526,3.6261069584946144,0.00905106577212192,1.3935829110429994,,,
10531,,,,,,
10535,2.311980422494823,0.040355806072299424,0.8414528698213486,,,
10565,4.6668081327921636,0.00424102323626078,2.898320480820338,,,
10591,2.7231671105425623,0.045331959040703904,1.3451155970139088,,,
10623,1.5299642187075764,0.16755316797371503,0.6675514902693664,,,
10628,-0.28916703716927494,0.7787613025585481,-0.11358652052176059,,,
10644,1.2990359207468107,0.20488785977732343,0.416683399591058,,,
