Biomarker,BiomarkerCluster,TargetGene,OncogeneAddiction,T-stat,P-value,EffectSize,n_Amplified,n_WT,MeanEffect_Amplified,MeanEffect_WT,FDR
10404,"10404, 10499, 10565, 137682, 26986, 4147, 50484, 51123, 54845, 55636, 6674, 7534, 767, 79666, 79977, 92140, 9791",8662,False,-13.025603476070236,1.576436090483788e-09,-5.281700669181033,3,14,-2.5558630011259083,-1.7929259134981606,7.517944893712662e-05
10404,"10404, 10499, 10565, 137682, 26986, 4147, 50484, 51123, 54845, 55636, 6674, 7534, 767, 79666, 79977, 92140, 9791",55759,False,-6.691264012262483,9.232599324720254e-06,-2.766449278098764,3,14,-1.6243682046769294,-1.2412142708061598,0.0880596090992493
11047,"11047, 149986, 26164, 3911, 6874, 9885",23065,False,8.301355089001003,5.687821990920376e-07,3.2780713701571407,3,14,-0.0143524275019417,-0.5526400774752197,0.0180832924557331
1207,"1207, 283219, 28971, 51773, 79053, 9846",2305,False,6.867975640899376,5.451410851248855e-06,2.718597364802691,3,14,-0.1154747408308846,-0.6023791833064526,0.0866583525968774
208,"208, 55095, 55588, 5704, 6829, 8857, 9149, 92609",54584,False,6.034823706950973,2.3684615247284707e-05,2.444552456830171,3,14,-0.375027087565301,-0.8616891212372336,0.098218039898729
208,"208, 55095, 55588, 5704, 6829, 8857, 9149, 92609",27085,False,-6.360406520784468,2.13934987999222e-05,-2.420616050357783,3,14,-2.0012949388706627,-1.6926109180379332,0.098218039898729
208,"208, 55095, 55588, 5704, 6829, 8857, 9149, 92609",5216,False,6.095742008354785,2.064134813294497e-05,2.450835207868991,3,14,-0.0056045397507937,-0.6719803467952252,0.098218039898729
23012,"23012, 3709, 3845, 586",7862,False,-6.070729174954414,2.172461794045878e-05,-2.5419227656577297,4,13,-0.6682095447208778,-0.3030968474042189,0.098218039898729
23012,"23012, 3709, 3845, 586",5216,False,6.051290261158326,2.267481689715898e-05,2.528064620247839,4,13,-0.043958616213505,-0.7114387699639627,0.098218039898729
23246,"23246, 727957",5977,False,7.061487325946729,1.41087459098026e-05,3.0667341934796664,3,14,0.1441822224509304,-0.4337186651244554,0.0961198625807901
25852,"25852, 25937, 2992, 349565, 4071, 51122, 51163, 5291, 5359, 55179, 5947, 6596, 9276",47,False,-6.883814266530732,1.099916082868474e-05,-2.6029063781672166,3,14,-0.763179989381547,-0.2840455732867132,0.0953717236981019
25852,"25852, 25937, 2992, 349565, 4071, 51122, 51163, 5291, 5359, 55179, 5947, 6596, 9276",254272,False,-8.473388785671302,5.016930713397611e-06,-3.7705079116133953,3,14,-0.602511530351202,-0.2354092101905101,0.0866583525968774
27161,27161,1973,False,-6.171936658682791,1.8211514564374416e-05,-2.5810865695976872,4,13,-1.431133662805873,-0.7940056562971746,0.098218039898729
27161,27161,56893,False,-7.952553752037373,2.3198768538047174e-05,-3.9129696501574136,4,13,-0.8895346105205473,-0.5690056680211839,0.098218039898729
55500,"55500, 55907, 9847",7862,False,-6.143324472446941,1.880718806458653e-05,-2.4561906680890693,3,14,-0.6882923731276455,-0.3248728625539586,0.098218039898729
55500,"55500, 55907, 9847",23041,False,6.652972649291556,8.001971586700964e-06,2.6928688978354653,3,14,0.0559182181137123,-0.3702377904911617,0.0880596090992493
55500,"55500, 55907, 9847",51025,False,-6.74174667085729,7.555619887542951e-06,-2.630576804217801,3,14,-1.9329982614808097,-1.3599097403666476,0.0880596090992493
80851,80851,6117,False,7.5603880941372354,2.9591239708121992e-06,3.167161904634724,3,14,-1.546562576471677,-2.3677452624491857,0.0705595713030241
85453,85453,8662,False,-13.025603476070236,1.576436090483788e-09,-5.281700669181033,3,14,-2.5558630011259083,-1.7929259134981606,7.517944893712662e-05
85453,85453,55759,False,-6.691264012262483,9.232599324720254e-06,-2.766449278098764,3,14,-1.6243682046769294,-1.2412142708061598,0.0880596090992493
8725,"8725, 898",1163,False,-7.538317939554402,2.2571956668837825e-05,-3.911717972891599,3,9,-1.137772735351131,-0.5682210073465543,0.098218039898729
8725,"8725, 898",5216,False,6.353010722985872,1.4029120748159215e-05,2.6301390763443706,4,13,-0.0341022205823737,-0.7144715070812337,0.0961198625807901
9166,9166,5977,False,7.061487325946729,1.41087459098026e-05,3.0667341934796664,3,14,0.1441822224509304,-0.4337186651244554,0.0961198625807901
