Biomarker,TargetGene,OncogeneAddiction,T-stat,P-value,EffectSize,n_Amplified,n_WT,MeanEffect_Amplified,MeanEffect_WT,FDR
1004,8886,False,-6.343257380653613,1.647909809561171e-05,-2.5900229892746984,4,13,-1.8756274077987984,-1.556524585129636,0.0478388217715607
10061,8339,False,-6.930263883780546,7.5398608421689395e-06,-2.6541184254675203,3,14,-0.607006799697259,-0.3051679505295484,0.0072960720082721
10061,5298,False,-8.175293186809657,6.746553144793937e-07,-3.237589986590083,3,14,-0.4613726165764006,-0.1846328281442268,0.0019585243779336
1020,8339,False,-6.930263883780546,7.5398608421689395e-06,-2.6541184254675203,3,14,-0.607006799697259,-0.3051679505295484,0.0072960720082721
1020,5298,False,-8.175293186809657,6.746553144793937e-07,-3.237589986590083,3,14,-0.4613726165764006,-0.1846328281442268,0.0019585243779336
10923,8886,False,-6.343257380653613,1.647909809561171e-05,-2.5900229892746984,4,13,-1.8756274077987984,-1.556524585129636,0.0478388217715607
11194,8339,False,-6.930263883780546,7.5398608421689395e-06,-2.6541184254675203,3,14,-0.607006799697259,-0.3051679505295484,0.0072960720082721
11194,5298,False,-8.175293186809657,6.746553144793937e-07,-3.237589986590083,3,14,-0.4613726165764006,-0.1846328281442268,0.0019585243779336
116988,8339,False,-6.930263883780546,7.5398608421689395e-06,-2.6541184254675203,3,14,-0.607006799697259,-0.3051679505295484,0.0072960720082721
116988,5298,False,-8.175293186809657,6.746553144793937e-07,-3.237589986590083,3,14,-0.4613726165764006,-0.1846328281442268,0.0019585243779336
121512,8662,False,-13.025603476070236,1.576436090483788e-09,-5.281700669181033,3,14,-2.5558630011259083,-1.7929259134981606,4.461314136069121e-06
121512,55759,False,-6.691264012262483,9.232599324720254e-06,-2.766449278098764,3,14,-1.6243682046769294,-1.2412142708061598,0.0130641280444791
133686,8886,False,-6.343257380653613,1.647909809561171e-05,-2.5900229892746984,4,13,-1.8756274077987984,-1.556524585129636,0.0478388217715607
134218,8886,False,-6.343257380653613,1.647909809561171e-05,-2.5900229892746984,4,13,-1.8756274077987984,-1.556524585129636,0.0478388217715607
137492,57703,False,-8.296725421362371,8.220115192395313e-07,-3.200592365751,3,14,-1.8906084943009749,-1.3771661524681709,0.0023262925994478
137492,5393,False,-5.504760639807935,6.993532849307993e-05,-2.268615292833122,3,14,-1.3799816655036334,-1.095786945618742,0.0282738542336308
137492,23512,False,-5.118701849785319,0.0001686485585673,-2.147440579478285,3,14,-0.7507165381661608,-0.3776322127300268,0.0477275420745536
137492,6901,False,-5.8963842855925055,6.57884835284336e-05,-2.5391781291372686,3,14,-0.8221735866654272,-0.3059730464479297,0.0282738542336308
155435,8339,False,-6.930263883780546,7.5398608421689395e-06,-2.6541184254675203,3,14,-0.607006799697259,-0.3051679505295484,0.0072960720082721
155435,5298,False,-8.175293186809657,6.746553144793937e-07,-3.237589986590083,3,14,-0.4613726165764006,-0.1846328281442268,0.0019585243779336
22976,8339,False,-6.930263883780546,7.5398608421689395e-06,-2.6541184254675203,3,14,-0.607006799697259,-0.3051679505295484,0.0072960720082721
22976,5298,False,-8.175293186809657,6.746553144793937e-07,-3.237589986590083,3,14,-0.4613726165764006,-0.1846328281442268,0.0019585243779336
23085,23234,False,-6.666949566188891,1.877852959660666e-05,-2.860675605240249,3,14,-2.3441652276196243,-1.17097805863088,0.0142856243639972
23085,28956,False,-9.38906997191578,2.0191695214130456e-05,-4.4733706656913,3,14,-1.2136818829516811,-0.5021734326850671,0.0142856243639972
23085,6235,False,-8.479189927903267,6.154085754956063e-07,-3.27513328974429,3,14,-3.5676767988941056,-2.849866626142308,0.0017416062686525
23085,10592,False,-7.27479246309626,2.894649399959375e-06,-2.862130316784102,3,14,-1.6845555087936568,-1.2486175471932297,0.0040959289009425
23126,84612,False,-6.481450332921993,1.472745834245117e-05,-3.163347245109161,8,9,-0.885799083544407,-0.1743611624061023,0.0432103627767517
253260,8886,False,-6.343257380653613,1.647909809561171e-05,-2.5900229892746984,4,13,-1.8756274077987984,-1.556524585129636,0.0478388217715607
25836,8886,False,-6.343257380653613,1.647909809561171e-05,-2.5900229892746984,4,13,-1.8756274077987984,-1.556524585129636,0.0478388217715607
25977,23234,False,-6.666949566188891,1.877852959660666e-05,-2.860675605240249,3,14,-2.3441652276196243,-1.17097805863088,0.0142856243639972
25977,28956,False,-9.38906997191578,2.0191695214130456e-05,-4.4733706656913,3,14,-1.2136818829516811,-0.5021734326850671,0.0142856243639972
25977,6235,False,-8.479189927903267,6.154085754956063e-07,-3.27513328974429,3,14,-3.5676767988941056,-2.849866626142308,0.0017416062686525
25977,10592,False,-7.27479246309626,2.894649399959375e-06,-2.862130316784102,3,14,-1.6845555087936568,-1.2486175471932297,0.0040959289009425
26064,8886,False,-6.343257380653613,1.647909809561171e-05,-2.5900229892746984,4,13,-1.8756274077987984,-1.556524585129636,0.0478388217715607
26137,47,False,-6.883814266530732,1.099916082868474e-05,-2.6029063781672166,3,14,-0.763179989381547,-0.2840455732867132,0.0155638125725889
26137,254272,False,-8.473388785671302,5.016930713397611e-06,-3.7705079116133953,3,14,-0.602511530351202,-0.2354092101905101,0.0141979139189152
26137,8458,False,-6.224701109367741,2.7136948286107383e-05,-2.3670124287755803,3,14,-0.9637954718244712,-0.5416947156128126,0.0255991878832279
29883,57703,False,-8.296725421362371,8.220115192395313e-07,-3.200592365751,3,14,-1.8906084943009749,-1.3771661524681709,0.0023262925994478
29883,5393,False,-5.504760639807935,6.993532849307993e-05,-2.268615292833122,3,14,-1.3799816655036334,-1.095786945618742,0.0282738542336308
29883,23512,False,-5.118701849785319,0.0001686485585673,-2.147440579478285,3,14,-0.7507165381661608,-0.3776322127300268,0.0477275420745536
29883,6901,False,-5.8963842855925055,6.57884835284336e-05,-2.5391781291372686,3,14,-0.8221735866654272,-0.3059730464479297,0.0282738542336308
4074,23234,False,-6.666949566188891,1.877852959660666e-05,-2.860675605240249,3,14,-2.3441652276196243,-1.17097805863088,0.0142856243639972
4074,28956,False,-9.38906997191578,2.0191695214130456e-05,-4.4733706656913,3,14,-1.2136818829516811,-0.5021734326850671,0.0142856243639972
4074,6235,False,-8.479189927903267,6.154085754956063e-07,-3.27513328974429,3,14,-3.5676767988941056,-2.849866626142308,0.0017416062686525
4074,10592,False,-7.27479246309626,2.894649399959375e-06,-2.862130316784102,3,14,-1.6845555087936568,-1.2486175471932297,0.0040959289009425
427,57703,False,-8.296725421362371,8.220115192395313e-07,-3.200592365751,3,14,-1.8906084943009749,-1.3771661524681709,0.0023262925994478
427,5393,False,-5.504760639807935,6.993532849307993e-05,-2.268615292833122,3,14,-1.3799816655036334,-1.095786945618742,0.0282738542336308
427,23512,False,-5.118701849785319,0.0001686485585673,-2.147440579478285,3,14,-0.7507165381661608,-0.3776322127300268,0.0477275420745536
427,6901,False,-5.8963842855925055,6.57884835284336e-05,-2.5391781291372686,3,14,-0.8221735866654272,-0.3059730464479297,0.0282738542336308
51422,8339,False,-6.930263883780546,7.5398608421689395e-06,-2.6541184254675203,3,14,-0.607006799697259,-0.3051679505295484,0.0072960720082721
51422,5298,False,-8.175293186809657,6.746553144793937e-07,-3.237589986590083,3,14,-0.4613726165764006,-0.1846328281442268,0.0019585243779336
51435,1355,False,-6.950179187280874,7.391015987682749e-06,-2.660332227505782,3,14,-0.5021225543596995,-0.2689469531972024,0.0069721917483807
51435,5393,False,-7.193239715720036,3.658914181836407e-06,-2.949145977922147,3,14,-1.419673233290646,-1.0872816096643825,0.0051773635672985
51435,10615,False,-8.076604433116957,7.991979572120204e-07,-3.2651690862581986,3,14,-0.8748067221341355,-0.4883079570607924,0.00226173021891
51439,10640,False,-6.288587063022198,1.6474216436857652e-05,-2.5769788831595437,3,14,-0.744313000384603,-0.5263212125110152,0.0478246503161977
51663,8886,False,-6.343257380653613,1.647909809561171e-05,-2.5900229892746984,4,13,-1.8756274077987984,-1.556524585129636,0.0478388217715607
51742,6651,False,-7.615318240004663,7.825081080476433e-06,-3.544916114271177,4,13,-1.3427536572923988,-0.9684514337225666,0.022716210376623
5298,84612,False,-6.481450332921993,1.472745834245117e-05,-3.163347245109161,8,9,-0.885799083544407,-0.1743611624061023,0.0432103627767517
54545,8886,False,-6.343257380653613,1.647909809561171e-05,-2.5900229892746984,4,13,-1.8756274077987984,-1.556524585129636,0.0478388217715607
54901,10640,False,-6.288587063022198,1.6474216436857652e-05,-2.5769788831595437,3,14,-0.744313000384603,-0.5263212125110152,0.0478246503161977
55100,8886,False,-6.343257380653613,1.647909809561171e-05,-2.5900229892746984,4,13,-1.8756274077987984,-1.556524585129636,0.0478388217715607
55322,8886,False,-6.343257380653613,1.647909809561171e-05,-2.5900229892746984,4,13,-1.8756274077987984,-1.556524585129636,0.0478388217715607
57530,84612,False,-6.481450332921993,1.472745834245117e-05,-3.163347245109161,8,9,-0.885799083544407,-0.1743611624061023,0.0432103627767517
57592,84612,False,-6.481450332921993,1.472745834245117e-05,-3.163347245109161,8,9,-0.885799083544407,-0.1743611624061023,0.0432103627767517
5993,84612,False,-6.481450332921993,1.472745834245117e-05,-3.163347245109161,8,9,-0.885799083544407,-0.1743611624061023,0.0432103627767517
6009,8339,False,-6.930263883780546,7.5398608421689395e-06,-2.6541184254675203,3,14,-0.607006799697259,-0.3051679505295484,0.0072960720082721
6009,5298,False,-8.175293186809657,6.746553144793937e-07,-3.237589986590083,3,14,-0.4613726165764006,-0.1846328281442268,0.0019585243779336
63971,10640,False,-6.288587063022198,1.6474216436857652e-05,-2.5769788831595437,3,14,-0.744313000384603,-0.5263212125110152,0.0478246503161977
64083,8886,False,-6.343257380653613,1.647909809561171e-05,-2.5900229892746984,4,13,-1.8756274077987984,-1.556524585129636,0.0478388217715607
64216,91746,False,-10.116307263418088,1.918786929325836e-07,-4.600229383649622,4,13,-0.9960611466498634,-0.5217737689541905,0.0005570238455832
6522,8339,False,-6.930263883780546,7.5398608421689395e-06,-2.6541184254675203,3,14,-0.607006799697259,-0.3051679505295484,0.0072960720082721
6522,5298,False,-8.175293186809657,6.746553144793937e-07,-3.237589986590083,3,14,-0.4613726165764006,-0.1846328281442268,0.0019585243779336
7172,10640,False,-6.288587063022198,1.6474216436857652e-05,-2.5769788831595437,3,14,-0.744313000384603,-0.5263212125110152,0.0478246503161977
7913,10640,False,-6.288587063022198,1.6474216436857652e-05,-2.5769788831595437,3,14,-0.744313000384603,-0.5263212125110152,0.0478246503161977
7991,57703,False,-8.296725421362371,8.220115192395313e-07,-3.200592365751,3,14,-1.8906084943009749,-1.3771661524681709,0.0023262925994478
7991,5393,False,-5.504760639807935,6.993532849307993e-05,-2.268615292833122,3,14,-1.3799816655036334,-1.095786945618742,0.0282738542336308
7991,23512,False,-5.118701849785319,0.0001686485585673,-2.147440579478285,3,14,-0.7507165381661608,-0.3776322127300268,0.0477275420745536
7991,6901,False,-5.8963842855925055,6.57884835284336e-05,-2.5391781291372686,3,14,-0.8221735866654272,-0.3059730464479297,0.0282738542336308
83590,8339,False,-6.930263883780546,7.5398608421689395e-06,-2.6541184254675203,3,14,-0.607006799697259,-0.3051679505295484,0.0072960720082721
83590,5298,False,-8.175293186809657,6.746553144793937e-07,-3.237589986590083,3,14,-0.4613726165764006,-0.1846328281442268,0.0019585243779336
85415,51690,False,-5.788141312790252,3.578277596390093e-05,-2.310128389626441,3,14,-2.1162863599044006,-1.824828931603136,0.0267882403616619
85415,5693,False,-6.924383144920883,1.2126561994067469e-05,-2.9635613090525315,3,14,-2.432039783528826,-1.8025197939638775,0.0173470469325135
8991,84612,False,-6.481450332921993,1.472745834245117e-05,-3.163347245109161,8,9,-0.885799083544407,-0.1743611624061023,0.0432103627767517
9453,6651,False,-7.615318240004663,7.825081080476433e-06,-3.544916114271177,4,13,-1.3427536572923988,-0.9684514337225666,0.022716210376623
961,47,False,-6.883814266530732,1.099916082868474e-05,-2.6029063781672166,3,14,-0.763179989381547,-0.2840455732867132,0.0155638125725889
961,254272,False,-8.473388785671302,5.016930713397611e-06,-3.7705079116133953,3,14,-0.602511530351202,-0.2354092101905101,0.0141979139189152
961,8458,False,-6.224701109367741,2.7136948286107383e-05,-2.3670124287755803,3,14,-0.9637954718244712,-0.5416947156128126,0.0255991878832279
9972,10640,False,-6.288587063022198,1.6474216436857652e-05,-2.5769788831595437,3,14,-0.744313000384603,-0.5263212125110152,0.0478246503161977
