Biomarker_AMP,BiomarkerCluster,TargetGene_AMP,OncogeneAddiction,Beta,T-stat,P-value,EffectSize,CI_Lower,CI_Upper,n_Lines,MeanCNA,MeanEffect,PredictedEffect_CNA2,MeanEffect_CNA6plus,DeltaEffect_CNA6minusPred2,FDR,Pair,Biomarker_Unified,TargetGene_Unified,CNA_P_one,CNA_Q,CNA_EffectSize,CNA_Delta,Expr_P_one,Expr_EffectSize,Expr_Delta,Validated
1004,"1004, 55322",7849,False,-0.1973219045173581,-4.376055215042171,1.208464143455598e-05,-0.3013206276065786,-0.285699177474401,-0.1089446315603151,17,3.941176470588236,-0.9158601685259526,-0.5328235303451986,-1.356943183417135,-0.8241196530719365,0.0043931524598088,1004_7849,1004,7849,1.8672414573546377e-05,0.009807441733044,-0.2998681259608542,-0.8428601120792178,8.364818428717327e-07,-0.2216337058809097,-0.5896841701843433,True
10051,"10051, 3840, 51068, 8706",132660,False,-0.1029270979522504,-4.28417239109199,1.8342065720523585e-05,-0.3795471019536576,-0.1500151669195726,-0.0558390289849282,17,4.588235294117647,-0.2904857359912964,-0.0240861883501777,-0.5739113634094696,-0.5498251750592918,0.0058705194431996,10051_132660,10051,132660,5.589254416238293e-05,0.0233491405033949,-0.3769071353987033,-0.5047452399295389,0.0019967738369025,-0.7498067290846869,-0.3428067014437049,True
10059,"10059, 51067",8773,False,-0.2215780179528575,-4.364874934976555,1.2719550960462078e-05,-0.3729792296267877,-0.3210734081811924,-0.1220826277245226,17,4.0,-0.6531398241662092,-0.2099837882604944,-1.316672664644812,-1.1066888763843177,0.0045759224477386,10059_8773,10059,8773,1.0559100546572685e-07,0.0001359284784736,-0.4065271747823215,-1.2959750198623992,0.0169831229166763,-0.7598858029504906,-1.03883101790794,True
10298,"10298, 22933, 4793, 6183",2491,False,-0.0685008815406294,-5.124376163139271,2.9852447449634736e-07,-0.2432464301076818,-0.0947009996534708,-0.0423007634277879,17,4.041842194451983,-0.7387755693898821,-0.598907579103068,-1.0447241792202329,-0.4458166001171648,0.0002233040163071,10298_2491,10298,2491,2.183177128109292e-05,0.0112454552690601,-0.2336707775182981,-0.4021792699326005,0.002276873594121,-0.7852113302060512,-0.352257941525771,True
10298,"10298, 22933, 4793, 6183",7919,False,-0.1609658143939273,-7.610072127588906,2.739430008020648e-14,-0.355844618992334,-0.2024223464300056,-0.1195092823578489,17,4.041842194451983,-0.7709075815384515,-0.4422407898446045,-1.4408280235605273,-0.9985872337159228,1.2528662991243486e-10,10298_7919,10298,7919,3.8683686081673096e-14,1.3666010112124358e-10,-0.3401289532911249,-1.010705388840585,0.0219533628487661,-0.8249692830588334,-0.8209227669751877,True
10298,"10298, 22933, 4793, 6183",503834,False,-0.0458110240203968,-4.962747444336337,6.950293367148147e-07,-0.2586796128923339,-0.0639034130008891,-0.0277186350399045,17,4.041842194451983,-0.1172593059498278,-0.0237204241339282,-0.3762771345664242,-0.352556710432496,0.0004350182777915,10298_503834,10298,503834,2.810629766320134e-07,0.0003115345521243,-0.2432069534882386,-0.3503056614877562,0.0211864330061114,-0.7116169745552662,-0.3064524380157661,True
10298,"10298, 22933, 4793, 6183",54458,False,-0.0645960289038256,-4.29717180503689,1.7299111529741095e-05,-0.2727266975651159,-0.0940586373216242,-0.035133420486027,17,4.041842194451983,-0.6337313846524681,-0.5018364872425971,-0.8981078582275167,-0.3962713709849196,0.0056265171395553,10298_54458,10298,54458,5.754868702731714e-07,0.0005600493444927,-0.2871010824968932,-0.4380374069405603,0.0296637285101834,-0.7633171327545216,-0.363463267959104,True
10298,"10298, 22933, 4793, 6183",163131,False,-0.0559211531527156,-5.06548306725789,4.07365989418053e-07,-0.2556789213550801,-0.0775584668497493,-0.034283839455682,17,4.041842194451983,-0.1265252933981109,-0.0123431233284845,-0.4607341613951019,-0.4483910380666173,0.0002850872957944,10298_163131,10298,163131,2.56053976501614e-07,0.0002939203326645,-0.2447538835752753,-0.4259002680853162,0.0442791816790954,-0.6480125661058896,-0.367586303304823,True
10434,"10434, 6917",29035,False,-0.0526215159274184,-8.689758636003152,3.6321031311613044e-18,-0.1670951703404535,-0.0644902317744075,-0.0407528000804293,17,5.613115009444724,-0.2903406710219108,-0.1002130820048205,-0.5124113671865517,-0.4121982851817312,3.44306206892017e-14,10434_29035,10434,29035,2.0058261099923535e-07,0.000243619389297,-0.1625334710472758,-0.4385520345771413,0.0017883868591104,-0.763222350093792,-0.5361315588617388,True
10526,10526,8773,False,-0.2083441905673125,-4.067789136281327,4.746129944950431e-05,-0.3507029100312013,-0.3087297061924866,-0.1079586749421385,17,4.0588235294117645,-0.6531398241662092,-0.2241959024099774,-1.2862360355324065,-1.0620401331224292,0.0119830932393151,10526_8773,10526,8773,1.9578979586972177e-06,0.0015762484342321,-0.3656993748631109,-1.1563696374823471,8.969138403212958e-08,-0.8660166027143478,-0.967868736760013,True
10653,"10653, 64073, 90522, 94274",54458,False,-0.0645960289038256,-4.29717180503689,1.7299111529741095e-05,-0.2727266975651159,-0.0940586373216242,-0.035133420486027,17,4.041842194451983,-0.6337313846524681,-0.5018364872425971,-0.8981078582275167,-0.3962713709849196,0.0056265171395553,10653_54458,10653,54458,5.754868702731714e-07,0.0005600493444927,-0.2871010824968932,-0.4380374069405603,0.0483874235587516,-0.2060097871180246,-0.3794740522409611,True
10653,"10653, 64073, 90522, 94274",163131,False,-0.0559211531527156,-5.06548306725789,4.07365989418053e-07,-0.2556789213550801,-0.0775584668497493,-0.034283839455682,17,4.041842194451983,-0.1265252933981109,-0.0123431233284845,-0.4607341613951019,-0.4483910380666173,0.0002850872957944,10653_163131,10653,163131,2.56053976501614e-07,0.0002939203326645,-0.2447538835752753,-0.4259002680853162,0.0429437193642066,-0.1746968796776647,-0.3799213086160248,True
11244,"11244, 29028",5073,False,-0.0695230096621972,-5.085071500860572,3.674876018003188e-07,-0.303610883839163,-0.0963196033800391,-0.0427264159443554,17,5.272719532240053,-0.2573039010762564,-0.0297745894146693,-0.4522662896993697,-0.4224917002847004,0.00026427376676,11244_5073,11244,5073,4.944859089644132e-07,0.0005020615369188,-0.2905562934021463,-0.4452755803704044,0.0347624909442098,-0.4508989487080191,-0.3710192681237815,True
11244,"11244, 29028",9136,False,-0.0985383148738978,-4.020267297935141,5.813214565763226e-05,-0.2903962193015661,-0.1465777943257497,-0.0504988354220459,17,5.272719532240053,-0.9337315671777034,-0.6112432994158771,-1.2025763322557128,-0.5913330328398357,0.0139221815847966,11244_9136,11244,9136,0.0001216553128651,0.041850401300876,-0.27514268966503,-0.5419686314230138,0.0055086595166984,-0.6548287696642331,-0.5479013500134362,True
113655,113655,51575,False,-0.0951111428407752,-4.384538224707915,1.1623207283349177e-05,-0.3342366635683905,-0.1376274592560078,-0.0525948264255425,17,4.764705882352941,-0.7700897669685247,-0.507135430879323,-1.082374970920695,-0.5752395400413719,0.0042496760688281,113655_51575,113655,51575,1.7519999864011325e-05,0.0093095936640035,-0.3419692006863786,-0.5798640603944498,0.0031238619849576,-0.8022262541203253,-0.5736446309309221,True
