Entrez_ID,TCGA-09-1664-01,TCGA-61-2094-01,TCGA-25-1312-01,TCGA-13-1409-01,TCGA-24-1416-01,TCGA-29-1769-01,TCGA-13-1489-01,TCGA-13-1482-01,TCGA-13-1504-01,TCGA-13-1492-01,TCGA-36-2530-01,TCGA-25-2409-01,TCGA-13-1497-01,TCGA-61-1995-01,TCGA-13-2065-01,TCGA-61-1918-01,TCGA-61-2613-01,TCGA-23-1122-01,TCGA-24-1464-01,TCGA-25-1322-01,TCGA-24-1103-01,TCGA-24-2289-01,TCGA-13-1511-01,TCGA-24-1431-01,TCGA-36-1570-01,TCGA-13-1488-01,TCGA-24-1435-01,TCGA-30-1887-01,TCGA-23-1121-01,TCGA-24-1436-01,TCGA-13-2061-01,TCGA-36-2537-01,TCGA-24-1474-01,TCGA-13-1501-01,TCGA-24-1555-01,TCGA-24-1562-01,TCGA-25-1628-01,TCGA-24-1558-01,TCGA-29-1705-01,TCGA-24-1920-01,TCGA-30-1891-01,TCGA-61-2008-01,TCGA-24-1927-01,TCGA-36-2544-01,TCGA-24-2024-01,TCGA-29-1693-01,TCGA-13-1485-01,TCGA-24-2030-01,TCGA-29-1702-01,TCGA-24-2033-01,TCGA-24-2298-01,TCGA-24-1544-01,TCGA-61-1914-01,TCGA-25-1313-01,TCGA-29-1766-01,TCGA-24-2261-01,TCGA-25-1318-01,TCGA-36-2532-01,TCGA-13-2059-01,TCGA-25-2399-01,TCGA-29-1698-01,TCGA-29-1688-01,TCGA-13-1494-01,TCGA-13-1507-01,TCGA-29-1690-01,TCGA-25-1631-01,TCGA-13-1500-01,TCGA-29-1696-01,TCGA-29-1771-01,TCGA-13-2066-01,TCGA-29-1711-01,TCGA-13-1483-01,TCGA-24-1422-01,TCGA-29-1763-01,TCGA-25-2397-01,TCGA-29-2427-01,TCGA-29-1785-01,TCGA-61-2088-01,TCGA-25-1623-01,TCGA-36-1577-01,TCGA-29-1768-01,TCGA-36-1569-01,TCGA-36-2534-01,TCGA-36-2549-01,TCGA-36-2547-01,TCGA-36-1578-01,TCGA-36-2542-01,TCGA-59-2351-01,TCGA-24-2290-01,TCGA-59-2348-01,TCGA-59-2352-01,TCGA-61-1915-01,TCGA-24-1565-01,TCGA-59-2372-01,TCGA-24-1548-01,TCGA-29-1762-01,TCGA-61-1727-01,TCGA-25-1323-01,TCGA-36-1580-01,TCGA-61-1741-01,TCGA-61-1911-01,TCGA-13-1404-01,TCGA-61-1907-01,TCGA-25-1329-01,TCGA-24-1557-01,TCGA-61-1910-01,TCGA-29-1770-01,TCGA-13-1410-01,TCGA-61-2087-01,TCGA-29-2431-01,TCGA-61-1724-01,TCGA-29-1710-01,TCGA-36-1571-01,TCGA-24-1553-01,TCGA-13-1487-01,TCGA-25-2396-01,TCGA-36-2545-01,TCGA-25-2404-01,TCGA-24-1430-01,TCGA-29-1697-01,TCGA-13-2060-01
1,0.514,0.2434,0.1119,-0.2268,0.0623,-0.2158,0.2008,-0.0495,-0.337,-0.654,-0.1387,-0.5514,-0.4878,0.0668,0.2062,0.2214,1.0226,0.5215,0.5244,0.0719,-0.0379,-0.0248,-0.2243,0.0276,0.209,-0.0671,-0.1711,-0.1686,-0.0022,0.1543,-0.0931,0.8633,1.1747,0.1674,0.4145,0.0658,-0.3641,-0.2551,0.2215,-0.3128,-0.2626,0.9259,-0.1316,0.3073,-0.3525,-0.0134,0.0994,0.0366,-0.2814,-0.1775,-0.0492,0.9544,-0.2681,0.3003,0.226,-0.2583,0.3216,-0.278,0.4041,-0.3971,0.076,-0.1468,-0.3247,-0.3621,0.7559,0.4654,0.2018,0.2537,0.4907,-0.3279,-0.2305,-0.016,-0.5014,0.6112,-0.1827,-0.1611,0.0459,-0.2641,0.6624,1.4105,1.0994,0.2106,-0.853,0.0345,-0.1686,-0.3468,-0.1943,1.6862,-0.3571,-0.2298,0.4434,-0.091,-0.3217,-0.0279,-0.2902,0.4607,-0.4691,0.947,0.0088,-0.3244,0.0263,-0.4481,-0.3343,0.2899,0.4712,-0.4665,0.3934,-0.0298,-0.5979,-0.3765,-0.5677,0.2651,0.4154,0.1935,-0.2863,0.3823,0.1159,0.2885,0.1191,-0.6946,-0.2712
2,0.3407,0.2226,-0.297,-0.4302,-0.6989,-0.2652,-0.034,-0.0236,-0.4909,-0.4403,-0.1384,-0.3198,-0.4895,-0.3102,0.0429,-0.1602,1.5611,0.5371,0.9292,-0.2939,-0.1057,0.465,-0.0867,0.3361,0.0865,0.3322,0.3729,0.3724,0.169,0.0728,-0.4372,1.0793,1.0236,-0.0395,0.1397,-0.1642,-0.6705,-0.8157,0.2138,0.0285,-0.4631,0.0745,0.1649,0.1671,-0.5368,0.0299,-0.0699,0.8309,0.5347,-0.1914,-0.2636,0.7695,-0.154,-0.2391,0.2026,-0.1185,0.0489,0.42,-0.1413,-0.0552,-0.0373,0.6163,0.0611,-0.5182,0.5135,0.7432,0.4057,0.3731,1.2374,-0.181,0.0446,-0.5077,0.3054,0.1636,-0.1556,0.4732,-0.0153,-0.5071,0.613,0.8491,1.689,0.1796,-0.131,0.4022,-0.6403,-0.567,-0.2232,0.6899,-0.0201,0.2362,-0.202,0.3542,0.319,-0.3556,-0.8809,0.3354,0.1225,0.2727,0.5913,-0.1624,0.5868,-0.2856,0.1491,0.1633,0.3081,-0.3485,0.3877,0.4087,-0.4063,-0.4429,-0.6384,0.5182,-0.1429,-0.1813,-0.8313,0.1607,0.3759,0.0042,0.2202,-1.1285,-0.7819
144568,,,,-1.2262,-0.3014,-0.2814,,,,-2.9796,-3.5615,-2.4021,-1.2844,-0.0912,-2.4413,-2.2692,-2.2937,-1.7293,-1.281,-1.6629,0.2873,-0.3945,-0.14,,,,-0.2411,-0.4605,-0.9174,-1.6946,-1.4964,-1.8366,,,-1.32,-1.6303,-1.6493,,,-2.887,-3.1944,-3.4337,,,,,,,,,0.4112,-1.4034,-0.5093,-0.0867,-1.4859,-1.6317,0.0499,-0.0918,2.8427,,,-0.768,-0.4818,-0.6051,,,,,,,,,,-1.1735,0.6003,-0.6352,-1.8989,-1.9014,-1.6147,,,,-1.5003,0.3135,,,,-0.4323,-1.2588,-0.8965,,,,-0.4534,-1.4027,-1.6089,-0.5576,-0.4975,-0.6445,-2.0965,-1.2177,-2.245,-0.7777,-1.1664,-1.0298,,,,0.916,-0.8139,-0.8566,,,-0.3396,-1.4378,,,-2.0599,-1.9273,-2.0011,-2.256
8086,-0.0378,0.1332,0.2766,0.1695,0.0511,-0.0517,-0.3262,-0.1185,-0.3312,0.2553,0.0322,-0.3228,0.4973,0.0139,0.0008,0.0598,0.0019,-0.0764,-0.0063,-0.0472,-0.0841,-0.2478,-0.1443,0.1481,0.1126,-0.0439,-0.0993,-0.1969,0.4031,0.0074,0.4606,0.1381,0.2664,-0.4864,0.3288,0.0684,-0.1227,,,0.1916,0.1088,-0.0809,-0.1255,-0.0864,-0.1403,-0.0357,-0.1854,0.1686,0.2124,0.3338,0.0359,-0.0146,-0.2129,-0.3356,-0.0285,0.2014,-0.0414,0.1421,-0.407,0.0306,-0.0691,0.0001,-0.0038,-0.0305,-0.255,-0.1135,-0.119,0.1513,-0.0927,0.39,-0.2194,-0.1727,-0.0829,0.1855,0.0435,-0.3084,-0.2526,0.6453,-1.1215,0.7045,0.031,-0.0677,0.1044,-0.0301,-0.0149,-0.0127,-0.0956,0.1233,0.3282,-0.1918,-0.0015,0.2793,-0.168,0.298,-0.1171,0.0986,-0.2889,0.0139,0.1115,0.2431,-0.1078,0.0225,0.2386,0.0331,0.2058,0.0594,-0.0385,-0.0238,0.0872,-0.2008,-0.2352,-0.1064,0.1663,-0.0717,0.1814,-0.0451,-0.1877,-0.1577,-0.2845,-0.1803,0.1553
65985,-0.1035,0.1422,0.3615,-0.3909,0.062,-0.007,-0.3391,-0.722,0.1102,-0.446,0.3048,-0.2754,0.1038,0.186,-0.6466,0.1638,-0.1369,0.378,-0.2104,-0.2207,0.7258,-0.3771,0.5727,0.3896,0.0039,-0.1448,-0.5608,0.1757,-0.7604,0.3986,-0.4731,-0.3618,-0.709,-0.3388,-0.1438,-0.0437,-0.0875,1.2014,0.2454,-0.4403,-0.3499,-0.7178,-0.1146,-0.2526,-0.2251,-0.1769,-0.0582,0.7202,-0.9053,-0.1204,0.3319,-0.1197,0.4184,-0.5094,0.2975,0.1378,-0.1105,0.1034,0.1475,0.2463,-0.2271,-0.443,-0.3833,0.0551,0.0654,-0.4144,-0.2808,0.1687,-0.3227,0.721,-0.3386,-0.647,-0.0672,-0.436,0.4009,-0.1679,0.2289,0.4912,0.1761,0.4421,-0.6545,-0.8971,-0.1768,-0.0682,0.0067,-0.2404,-0.1248,0.6494,0.6191,1.1541,-0.1582,0.3521,-0.0204,-0.5461,0.7778,0.6755,0.2788,0.0942,0.1619,-0.1756,0.0011,-0.6222,0.0148,-0.1623,-0.118,0.0201,0.0398,0.2952,0.0259,-0.4714,-0.1415,-0.3203,0.4815,-0.373,-0.377,-0.2835,0.6528,-0.0393,0.2883,0.9117,0.3982
79719,,,,-0.0819,0.241,-0.0569,0.5621,-0.0935,0.0918,0.822,-0.0052,0.0355,0.359,0.2348,-0.3456,0.1959,-0.4812,-0.2456,0.0246,0.2547,0.2416,-0.1724,-0.102,-0.1031,-0.2098,0.0788,-0.0585,-0.2976,0.2534,0.0548,0.0547,-0.5885,,,0.0217,0.3072,-0.0153,,,-0.2897,-0.2331,-0.6901,-0.0485,1.3612,-0.0095,-0.0183,-0.1886,0.1554,0.4498,-0.2373,-0.7205,-0.1088,0.5243,-0.0445,-0.1527,-0.2017,-0.5271,-0.0601,0.5117,-0.0648,0.06,0.1737,-0.3093,-0.3309,-0.1646,0.0325,0.1526,0.148,-0.1912,0.1967,0.0375,0.1406,-0.2136,-0.5792,0.1015,-0.168,-0.351,-0.4749,-1.0684,0.7406,0.1179,-0.2802,-0.2147,-0.2233,-0.0365,0.2034,0.2983,-0.4172,-0.3564,-0.8086,0.4142,0.2317,0.0053,0.4108,0.3189,-0.636,0.0432,-0.2484,0.4213,-0.2169,0.1552,-0.0484,0.4621,-0.3361,0.0334,0.0645,-0.1105,-0.3319,-0.1067,-0.1549,-0.5346,-0.1451,0.349,-0.4276,0.0067,-0.7295,-0.4441,0.0078,-0.3234,1.0101,0.1301
22848,-0.2855,0.1524,0.3035,0.3111,-0.1828,-0.0086,0.0669,0.25,0.3287,-0.3989,-0.0684,0.6424,-0.1498,-0.0937,-0.0941,0.1254,-0.1501,-0.3147,-0.3782,-0.1866,-0.4696,-0.209,0.1073,0.3657,-0.2356,-0.1106,0.0725,-0.2456,-0.1735,0.558,-0.2652,-0.0975,0.0703,0.0967,-0.2819,0.0287,0.0872,-0.6647,0.0969,0.3627,0.1515,-0.1448,-0.4213,-0.115,0.0907,-0.0697,-0.1029,0.0098,0.0671,0.1431,0.1161,-0.4491,-0.1099,-0.3502,-0.1542,-0.052,0.3031,0.1831,0.4293,-0.0467,0.0236,-0.2188,0.0115,-0.112,-0.494,-0.0807,-0.1008,-0.4438,-0.1466,0.0225,0.6179,-0.2426,0.2473,-0.0912,0.6389,-0.0071,-0.2326,-0.1347,-0.1064,-0.3586,-0.1046,0.134,0.3738,-0.3412,-0.4403,0.22,0.1223,0.0976,0.3949,0.1841,-0.0741,0.0112,-0.3773,-0.5981,0.0562,-0.4848,-0.1089,-0.0382,-0.0283,-0.1353,-0.2524,-0.282,-0.6164,0.2805,-0.2586,-0.2208,0.011,0.8742,-0.3858,-0.1918,0.5259,-0.0896,-0.3101,0.3155,-0.1629,0.0925,0.2524,-0.3426,-0.1584,-0.2168,0.078
28971,-0.2345,0.26,0.2739,0.4,-0.1047,-0.1092,1.0708,-0.1491,-0.1898,0.8404,-0.0395,0.2795,-0.9044,0.1384,0.5017,0.367,0.0355,0.1624,-0.3543,0.8692,0.31,-0.2205,0.4011,0.4926,0.4439,-0.0579,-0.0894,-0.0149,-0.3315,-0.0905,-0.4824,-0.374,-0.8246,0.6922,-0.3517,0.1617,-0.1381,0.9086,-0.1118,0.1743,0.2552,0.0045,-0.6985,-0.3288,0.3755,0.014,0.0062,-0.4824,0.483,0.6446,1.1946,0.0891,-0.5956,-0.0054,-0.5343,-0.1637,-0.0756,0.3219,0.0,-0.8419,-0.287,-0.0497,-0.2337,-0.072,-0.4776,-0.5581,-0.311,0.1217,-0.437,-0.0467,-0.239,0.2216,0.1433,0.2489,0.7004,-0.0896,-0.2059,-0.5709,0.0746,-1.1506,-0.0016,0.1514,0.3682,-0.6836,0.259,0.4606,0.0362,-0.0595,-0.2042,0.4816,-0.3532,-0.1192,0.2947,0.1909,0.0051,0.1949,-0.6988,-0.0611,0.474,0.2623,0.4287,0.3676,-0.2281,-0.48,-0.1102,-0.6612,0.0984,-0.5786,0.1805,0.6464,-0.1366,-0.2317,-0.6114,0.8356,0.4085,0.2347,-0.4303,-0.0812,-0.3518,-0.4335,-0.1394
14,-0.0374,-0.1636,-0.1383,0.2409,0.0365,-0.4079,0.5365,0.0951,0.1611,-0.1801,0.651,-0.3112,-0.1545,0.2109,-0.148,0.0419,-0.1776,-0.0921,0.3802,0.0846,0.5146,-0.5105,-0.3448,-0.2145,-0.044,-0.1585,-0.2486,-0.1577,-0.5581,0.259,-0.2666,0.3901,-0.3766,-0.3015,0.1524,-0.1762,-0.1494,0.4252,0.1292,0.2095,-0.2257,-0.3337,-0.2992,0.568,0.1375,-0.0806,-0.2037,0.0246,-0.1632,-0.2603,-0.1974,0.1457,-0.2109,-0.2722,0.4105,-0.169,-0.5216,-0.0919,0.0293,0.0229,0.0859,-0.0839,-0.4359,0.3714,-0.0178,0.1729,-0.0419,0.7591,0.2224,-0.2931,-0.5601,0.0043,-0.3168,0.2069,-0.1335,-0.0482,0.0829,0.3178,-0.0798,0.2272,0.0331,-0.0795,-0.2429,0.0325,-0.0544,0.0839,-0.2724,-0.3306,-0.2963,-0.2528,-0.0953,0.0143,0.1091,0.0858,0.2077,-0.3428,0.2558,0.1731,-0.1166,0.2612,0.1223,-0.4532,-0.4443,0.2296,0.2022,0.4789,0.0424,0.1517,-0.3471,0.0317,-0.1436,-0.1671,-0.1847,-0.0313,-0.2518,-0.1154,-0.1764,-0.0462,0.0413,0.3011,0.7722
25980,0.2657,-0.1642,0.1526,-0.0929,-0.1378,-0.004,-0.5794,-0.035,0.0171,0.7723,0.4078,-0.0052,0.0558,0.001,-0.1294,-0.4604,-0.1062,0.3023,0.0469,0.1184,0.1124,-0.0201,-0.1579,-0.0324,-0.0653,0.2282,-0.0896,-0.1403,0.1572,0.4074,0.6869,0.5194,-0.4311,0.0015,-0.1567,-0.1087,0.001,,,0.0837,-0.431,0.0826,0.0563,-0.3203,-0.0661,-0.1588,-0.0286,-0.0377,0.3324,-0.0158,,,,0.0521,0.2589,0.2024,-0.0253,-0.3366,-0.1703,-0.1347,0.2173,0.1589,0.0556,0.1801,-0.1429,0.0354,-0.3214,-0.3863,-0.4676,0.4816,-0.5128,-0.0646,-0.2845,0.252,-0.2437,0.066,0.0378,0.1554,-0.307,0.5693,0.3208,0.1354,0.0029,-0.2538,0.6172,-0.1151,-0.0007,0.0808,0.2057,0.0489,0.3931,0.0637,0.1732,0.2601,0.1643,0.0144,0.2561,0.2646,0.0128,1.1142,-0.0159,0.0161,-0.0271,0.2439,0.1949,0.0448,-0.0094,0.1643,0.0576,0.5422,-0.0796,-0.0592,0.1604,0.0041,0.1057,0.1051,-0.2981,0.1571,-0.0161,0.176,0.2354
