Biomarker,TargetGene,T-stat,P-value,EffectSize,n_Deleted,n_WT,MeanEffect_Deleted,MeanEffect_WT,FDR
CTPS2,HEXIM2,6.285062369923745,1.2995251541487516e-05,2.3512592405576567,15,3,-0.0392426110291523,-0.2307288324489544,0.0462293078336876
CTPS2,IGF2BP3,-6.33858376296006,1.0378838622864058e-05,-2.4789361040775497,15,3,-0.1501621235041723,0.0646018985840524,0.0461521006462207
CTPS2,KCNK13,7.0324218019880105,3.3703644661162595e-06,2.780616190208562,15,3,-0.0471346010023965,-0.168494496066634,0.0299743363794049
CTPS2,PDCD1,-8.086964165914756,6.674144080731395e-07,-3.2180925553836404,15,3,-0.0661856998506704,0.0994018927544025,0.0118713000763969
CTPS2,TMEM185A,-6.655726202789261,7.556244289910303e-06,-2.471767862419315,15,3,-0.0869810174748608,0.057618782425102,0.0448009723948781
CTSB,LRRC37A3,9.843295319091904,2.773373058023425e-06,4.444493902053469,10,3,-0.4431081808662185,-0.88379295895438,0.0276589760649395
CTSB,SRR,-7.409728091380463,3.110021483661049e-06,-2.9933019299701438,13,5,0.0493933066459822,0.1994449655810689,0.0276589760649395
DYNC1LI2,CHUK,7.311916007788521,3.4221548281822142e-06,3.1049929265928657,6,12,0.0466136286711917,-0.1415751675806262,0.0333166996212517
DYNC1LI2,NEUROG1,-6.880886013345116,3.7461853737281976e-06,-3.079566226751599,6,12,-0.1968911530169585,-0.0505468348482058,0.0333166996212517
EDC4,CHUK,7.311916007788521,3.4221548281822142e-06,3.1049929265928657,6,12,0.0466136286711917,-0.1415751675806262,0.0333166996212517
EDC4,NEUROG1,-6.880886013345116,3.7461853737281976e-06,-3.079566226751599,6,12,-0.1968911530169585,-0.0505468348482058,0.0333166996212517
ERAP1,TMED2,-7.061198499860116,2.7135663093456227e-06,-3.0290346263177845,5,13,-1.0067979034805423,-0.4861872463497574,0.0486162539982361
ERI1,LRRC37A3,9.843295319091904,2.773373058023425e-06,4.444493902053469,10,3,-0.4431081808662185,-0.88379295895438,0.0276589760649395
ERI1,SRR,-7.409728091380463,3.110021483661049e-06,-2.9933019299701438,13,5,0.0493933066459822,0.1994449655810689,0.0276589760649395
ESRP2,CHUK,7.311916007788521,3.4221548281822142e-06,3.1049929265928657,6,12,0.0466136286711917,-0.1415751675806262,0.0333166996212517
ESRP2,NEUROG1,-6.880886013345116,3.7461853737281976e-06,-3.079566226751599,6,12,-0.1968911530169585,-0.0505468348482058,0.0333166996212517
FDFT1,LRRC37A3,9.843295319091904,2.773373058023425e-06,4.444493902053469,10,3,-0.4431081808662185,-0.88379295895438,0.0276589760649395
FDFT1,SRR,-7.409728091380463,3.110021483661049e-06,-2.9933019299701438,13,5,0.0493933066459822,0.1994449655810689,0.0276589760649395
GRAMD4,AASDH,7.34559256865425,3.059545138876842e-06,3.3093010292825498,13,5,-0.0975669761069213,-0.2519668750405725,0.0258397827945892
GRAMD4,MMP13,-7.153164853177991,4.358202529025005e-06,-3.2306352718686946,13,5,-0.0140881525669388,0.1134209276117382,0.0258397827945892
GRAMD4,TRIM69,7.123912108156116,2.468707632393268e-06,3.0682833674331738,13,5,0.0352042522098308,-0.0768045293962811,0.0258397827945892
LMF2,AASDH,7.34559256865425,3.059545138876842e-06,3.3093010292825498,13,5,-0.0975669761069213,-0.2519668750405725,0.0258397827945892
LMF2,MMP13,-7.153164853177991,4.358202529025005e-06,-3.2306352718686946,13,5,-0.0140881525669388,0.1134209276117382,0.0258397827945892
LMF2,TRIM69,7.123912108156116,2.468707632393268e-06,3.0682833674331738,13,5,0.0352042522098308,-0.0768045293962811,0.0258397827945892
LNPEP,TMED2,-7.061198499860116,2.7135663093456227e-06,-3.0290346263177845,5,13,-1.0067979034805423,-0.4861872463497574,0.0486162539982361
MLYCD,KDM5D,12.844151165264051,2.654293068291506e-06,7.754385041752161,3,7,0.4800334785300031,0.3618701193893722,0.0475543146115106
MSRA,LRRC37A3,9.843295319091904,2.773373058023425e-06,4.444493902053469,10,3,-0.4431081808662185,-0.88379295895438,0.0276589760649395
MSRA,SRR,-7.409728091380463,3.110021483661049e-06,-2.9933019299701438,13,5,0.0493933066459822,0.1994449655810689,0.0276589760649395
SBF1,AASDH,7.34559256865425,3.059545138876842e-06,3.3093010292825498,13,5,-0.0975669761069213,-0.2519668750405725,0.0258397827945892
SBF1,MMP13,-7.153164853177991,4.358202529025005e-06,-3.2306352718686946,13,5,-0.0140881525669388,0.1134209276117382,0.0258397827945892
SBF1,TRIM69,7.123912108156116,2.468707632393268e-06,3.0682833674331738,13,5,0.0352042522098308,-0.0768045293962811,0.0258397827945892
SCO2,AASDH,7.34559256865425,3.059545138876842e-06,3.3093010292825498,13,5,-0.0975669761069213,-0.2519668750405725,0.0258397827945892
SCO2,MMP13,-7.153164853177991,4.358202529025005e-06,-3.2306352718686946,13,5,-0.0140881525669388,0.1134209276117382,0.0258397827945892
SCO2,TRIM69,7.123912108156116,2.468707632393268e-06,3.0682833674331738,13,5,0.0352042522098308,-0.0768045293962811,0.0258397827945892
SLC25A6,AOC3,8.79663187613358,5.26452958459378e-07,3.61038905717454,15,3,-0.0748840378471549,-0.2804371292210814,0.0046817461595792
SLC25A6,ATP10A,6.058323593973906,2.33717058537556e-05,2.238994227823211,15,3,-0.0925608799850258,-0.2283122496818029,0.046187684479433
SLC25A6,AZIN1,8.446822364752071,2.744712310002001e-07,3.2677665301772567,15,3,-0.029292981868011,-0.2618997366963209,0.0046817461595792
SLC25A6,CELF4,6.1989227940263385,1.7503302357326264e-05,2.4869282250614626,15,3,0.0145047277841951,-0.1092876999690714,0.0444733908182007
SLC25A6,DOK4,6.654624376600379,8.631023129629008e-06,2.454516124756643,15,3,-0.0310292289953527,-0.1535659368372357,0.0255852295639302
SLC25A6,DYNLRB2,-5.870729163451022,3.2059049161257245e-05,-2.358263926270403,15,3,0.1689948020457989,0.3565626187495751,0.0475168540318434
SLC25A6,FBXO40,6.0710771216595845,2.1281812382886773e-05,2.4297785607167333,15,3,0.0264601277720274,-0.1325489014059348,0.046187684479433
SLC25A6,HAT1,-6.057788329658405,2.60634369564334e-05,-2.4546873600752286,15,3,-0.0922592766036722,0.161429322094243,0.0463564289707124
SLC25A6,KRT74,6.984103508675249,3.0887915507684025e-06,2.6968759435521545,15,3,-0.0319550739320959,-0.2085428511891759,0.0183124155073222
SLC25A6,LYPLA2,5.798948786308572,2.9845051934152904e-05,2.284758052046824,15,3,-0.1040850289646775,-0.2370272351829882,0.0475168540318434
SLC25A6,PCM1,7.4163986137305455,6.799520047750128e-06,3.113433470681195,15,3,-0.1991348167248528,-0.5423051924641267,0.0241872527138567
SLC25A6,ST6GAL2,7.315858634568054,5.128337677229024e-06,3.022884522444232,15,3,-0.071436616031808,-0.2633257691781769,0.0228031534817988
SYAP1,HEXIM2,6.285062369923745,1.2995251541487516e-05,2.3512592405576567,15,3,-0.0392426110291523,-0.2307288324489544,0.0462293078336876
SYAP1,IGF2BP3,-6.33858376296006,1.0378838622864058e-05,-2.4789361040775497,15,3,-0.1501621235041723,0.0646018985840524,0.0461521006462207
SYAP1,KCNK13,7.0324218019880105,3.3703644661162595e-06,2.780616190208562,15,3,-0.0471346010023965,-0.168494496066634,0.0299743363794049
SYAP1,PDCD1,-8.086964165914756,6.674144080731395e-07,-3.2180925553836404,15,3,-0.0661856998506704,0.0994018927544025,0.0118713000763969
SYAP1,TMEM185A,-6.655726202789261,7.556244289910303e-06,-2.471767862419315,15,3,-0.0869810174748608,0.057618782425102,0.0448009723948781
TBC1D22A,AASDH,7.34559256865425,3.059545138876842e-06,3.3093010292825498,13,5,-0.0975669761069213,-0.2519668750405725,0.0258397827945892
TBC1D22A,MMP13,-7.153164853177991,4.358202529025005e-06,-3.2306352718686946,13,5,-0.0140881525669388,0.1134209276117382,0.0258397827945892
TBC1D22A,TRIM69,7.123912108156116,2.468707632393268e-06,3.0682833674331738,13,5,0.0352042522098308,-0.0768045293962811,0.0258397827945892
TRMU,AASDH,7.34559256865425,3.059545138876842e-06,3.3093010292825498,13,5,-0.0975669761069213,-0.2519668750405725,0.0258397827945892
TRMU,MMP13,-7.153164853177991,4.358202529025005e-06,-3.2306352718686946,13,5,-0.0140881525669388,0.1134209276117382,0.0258397827945892
TRMU,TRIM69,7.123912108156116,2.468707632393268e-06,3.0682833674331738,13,5,0.0352042522098308,-0.0768045293962811,0.0258397827945892
TTC38,AASDH,7.34559256865425,3.059545138876842e-06,3.3093010292825498,13,5,-0.0975669761069213,-0.2519668750405725,0.0258397827945892
TTC38,MMP13,-7.153164853177991,4.358202529025005e-06,-3.2306352718686946,13,5,-0.0140881525669388,0.1134209276117382,0.0258397827945892
TTC38,TRIM69,7.123912108156116,2.468707632393268e-06,3.0682833674331738,13,5,0.0352042522098308,-0.0768045293962811,0.0258397827945892
YTHDC2,TMED2,-7.061198499860116,2.7135663093456227e-06,-3.0290346263177845,5,13,-1.0067979034805423,-0.4861872463497574,0.0486162539982361
