Biomarker,BiomarkerCluster,TargetGene,OncogeneAddiction,T-stat,P-value,EffectSize,n_Amplified,n_WT,MeanEffect_Amplified,MeanEffect_WT,FDR
10404,"10404, 10499, 10565, 137682, 26986, 4147, 50484, 51123, 54845, 55636, 6674, 7534, 767, 79666, 79977, 92140, 9791",8662,False,-13.025603476070236,1.576436090483788e-09,-5.281700669181033,3,14,-2.5558630011259083,-1.7929259134981606,7.517944893712662e-05
10404,"10404, 10499, 10565, 137682, 26986, 4147, 50484, 51123, 54845, 55636, 6674, 7534, 767, 79666, 79977, 92140, 9791",55759,False,-6.691264012262483,9.232599324720254e-06,-2.766449278098764,3,14,-1.6243682046769294,-1.2412142708061598,0.0880596090992493
208,"208, 55095, 55588, 5704, 6829, 8857, 9149, 92609",27085,False,-6.360406520784468,2.13934987999222e-05,-2.420616050357783,3,14,-2.0012949388706627,-1.6926109180379332,0.098218039898729
23012,"23012, 3709, 3845, 586",7862,False,-6.070729174954414,2.172461794045878e-05,-2.5419227656577297,4,13,-0.6682095447208778,-0.3030968474042189,0.098218039898729
25852,"25852, 25937, 2992, 349565, 4071, 51122, 51163, 5291, 5359, 55179, 5947, 6596, 9276",47,False,-6.883814266530732,1.099916082868474e-05,-2.6029063781672166,3,14,-0.763179989381547,-0.2840455732867132,0.0953717236981019
25852,"25852, 25937, 2992, 349565, 4071, 51122, 51163, 5291, 5359, 55179, 5947, 6596, 9276",254272,False,-8.473388785671302,5.016930713397611e-06,-3.7705079116133953,3,14,-0.602511530351202,-0.2354092101905101,0.0866583525968774
27161,27161,1973,False,-6.171936658682791,1.8211514564374416e-05,-2.5810865695976872,4,13,-1.431133662805873,-0.7940056562971746,0.098218039898729
27161,27161,56893,False,-7.952553752037373,2.3198768538047174e-05,-3.9129696501574136,4,13,-0.8895346105205473,-0.5690056680211839,0.098218039898729
55500,"55500, 55907, 9847",7862,False,-6.143324472446941,1.880718806458653e-05,-2.4561906680890693,3,14,-0.6882923731276455,-0.3248728625539586,0.098218039898729
55500,"55500, 55907, 9847",51025,False,-6.74174667085729,7.555619887542951e-06,-2.630576804217801,3,14,-1.9329982614808097,-1.3599097403666476,0.0880596090992493
85453,85453,8662,False,-13.025603476070236,1.576436090483788e-09,-5.281700669181033,3,14,-2.5558630011259083,-1.7929259134981606,7.517944893712662e-05
85453,85453,55759,False,-6.691264012262483,9.232599324720254e-06,-2.766449278098764,3,14,-1.6243682046769294,-1.2412142708061598,0.0880596090992493
8725,"8725, 898",1163,False,-7.538317939554402,2.2571956668837825e-05,-3.911717972891599,3,9,-1.137772735351131,-0.5682210073465543,0.098218039898729
