Biomarker,Biomarker_HGNC,TargetGene,TargetGene_HGNC,OncogeneAddiction,T-stat,P-value,EffectSize,n_Amplified,n_WT,MeanEffect_Amplified,MeanEffect_WT,FDR
10061,ABCF2,5298,PI4KB,False,-8.175293186809657,6.746553144793937e-07,-3.237589986590083,3,14,-0.4613726165764006,-0.1846328281442268,0.0555586376606009
1020,CDK5,5298,PI4KB,False,-8.175293186809657,6.746553144793937e-07,-3.237589986590083,3,14,-0.4613726165764006,-0.1846328281442268,0.0555586376606009
11194,ABCB8,5298,PI4KB,False,-8.175293186809657,6.746553144793937e-07,-3.237589986590083,3,14,-0.4613726165764006,-0.1846328281442268,0.0555586376606009
116988,AGAP3,5298,PI4KB,False,-8.175293186809657,6.746553144793937e-07,-3.237589986590083,3,14,-0.4613726165764006,-0.1846328281442268,0.0555586376606009
121512,FGD4,8662,EIF3B,False,-13.025603476070236,1.576436090483788e-09,-5.281700669181033,3,14,-2.5558630011259083,-1.7929259134981606,0.0023440816447448
137492,VPS37A,57703,CWC22,False,-8.296725421362371,8.220115192395313e-07,-3.200592365751,3,14,-1.8906084943009749,-1.3771661524681709,0.0555586376606009
155435,RBM33,5298,PI4KB,False,-8.175293186809657,6.746553144793937e-07,-3.237589986590083,3,14,-0.4613726165764006,-0.1846328281442268,0.0555586376606009
22976,PAXIP1,5298,PI4KB,False,-8.175293186809657,6.746553144793937e-07,-3.237589986590083,3,14,-0.4613726165764006,-0.1846328281442268,0.0555586376606009
23085,ERC1,6235,RPS29,False,-8.479189927903267,6.154085754956063e-07,-3.27513328974429,3,14,-3.5676767988941056,-2.849866626142308,0.0555586376606009
25977,NECAP1,6235,RPS29,False,-8.479189927903267,6.154085754956063e-07,-3.27513328974429,3,14,-3.5676767988941056,-2.849866626142308,0.0555586376606009
29883,CNOT7,57703,CWC22,False,-8.296725421362371,8.220115192395313e-07,-3.200592365751,3,14,-1.8906084943009749,-1.3771661524681709,0.0555586376606009
4074,M6PR,6235,RPS29,False,-8.479189927903267,6.154085754956063e-07,-3.27513328974429,3,14,-3.5676767988941056,-2.849866626142308,0.0555586376606009
427,ASAH1,57703,CWC22,False,-8.296725421362371,8.220115192395313e-07,-3.200592365751,3,14,-1.8906084943009749,-1.3771661524681709,0.0555586376606009
51422,PRKAG2,5298,PI4KB,False,-8.175293186809657,6.746553144793937e-07,-3.237589986590083,3,14,-0.4613726165764006,-0.1846328281442268,0.0555586376606009
51435,SCARA3,10615,SPAG5,False,-8.076604433116957,7.991979572120204e-07,-3.2651690862581986,3,14,-0.8748067221341355,-0.4883079570607924,0.0555586376606009
6009,RHEB,5298,PI4KB,False,-8.175293186809657,6.746553144793937e-07,-3.237589986590083,3,14,-0.4613726165764006,-0.1846328281442268,0.0555586376606009
64216,TFB2M,91746,YTHDC1,False,-10.116307263418088,1.918786929325836e-07,-4.600229383649622,4,13,-0.9960611466498634,-0.5217737689541905,0.0555586376606009
6522,SLC4A2,5298,PI4KB,False,-8.175293186809657,6.746553144793937e-07,-3.237589986590083,3,14,-0.4613726165764006,-0.1846328281442268,0.0555586376606009
7991,TUSC3,57703,CWC22,False,-8.296725421362371,8.220115192395313e-07,-3.200592365751,3,14,-1.8906084943009749,-1.3771661524681709,0.0555586376606009
83590,TMUB1,5298,PI4KB,False,-8.175293186809657,6.746553144793937e-07,-3.237589986590083,3,14,-0.4613726165764006,-0.1846328281442268,0.0555586376606009
