Biomarker,Biomarker_HGNC,Endpoint,N_patients,N_amplified,N_not_amplified,Amp_frequency,Univariate_HR,Univariate_coef,Univariate_p,Univariate_CI_lower,Univariate_CI_upper,Adjusted_HR,Adjusted_coef,Adjusted_p,Adjusted_CI_lower,Adjusted_CI_upper,Univariate_FDR,Adjusted_FDR
3709,ITPR2,PFS,469,40,429,0.0852878464818763,1.5904232096003252,0.4640001503752603,0.0119232330709824,1.1077325874618666,2.28344459147048,1.5761350837320007,0.4549757007904549,0.0137574450990171,1.0974634423035603,2.2635850146922216,0.7175034168295237,0.8756197844894769
8725,URI1,PFS,469,84,385,0.1791044776119403,1.4156297030963052,0.3475744519592788,0.0129026196907572,1.076371509465448,1.8618176332851573,1.3848824174085008,0.3256152388573546,0.0212772175527832,1.0497000484840986,1.8270927135965227,0.7175034168295237,0.8756197844894769
55297,CCDC91,PFS,469,22,447,0.0469083155650319,1.6273654644591369,0.4869624277569389,0.0314703037385916,1.0442133580398951,2.5361850952428826,1.595906392593876,0.4674418460505949,0.0394262006805694,1.0228952316951332,2.4899101442689004,0.7175034168295237,0.8756197844894769
1891,ECH1,PFS,469,42,427,0.0895522388059701,1.485010902354151,0.39542211388034,0.031920977600653,1.0347685740177512,2.131159986380548,1.4567001327148013,0.3761736945792353,0.041964447877127,1.0137635716411293,2.093165838673966,0.7175034168295237,0.8756197844894769
4793,NFKBIB,PFS,469,42,427,0.0895522388059701,1.485010902354151,0.39542211388034,0.031920977600653,1.0347685740177512,2.131159986380548,1.4567001327148013,0.3761736945792353,0.041964447877127,1.0137635716411293,2.093165838673966,0.7175034168295237,0.8756197844894769
22933,SIRT2,PFS,469,42,427,0.0895522388059701,1.485010902354151,0.39542211388034,0.031920977600653,1.0347685740177512,2.131159986380548,1.4567001327148013,0.3761736945792353,0.041964447877127,1.0137635716411293,2.093165838673966,0.7175034168295237,0.8756197844894769
3191,HNRNPL,PFS,469,42,427,0.0895522388059701,1.485010902354151,0.39542211388034,0.031920977600653,1.0347685740177512,2.131159986380548,1.4567001327148013,0.3761736945792353,0.041964447877127,1.0137635716411293,2.093165838673966,0.7175034168295237,0.8756197844894769
81,ACTN4,PFS,469,42,427,0.0895522388059701,1.4768352440264465,0.3899014496133504,0.0321270186640085,1.0338328121016864,2.1096663913817912,1.4435800898002225,0.3671262016438807,0.0447911188881795,1.0085709490716313,2.0662140601866703,0.7175034168295237,0.8756197844894769
898,CCNE1,PFS,469,92,377,0.1961620469083155,1.3357029207330993,0.2894576856670197,0.0310713022024367,1.026688419584918,1.7377251544107517,1.309645026260022,0.2697561281728337,0.0463427110071227,1.004382311641819,1.7076864804637015,0.7175034168295237,0.8756197844894769
6183,MRPS12,PFS,469,43,426,0.091684434968017,1.4619089264369116,0.3797430655684443,0.0394187890801851,1.018574015026634,2.098205606727597,1.4340630687016156,0.3605117221737641,0.0513184360196924,0.9979382513962144,2.0607857070681432,0.7236521406216139,0.8756197844894769
8496,PPFIBP1,PFS,469,33,436,0.0703624733475479,1.503898626185733,0.4080608204539379,0.0427608699474882,1.0133968371492204,2.2318118578362043,1.472479697970677,0.3869478489923102,0.0556086294306419,0.9907691383480052,2.1883972532198945,0.7236521406216139,0.8756197844894769
64778,FNDC3B,PFS,469,115,354,0.2452025586353944,0.7791121482856568,-0.2496002790500925,0.0636139555721432,0.5984922641792416,1.0142415799454627,0.7806014238444188,-0.24769060019883,0.0656844617377452,0.5996265424306311,1.016196815501086,0.7236521406216139,0.8756197844894769
8743,TNFSF10,PFS,469,115,354,0.2452025586353944,0.7791121482856568,-0.2496002790500925,0.0636139555721432,0.5984922641792416,1.0142415799454627,0.7806014238444188,-0.24769060019883,0.0656844617377452,0.5996265424306311,1.016196815501086,0.7236521406216139,0.8756197844894769
2122,MECOM,PFS,469,134,335,0.2857142857142857,0.7949665210355464,-0.2294552771195094,0.0745349666207638,0.6177697080452763,1.022989248804415,0.7920067398863916,-0.2331853772463555,0.0699521028210716,0.6154623841176801,1.0191925489073133,0.7236521406216139,0.8756197844894769
79718,TBL1XR1,PFS,469,103,366,0.2196162046908315,0.7747783049156469,-0.2551783487245924,0.0649038456241243,0.5908919755929544,1.0158902922409576,0.77841725235819,-0.2504925844836674,0.0701394202124178,0.5935771528256308,1.0208166131132628,0.7236521406216139,0.8756197844894769
10298,PAK4,PFS,469,43,426,0.091684434968017,1.4097977473647891,0.3434462525160929,0.0661083239747595,0.977407017270578,2.0334718836222767,1.3818109541669037,0.3233949245030716,0.0846737223047466,0.9567407975009412,1.995735436434936,0.7236521406216139,0.8756197844894769
