Unnamed: 0,Gene,Gene_HGNC,Sample,CNA,Protein
0,10000,AKT3,TCGA-13-1409-01,2,0.969
1,10000,AKT3,TCGA-13-1410-01,1,0.0311
2,10000,AKT3,TCGA-13-1487-01,1,0.0831
3,10000,AKT3,TCGA-13-1488-01,1,0.4446
4,10000,AKT3,TCGA-13-1494-01,0,0.3586
5,10000,AKT3,TCGA-13-1497-01,1,-0.9244
6,10000,AKT3,TCGA-13-1500-01,0,0.4016
7,10000,AKT3,TCGA-13-1507-01,0,-0.2691
8,10000,AKT3,TCGA-13-1511-01,0,-0.2683
9,10000,AKT3,TCGA-13-2060-01,1,-0.5957
10,10000,AKT3,TCGA-23-1121-01,1,-0.1093
11,10000,AKT3,TCGA-24-1103-01,0,-0.6212
12,10000,AKT3,TCGA-24-1416-01,1,0.3152
13,10000,AKT3,TCGA-24-1430-01,0,0.2166
14,10000,AKT3,TCGA-24-1431-01,1,-0.6186
15,10000,AKT3,TCGA-24-1435-01,-1,0.2367
16,10000,AKT3,TCGA-24-1544-01,1,-0.5417
17,10000,AKT3,TCGA-24-1553-01,2,0.7757
18,10000,AKT3,TCGA-24-1555-01,0,-0.8026
19,10000,AKT3,TCGA-24-1558-01,1,-0.3858
20,10000,AKT3,TCGA-24-1562-01,1,-0.3311
21,10000,AKT3,TCGA-24-1565-01,1,-0.2505
22,10000,AKT3,TCGA-24-1927-01,0,-0.4515
23,10000,AKT3,TCGA-24-2261-01,-1,-0.0605
24,10000,AKT3,TCGA-24-2289-01,1,0.0605
25,10000,AKT3,TCGA-24-2290-01,1,-1.545
26,10000,AKT3,TCGA-24-2298-01,0,1.6371
27,10000,AKT3,TCGA-25-1313-01,1,0.1025
28,10000,AKT3,TCGA-25-1323-01,1,0.3083
29,10000,AKT3,TCGA-25-1623-01,0,0.9911
30,10000,AKT3,TCGA-25-1628-01,1,0.508
31,10000,AKT3,TCGA-25-1631-01,0,-0.0791
32,10000,AKT3,TCGA-25-2399-01,0,-0.2348
33,10000,AKT3,TCGA-25-2404-01,1,0.3817
34,10000,AKT3,TCGA-29-1688-01,2,-0.2567
35,10000,AKT3,TCGA-29-1690-01,1,0.6546
36,10000,AKT3,TCGA-29-1697-01,0,-1.09
37,10000,AKT3,TCGA-29-1698-01,0,0.5426
38,10000,AKT3,TCGA-29-1705-01,-1,0.0843
39,10000,AKT3,TCGA-29-1710-01,1,-0.0094
40,10000,AKT3,TCGA-29-1766-01,1,0.9553
41,10000,AKT3,TCGA-29-1768-01,-1,0.749
42,10000,AKT3,TCGA-29-1769-01,1,0.1763
43,10000,AKT3,TCGA-29-1770-01,1,0.8364
44,10000,AKT3,TCGA-29-1785-01,1,0.0516
45,10000,AKT3,TCGA-30-1887-01,0,0.2227
46,10000,AKT3,TCGA-36-1569-01,1,1.127
47,10000,AKT3,TCGA-36-1570-01,0,-0.4878
48,10000,AKT3,TCGA-36-1571-01,1,-0.5063
49,10000,AKT3,TCGA-36-1577-01,0,-0.0118
50,10000,AKT3,TCGA-36-1580-01,1,0.6214
51,10000,AKT3,TCGA-36-2534-01,1,-0.7172
52,10000,AKT3,TCGA-36-2544-01,-1,-0.0393
53,10000,AKT3,TCGA-36-2549-01,-1,-0.617
54,10000,AKT3,TCGA-59-2348-01,0,0.7783
55,10000,AKT3,TCGA-59-2351-01,1,-0.2732
56,10000,AKT3,TCGA-59-2352-01,1,0.2256
57,10000,AKT3,TCGA-61-1727-01,1,-0.071
58,10000,AKT3,TCGA-61-1910-01,0,-0.145
59,10000,AKT3,TCGA-61-1914-01,-1,-0.565
60,10000,AKT3,TCGA-61-1915-01,0,-0.6846
61,10000,AKT3,TCGA-61-1995-01,0,-1.0282
62,10000,AKT3,TCGA-61-2088-01,1,-0.6677
63,10013,HDAC6,TCGA-09-1664-01,-1,-0.072
64,10013,HDAC6,TCGA-13-1404-01,-1,-0.1129
65,10013,HDAC6,TCGA-13-1409-01,-1,-0.178
66,10013,HDAC6,TCGA-13-1410-01,1,0.2705
67,10013,HDAC6,TCGA-13-1482-01,-1,-0.1904
68,10013,HDAC6,TCGA-13-1483-01,-1,0.2061
69,10013,HDAC6,TCGA-13-1485-01,1,-0.0205
70,10013,HDAC6,TCGA-13-1487-01,-1,-0.2132
71,10013,HDAC6,TCGA-13-1488-01,1,0.0615
72,10013,HDAC6,TCGA-13-1489-01,-1,0.1892
73,10013,HDAC6,TCGA-13-1492-01,-1,0.1539
74,10013,HDAC6,TCGA-13-1494-01,-1,-0.0577
75,10013,HDAC6,TCGA-13-1497-01,1,-0.0555
76,10013,HDAC6,TCGA-13-1500-01,-1,-0.1343
77,10013,HDAC6,TCGA-13-1501-01,0,-0.2785
78,10013,HDAC6,TCGA-13-1504-01,1,-0.2359
79,10013,HDAC6,TCGA-13-1507-01,1,-0.0831
80,10013,HDAC6,TCGA-13-1511-01,0,-0.1688
81,10013,HDAC6,TCGA-13-2059-01,-1,0.358
82,10013,HDAC6,TCGA-13-2060-01,2,0.2957
83,10013,HDAC6,TCGA-13-2061-01,0,-0.0154
84,10013,HDAC6,TCGA-13-2065-01,-1,-0.3645
85,10013,HDAC6,TCGA-23-1121-01,1,0.0811
86,10013,HDAC6,TCGA-23-1122-01,-1,-0.0525
87,10013,HDAC6,TCGA-24-1103-01,-1,0.2294
88,10013,HDAC6,TCGA-24-1416-01,-1,-0.1951
89,10013,HDAC6,TCGA-24-1422-01,-1,-0.1751
90,10013,HDAC6,TCGA-24-1430-01,-1,0.0119
91,10013,HDAC6,TCGA-24-1431-01,-1,-0.1651
92,10013,HDAC6,TCGA-24-1435-01,-1,0.0591
93,10013,HDAC6,TCGA-24-1436-01,0,-0.1632
94,10013,HDAC6,TCGA-24-1464-01,-1,-0.0904
95,10013,HDAC6,TCGA-24-1474-01,-1,-0.0472
96,10013,HDAC6,TCGA-24-1544-01,0,-0.095
97,10013,HDAC6,TCGA-24-1548-01,-1,0.1834
98,10013,HDAC6,TCGA-24-1553-01,0,0.1205
99,10013,HDAC6,TCGA-24-1555-01,-1,-0.0376
100,10013,HDAC6,TCGA-24-1557-01,0,0.0237
101,10013,HDAC6,TCGA-24-1558-01,-1,0.4662
102,10013,HDAC6,TCGA-24-1562-01,-1,-0.1465
103,10013,HDAC6,TCGA-24-1565-01,0,-0.1824
104,10013,HDAC6,TCGA-24-1920-01,-1,-0.0429
105,10013,HDAC6,TCGA-24-1927-01,0,-0.1877
106,10013,HDAC6,TCGA-24-2024-01,-1,0.1799
107,10013,HDAC6,TCGA-24-2030-01,2,0.8619
108,10013,HDAC6,TCGA-24-2033-01,-1,-0.3509
109,10013,HDAC6,TCGA-24-2261-01,1,0.0695
110,10013,HDAC6,TCGA-24-2289-01,1,-0.2642
111,10013,HDAC6,TCGA-24-2290-01,2,-0.1288
112,10013,HDAC6,TCGA-24-2298-01,-1,-0.2662
113,10013,HDAC6,TCGA-25-1312-01,0,-0.402
114,10013,HDAC6,TCGA-25-1313-01,0,0.0321
115,10013,HDAC6,TCGA-25-1318-01,1,0.1579
116,10013,HDAC6,TCGA-25-1322-01,-1,-0.0162
117,10013,HDAC6,TCGA-25-1323-01,0,0.234
