Biomarker,Biomarker_HGNC,BiomarkerCluster,BiomarkerCluster_HGNC,Rep_Biomarker,Rep_Biomarker_HGNC,TargetGene,TargetGene_HGNC,A1_entrez,A2_entrez,interact,shared_ppi,shared_ppi_hgnc,n_total_ppi,n_shared_ppi,shared_ppi_jaccard_idx,fet_ppi_overlap
1004,CDH6,"1004, 55322","CDH6, C5orf22",1004,CDH6,7328,UBE2H,1004,7328,False,set(),,1961,0,0.0,0.0
1004,CDH6,"1004, 55322","CDH6, C5orf22",1004,CDH6,7849,PAX8,1004,7849,False,set(),,107,0,0.0,0.0
1004,CDH6,"1004, 55322","CDH6, C5orf22",1004,CDH6,8467,SMARCA5,1004,8467,False,{1499},CTNNB1,395,1,0.0025316455696202,1.4086845271146666
10051,SMC4,"10051, 3840, 51068, 8706","SMC4, KPNA4, NMD3, B3GALNT1",10051,SMC4,4605,MYBL2,10051,4605,False,"{4609, 1025, 9219, 899, 142, 112399, 8467, 1050, 8359, 5928, 1108, 25942, 23512, 2146, 6117, 2033, 25976, 1017, 3066}","MYC, CDK9, MTA2, CCNF, PARP1, EGLN3, SMARCA5, CEBPA, H4C1, RBBP4, CHD4, SIN3A, SUZ12, EZH2, RPA1, EP300, TIPARP, CDK2, HDAC2",392,19,0.048469387755102,13.237624048054904
10051,SMC4,"10051, 3840, 51068, 8706","SMC4, KPNA4, NMD3, B3GALNT1",10051,SMC4,54468,MIOS,10051,54468,False,"{57664, 8452, 25831, 8878, 112399, 4914, 2099, 2100, 440730, 51548}","PLEKHA4, CUL3, HECTD1, SQSTM1, EGLN3, NTRK1, ESR1, ESR2, TRIM67, SIRT6",329,10,0.0303951367781155,7.540668350567673
10051,SMC4,"10051, 3840, 51068, 8706","SMC4, KPNA4, NMD3, B3GALNT1",3840,KPNA4,132660,LIN54,3840,132660,False,"{6657, 4609, 10849, 5925, 6119, 5928, 1994, 3020, 5071, 23152, 54386, 7157, 5371}","SOX2, MYC, POLR1G, RB1, RPA3, RBBP4, ELAVL1, H3-3A, PRKN, CIC, TERF2IP, TP53, PML",290,13,0.0448275862068965,10.93809547675621
10059,DNM1L,"10059, 51067","DNM1L, YARS2",51067,YARS2,7862,BRPF1,51067,7862,False,"{4609, 1459, 81532, 4221}","MYC, CSNK2A2, MOB2, MEN1",298,4,0.0134228187919463,1.9927526788697636
10059,DNM1L,"10059, 51067","DNM1L, YARS2",10059,DNM1L,8773,SNAP23,10059,8773,False,"{6657, 92421, 7430, 5894, 57111, 9367, 3608, 4893, 29984, 6059, 8878, 8766, 4287, 57664, 6117, 6118, 6119, 5865, 5867, 5868, 54764, 3182, 7542}","SOX2, CHMP4C, EZR, RAF1, RAB25, RAB9A, ILF2, NRAS, RHOD, ABCE1, SQSTM1, RAB11A, ATXN3, PLEKHA4, RPA1, RPA2, RPA3, RAB3B, RAB4A, RAB5A, ZRANB1, HNRNPAB, ZFPL1",479,23,0.0480167014613778,13.657178085551516
10059,DNM1L,"10059, 51067","DNM1L, YARS2",10059,DNM1L,10370,CITED2,10059,10370,False,{5594},MAPK1,333,1,0.003003003003003,0.6452638014872446
10059,DNM1L,"10059, 51067","DNM1L, YARS2",10059,DNM1L,10615,SPAG5,10059,10615,False,"{5216, 899, 5478, 6119, 5195, 10540, 7534, 2932, 79829, 983, 25976, 440730}","PFN1, CCNF, PPIA, RPA3, PEX14, DCTN2, YWHAZ, GSK3B, NAA40, CDK1, TIPARP, TRIM67",483,12,0.0248447204968944,4.557964368917656
10139,ARFRP1,"10139, 24148, 26205, 54915, 55738, 57473, 7165, 80331, 84619, 85441","ARFRP1, PRPF6, GMEB2, YTHDF1, ARFGAP1, ZNF512B, TPD52L2, DNAJC5, ZGPAT, HELZ2",24148,PRPF6,5970,RELA,24148,5970,False,"{4609, 899, 4869, 79753, 142, 10768, 3091, 440730, 1051, 7328, 51361, 6432, 672, 64425, 10284, 4914, 2099, 10432, 6595, 9928, 3276, 1743, 5071, 6615, 2521, 1499, 51548, 6625, 2146, 10849, 6634, 54764, 3309, 3312, 2033, 4851, 10614, 5371, 4221, 55294}","MYC, CCNF, NPM1, SNIP1, PARP1, AHCYL1, HIF1A, TRIM67, CEBPB, UBE2H, HOOK1, SRSF7, BRCA1, POLR1E, SAP18, NTRK1, ESR1, RBM14, SMARCA2, KIF14, PRMT1, DLST, PRKN, SNAI1, FUS, CTNNB1, SIRT6, SNRNP70, EZH2, POLR1G, SNRPD3, ZRANB1, HSPA5, HSPA8, EP300, NOTCH1, HEXIM1, PML, MEN1, FBXW7",720,40,0.0555555555555555,18.18457824385888
10195,ALG3,"10195, 1857, 1962, 1981, 2049, 5437, 55324, 55486, 5708, 8893, 9718","ALG3, DVL3, EHHADH, EIF4G1, EPHB3, POLR2H, ABCF3, PARL, PSMD2, EIF2B5, ECE2",5708,PSMD2,54468,MIOS,5708,54468,False,"{57664, 8924, 8452, 25831, 8878, 112399, 10576, 5071, 4914, 2100, 83478, 440730, 51548}","PLEKHA4, HERC2, CUL3, HECTD1, SQSTM1, EGLN3, CCT2, PRKN, NTRK1, ESR2, ARHGAP24, TRIM67, SIRT6",473,13,0.0274841437632135,8.803634658051475
10298,PAK4,"10298, 22933, 4793, 6183","PAK4, SIRT2, NFKBIB, MRPS12",4793,NFKBIB,2491,CENPI,4793,2491,False,{351},APP,112,1,0.0089285714285714,0.8995204978346764
10298,PAK4,"10298, 22933, 4793, 6183","PAK4, SIRT2, NFKBIB, MRPS12",10298,PAK4,7919,DDX39B,10298,7919,False,"{9984, 7430, 7431, 648, 58517, 22938, 440730, 5034, 6829, 4914, 60, 6733, 5071, 203100, 988, 4067, 6117, 5478, 999, 6118, 6119, 7532, 54764, 4719, 1778, 4082, 25976, 2810, 6780, 4734}","THOC1, EZR, VIM, BMI1, RBM25, SNW1, TRIM67, P4HB, SUPT5H, NTRK1, ACTB, SRPK2, PRKN, HTRA4, CDC5L, LYN, RPA1, PPIA, CDH1, RPA2, RPA3, YWHAG, ZRANB1, NDUFS1, DYNC1H1, MARCKS, TIPARP, SFN, STAU1, NEDD4",689,30,0.0435413642960812,15.855558764891455
10298,PAK4,"10298, 22933, 4793, 6183","PAK4, SIRT2, NFKBIB, MRPS12",6183,MRPS12,10440,TIMM17A,6183,10440,False,"{57664, 10469, 7846}","PLEKHA4, TIMM44, TUBA1A",253,3,0.0118577075098814,2.858658913209001
10298,PAK4,"10298, 22933, 4793, 6183","PAK4, SIRT2, NFKBIB, MRPS12",22933,SIRT2,51343,FZR1,22933,51343,True,"{8451, 5901, 142, 3856, 8850, 3091, 83732, 6432, 11051, 10540, 29110, 29882, 9531, 4170, 207, 5071, 8405, 7514, 991, 6502, 10598, 8940, 92140, 64112, 3312, 8945, 23411, 7284, 4082, 6129, 7157, 7417, 5500, 1017}","CUL4A, RAN, PARP1, KRT8, KAT2B, HIF1A, RIOK1, SRSF7, NUDT21, DCTN2, TBK1, ANAPC2, BAG3, MCL1, AKT1, PRKN, SPOP, XPO1, CDC20, SKP2, AHSA1, TOP3B, MTDH, MOAP1, HSPA8, BTRC, SIRT1, TUFM, MARCKS, RPL7, TP53, VDAC2, PPP1CB, CDK2",1229,34,0.0276647681041497,12.21521770958946
10298,PAK4,"10298, 22933, 4793, 6183","PAK4, SIRT2, NFKBIB, MRPS12",22933,SIRT2,54458,PRR13,22933,54458,False,{57142},RTN4,199,1,0.0050251256281407,0.4852176364240863
10298,PAK4,"10298, 22933, 4793, 6183","PAK4, SIRT2, NFKBIB, MRPS12",10298,PAK4,57534,MIB1,10298,57534,False,"{57664, 5829, 2697, 8878, 8239, 4914, 7157, 440730}","PLEKHA4, PXN, GJA1, SQSTM1, USP9X, NTRK1, TP53, TRIM67",443,8,0.0180586907449209,2.60015654619265
10298,PAK4,"10298, 22933, 4793, 6183","PAK4, SIRT2, NFKBIB, MRPS12",10298,PAK4,57622,LRFN1,10298,57622,False,"{1956, 23303, 4301, 25776, 51133}","EGFR, KIF13B, AFDN, CBY1, KCTD3",283,5,0.0176678445229682,2.437887969396951
10298,PAK4,"10298, 22933, 4793, 6183","PAK4, SIRT2, NFKBIB, MRPS12",6183,MRPS12,64965,MRPS9,6183,64965,True,"{8192, 10240, 6657, 4609, 51204, 4613, 6150, 7182, 23078, 6182, 5160, 3630, 23107, 60488, 29777, 4191, 56945, 3196, 7818, 7316, 26284, 51373, 6832, 708, 84681, 55028, 55037, 9987, 54534, 219927, 28957, 28973, 28976, 28977, 84273, 128308, 51001, 30012, 57664, 3396, 28998, 51021, 51023, 23376, 22868, 2926, 26995, 25976, 79736, 22907, 51069, 54148, 55173, 51081, 10128, 84881, 29074, 1431, 440730, 51116, 64432, 4528, 64949, 64951, 63931, 64960, 51649, 51650, 22983, 64968, 65993, 64969, 65992, 64975, 64976, 64978, 11222, 6625, 85476, 81892, 54764, 55794, 6134}","CLPP, MRPS31, SOX2, MYC, TACO1, MYCN, MRPL23, NR2C2, VWA8, MRPL12, PDHA1, INS, MRPS27, MRPS35, ABT1, MDH2, MRPS22, TLX2, DAP3, UBC, ERAL1, MRPS17, SUPV3L1, C1QBP, HINT2, MTNAP1, PTCD3, HNRNPDL, MRPL50, MRPL21, MRPS28, MRPS18B, ACAD9, MRPL42, NOA1, MRPL55, MTERF3, TLX3, PLEKHA4, MRPL58, MRPL13, MRPS16, MRPS18C, UFL1, FASTKD2, GRSF1, TRUB2, TIPARP, TEFM, DHX30, MRPL2, MRPL39, MRPS10, MRPS7, LRPPRC, RPUSD4, MRPL18, CS, TRIM67, MRPS2, MRPS25, MTIF2, MRPS26, MRPS24, MRPS14, MRPS15, MRPS23, MRPS33, MAST1, MRPS6, MRPS34, MRPS5, DDRGK1, MRPL41, MRPL40, MRPL38, MRPL3, SNRNP70, GFM1, SLIRP, ZRANB1, DDX28, RPL10",519,83,0.1599229287090559,84.25683503937886
10298,PAK4,"10298, 22933, 4793, 6183","PAK4, SIRT2, NFKBIB, MRPS12",6183,MRPS12,91750,LIN52,6183,91750,False,"{4609, 3191}","MYC, HNRNPL",282,2,0.0070921985815602,0.9707742404599538
10298,PAK4,"10298, 22933, 4793, 6183","PAK4, SIRT2, NFKBIB, MRPS12",10298,PAK4,132660,LIN54,10298,132660,False,"{6117, 6118, 6119, 5071, 7157, 25976}","RPA1, RPA2, RPA3, PRKN, TP53, TIPARP",245,6,0.0244897959183673,4.065453235738199
10298,PAK4,"10298, 22933, 4793, 6183","PAK4, SIRT2, NFKBIB, MRPS12",10298,PAK4,163131,ZNF780B,10298,163131,False,set(),,163,0,0.0,0.0
10298,PAK4,"10298, 22933, 4793, 6183","PAK4, SIRT2, NFKBIB, MRPS12",22933,SIRT2,503834,DPRX,22933,503834,False,{7284},TUFM,162,1,0.0061728395061728,0.9311381608051356
10397,NDRG1,10397,NDRG1,10397,NDRG1,1871,E2F3,10397,1871,False,"{4609, 7706, 3191}","MYC, TRIM25, HNRNPL",271,3,0.011070110701107,1.590908711350861
10397,NDRG1,10397,NDRG1,10397,NDRG1,51575,ESF1,10397,51575,False,"{7328, 4609, 8314, 6119, 54764, 10413, 440730, 6194, 2547, 79829, 3192, 6202, 379}","UBE2H, MYC, BAP1, RPA3, ZRANB1, YAP1, TRIM67, RPS6, XRCC6, NAA40, HNRNPU, RPS8, ARL4D",348,13,0.0373563218390804,8.190514775478785
10404,CPQ,10404,CPQ,10404,CPQ,116228,COX20,10404,116228,False,set(),,66,0,0.0,0.0
10434,LYPLA1,"10434, 6917","LYPLA1, TCEA1",10434,LYPLA1,5870,RAB6A,10434,5870,False,"{5894, 1994, 54764, 440730, 2801, 7706}","RAF1, ELAVL1, ZRANB1, TRIM67, GOLGA2, TRIM25",184,6,0.0326086956521739,5.4905015044394805
10434,LYPLA1,"10434, 6917","LYPLA1, TCEA1",6917,TCEA1,7268,TTC4,6917,7268,False,"{7289, 5071, 2033, 7157, 26233, 440730, 1051, 26973, 6878}","TULP3, PRKN, EP300, TP53, FBXL6, TRIM67, CEBPB, CHORDC1, TAF6",232,9,0.0387931034482758,7.320659751774894
10434,LYPLA1,"10434, 6917","LYPLA1, TCEA1",10434,LYPLA1,9497,SLC4A7,10434,9497,False,"{7706, 998, 440730}","TRIM25, CDC42, TRIM67",240,3,0.0125,1.693613773179739
10434,LYPLA1,"10434, 6917","LYPLA1, TCEA1",6917,TCEA1,11004,KIF2C,6917,11004,False,"{6118, 56647, 54764, 440730, 5071, 2962, 23476, 63893, 1050, 1051, 351}","RPA2, BCCIP, ZRANB1, TRIM67, PRKN, GTF2F1, BRD4, UBE2O, CEBPA, CEBPB, APP",279,11,0.039426523297491,8.223388229405943
10434,LYPLA1,"10434, 6917","LYPLA1, TCEA1",6917,TCEA1,29035,HAPSTR1,6917,29035,False,"{3939, 515, 51366, 10291, 1434}","LDHA, ATP5PB, UBR5, SF3A1, CSE1L",580,5,0.0086206896551724,0.6910255513342893
10434,LYPLA1,"10434, 6917","LYPLA1, TCEA1",6917,TCEA1,79016,DDA1,6917,79016,True,"{123169, 64963, 4171, 4172, 54764, 2033, 9493, 5430, 8726, 79577, 8314, 80349}","LEO1, MRPS11, MCM2, MCM3, ZRANB1, EP300, KIF23, POLR2A, EED, CDC73, BAP1, SKIC8",468,12,0.0256410256410256,5.829179344304608
10499,NCOA2,10499,NCOA2,10499,NCOA2,3297,HSF1,10499,3297,False,"{6880, 29894, 2314, 1387, 3306, 54862, 23054, 2801, 2033, 7157, 790, 3191, 4085, 5371, 9532, 9439}","TAF9, CPSF1, FLII, CREBBP, HSPA2, CC2D1A, NCOA6, GOLGA2, EP300, TP53, CAD, HNRNPL, MAD2L1, PML, BAG2, MED23",697,16,0.0229555236728837,6.4461684052700265
10499,NCOA2,10499,NCOA2,10499,NCOA2,3845,KRAS,10499,3845,False,"{2314, 8500, 405, 2070, 5371, 9532}","FLII, PPFIA1, ARNT, EYA4, PML, BAG2",1246,6,0.0048154093097913,0.0
10499,NCOA2,10499,NCOA2,10499,NCOA2,5134,PDCD2,10499,5134,False,"{2033, 112399}","EP300, EGLN3",156,2,0.0128205128205128,1.6072484607234232
