Pathway,Gene
Chronic myeloid leukemia,AKT2
Chronic myeloid leukemia,MECOM
Chronic myeloid leukemia,PIK3CB
Chronic myeloid leukemia,PIK3CA
Chronic myeloid leukemia,GAB2
Chronic myeloid leukemia,E2F3
Chronic myeloid leukemia,KRAS
Chronic myeloid leukemia,CCND1
Chronic myeloid leukemia,RAF1
Chronic myeloid leukemia,CDK4
Cellular senescence,AKT2
Cellular senescence,PIK3CB
Cellular senescence,PIK3CA
Cellular senescence,CCNE1
Cellular senescence,LIN54
Cellular senescence,E2F3
Cellular senescence,KRAS
Cellular senescence,FBXW11
Cellular senescence,CCND1
Cellular senescence,RAF1
Cellular senescence,MYBL2
Cellular senescence,ZFP36L1
Cellular senescence,CDK4
positive regulation of macromolecule metabolic process,EIF4G1
positive regulation of macromolecule metabolic process,NCOA2
positive regulation of macromolecule metabolic process,IGF2BP2
positive regulation of macromolecule metabolic process,SUB1
positive regulation of macromolecule metabolic process,CLNS1A
positive regulation of macromolecule metabolic process,IL1RAP
positive regulation of macromolecule metabolic process,DHX36
positive regulation of macromolecule metabolic process,ECT2
positive regulation of macromolecule metabolic process,TRA2B
positive regulation of macromolecule metabolic process,AKT2
positive regulation of macromolecule metabolic process,MECOM
positive regulation of macromolecule metabolic process,EZH2
positive regulation of macromolecule metabolic process,NCBP2
positive regulation of macromolecule metabolic process,RFX5
positive regulation of macromolecule metabolic process,PIK3CB
positive regulation of macromolecule metabolic process,WWTR1
positive regulation of macromolecule metabolic process,AGO2
positive regulation of macromolecule metabolic process,HLTF
positive regulation of macromolecule metabolic process,PDCD5
positive regulation of macromolecule metabolic process,ASPH
positive regulation of macromolecule metabolic process,OPA1
positive regulation of macromolecule metabolic process,RAP2B
positive regulation of macromolecule metabolic process,RSF1
positive regulation of macromolecule metabolic process,PLSCR1
positive regulation of macromolecule metabolic process,MED29
positive regulation of macromolecule metabolic process,RBM38
positive regulation of macromolecule metabolic process,CHD7
positive regulation of macromolecule metabolic process,SMYD3
positive regulation of macromolecule metabolic process,WNK1
positive regulation of macromolecule metabolic process,SUPT5H
positive regulation of macromolecule metabolic process,PAX8
positive regulation of macromolecule metabolic process,FZR1
positive regulation of macromolecule metabolic process,E2F3
positive regulation of macromolecule metabolic process,KRAS
positive regulation of macromolecule metabolic process,SKP2
positive regulation of macromolecule metabolic process,WDR48
positive regulation of macromolecule metabolic process,ACTR3
positive regulation of macromolecule metabolic process,TMED2
positive regulation of macromolecule metabolic process,ATXN7L3
positive regulation of macromolecule metabolic process,FBXW11
positive regulation of macromolecule metabolic process,SOX17
positive regulation of macromolecule metabolic process,SUPT7L
positive regulation of macromolecule metabolic process,TRAF2
positive regulation of macromolecule metabolic process,VEZF1
positive regulation of macromolecule metabolic process,WT1
positive regulation of macromolecule metabolic process,CCND1
positive regulation of macromolecule metabolic process,RAF1
positive regulation of macromolecule metabolic process,MYBL2
positive regulation of macromolecule metabolic process,SAMD4B
positive regulation of macromolecule metabolic process,ZFP36L1
positive regulation of macromolecule metabolic process,ARID2
positive regulation of macromolecule metabolic process,APC
positive regulation of macromolecule metabolic process,RICTOR
positive regulation of macromolecule metabolic process,ZNF780B
positive regulation of metabolic process,EIF4G1
positive regulation of metabolic process,NCOA2
positive regulation of metabolic process,IGF2BP2
positive regulation of metabolic process,SUB1
positive regulation of metabolic process,CLNS1A
positive regulation of metabolic process,IL1RAP
positive regulation of metabolic process,DHX36
positive regulation of metabolic process,ECT2
positive regulation of metabolic process,TRA2B
positive regulation of metabolic process,AKT2
positive regulation of metabolic process,MECOM
positive regulation of metabolic process,EZH2
positive regulation of metabolic process,FH
positive regulation of metabolic process,NCBP2
positive regulation of metabolic process,RFX5
positive regulation of metabolic process,PIK3CB
positive regulation of metabolic process,WWTR1
positive regulation of metabolic process,AGO2
positive regulation of metabolic process,HLTF
positive regulation of metabolic process,PDCD5
positive regulation of metabolic process,ASPH
positive regulation of metabolic process,OPA1
positive regulation of metabolic process,RAP2B
positive regulation of metabolic process,RSF1
positive regulation of metabolic process,PLSCR1
positive regulation of metabolic process,MED29
positive regulation of metabolic process,RBM38
positive regulation of metabolic process,CHD7
positive regulation of metabolic process,SMYD3
positive regulation of metabolic process,WNK1
positive regulation of metabolic process,SUPT5H
positive regulation of metabolic process,UVRAG
positive regulation of metabolic process,PAX8
positive regulation of metabolic process,FZR1
positive regulation of metabolic process,E2F3
positive regulation of metabolic process,KRAS
positive regulation of metabolic process,SKP2
positive regulation of metabolic process,WDR48
positive regulation of metabolic process,ACTR3
positive regulation of metabolic process,TMED2
positive regulation of metabolic process,ATXN7L3
positive regulation of metabolic process,FBXW11
positive regulation of metabolic process,SOX17
positive regulation of metabolic process,SUPT7L
positive regulation of metabolic process,TRAF2
positive regulation of metabolic process,VEZF1
positive regulation of metabolic process,WT1
positive regulation of metabolic process,CCND1
positive regulation of metabolic process,RAF1
positive regulation of metabolic process,MYBL2
positive regulation of metabolic process,SAMD4B
positive regulation of metabolic process,ZFP36L1
positive regulation of metabolic process,ARID2
positive regulation of metabolic process,SCD
positive regulation of metabolic process,APC
positive regulation of metabolic process,RICTOR
positive regulation of metabolic process,ZNF780B
cell division,SMC4
cell division,AHCTF1
cell division,ECT2
cell division,PIK3CB
cell division,WWTR1
cell division,ZC3HC1
cell division,EXOC4
cell division,WNK1
cell division,UVRAG
cell division,CCNE1
cell division,FZR1
cell division,CIT
cell division,PARD6B
cell division,PDS5B
cell division,VPS4B
cell division,ACTR3
cell division,MAEA
cell division,SOX17
cell division,CCND1
cell division,CDK4
cell division,APC
positive regulation of cellular process,SMC4
positive regulation of cellular process,DNM1L
positive regulation of cellular process,EIF4G1
positive regulation of cellular process,NCOA2
positive regulation of cellular process,IGF2BP2
positive regulation of cellular process,SUB1
positive regulation of cellular process,CLNS1A
positive regulation of cellular process,IL1RAP
positive regulation of cellular process,DHX36
positive regulation of cellular process,ECT2
positive regulation of cellular process,TRA2B
positive regulation of cellular process,AKT2
positive regulation of cellular process,MECOM
positive regulation of cellular process,EZH2
positive regulation of cellular process,FH
positive regulation of cellular process,NCBP2
positive regulation of cellular process,RFX5
positive regulation of cellular process,PIK3CB
positive regulation of cellular process,WWTR1
positive regulation of cellular process,LSM14A
positive regulation of cellular process,AGO2
positive regulation of cellular process,AAMDC
positive regulation of cellular process,HLTF
positive regulation of cellular process,PDCD5
positive regulation of cellular process,MMP7
positive regulation of cellular process,ASPH
positive regulation of cellular process,OPA1
positive regulation of cellular process,GOLT1B
positive regulation of cellular process,RAP2B
positive regulation of cellular process,RSF1
positive regulation of cellular process,PIK3CA
positive regulation of cellular process,PLSCR1
positive regulation of cellular process,MED29
positive regulation of cellular process,RBM38
positive regulation of cellular process,CHD7
positive regulation of cellular process,BICD1
positive regulation of cellular process,GOLPH3
positive regulation of cellular process,SMYD3
positive regulation of cellular process,ST6GAL1
positive regulation of cellular process,WNK1
positive regulation of cellular process,SUPT5H
positive regulation of cellular process,UVRAG
positive regulation of cellular process,CCNE1
positive regulation of cellular process,TNFSF10
positive regulation of cellular process,GAB2
positive regulation of cellular process,PAX8
positive regulation of cellular process,MIOS
positive regulation of cellular process,FZR1
positive regulation of cellular process,E2F3
positive regulation of cellular process,KRAS
positive regulation of cellular process,PDCD2
positive regulation of cellular process,CIT
