Pathway,Gene
regulation of primary metabolic process,ACTR3
regulation of primary metabolic process,APC
regulation of primary metabolic process,APLP1
regulation of primary metabolic process,ARID1A
regulation of primary metabolic process,ARID2
regulation of primary metabolic process,ATAD2
regulation of primary metabolic process,ATXN7L3
regulation of primary metabolic process,BIRC2
regulation of primary metabolic process,BRD8
regulation of primary metabolic process,BRMS1
regulation of primary metabolic process,BRPF1
regulation of primary metabolic process,BTAF1
regulation of primary metabolic process,C1D
regulation of primary metabolic process,CCNC
regulation of primary metabolic process,CCND1
regulation of primary metabolic process,CCNE1
regulation of primary metabolic process,CDK4
regulation of primary metabolic process,CEP350
regulation of primary metabolic process,CITED2
regulation of primary metabolic process,CNOT2
regulation of primary metabolic process,DDA1
regulation of primary metabolic process,DICER1
regulation of primary metabolic process,DNM1L
regulation of primary metabolic process,DOCK7
regulation of primary metabolic process,DPRX
regulation of primary metabolic process,E2F3
regulation of primary metabolic process,EIF4G1
regulation of primary metabolic process,FBXW11
regulation of primary metabolic process,FZR1
regulation of primary metabolic process,G6PD
regulation of primary metabolic process,GATAD1
regulation of primary metabolic process,GCN1
regulation of primary metabolic process,GLMN
regulation of primary metabolic process,GRSF1
regulation of primary metabolic process,H1-2
regulation of primary metabolic process,HAMP
regulation of primary metabolic process,HSF1
regulation of primary metabolic process,ILK
regulation of primary metabolic process,KAT6A
regulation of primary metabolic process,KDM2A
regulation of primary metabolic process,KMT2A
regulation of primary metabolic process,KMT2B
regulation of primary metabolic process,KMT5A
regulation of primary metabolic process,KRAS
regulation of primary metabolic process,L3MBTL3
regulation of primary metabolic process,LIN52
regulation of primary metabolic process,LIN54
regulation of primary metabolic process,LSM14A
regulation of primary metabolic process,MAP3K7
regulation of primary metabolic process,MARK2
regulation of primary metabolic process,MECOM
regulation of primary metabolic process,MED1
regulation of primary metabolic process,MED25
regulation of primary metabolic process,MEN1
regulation of primary metabolic process,METAP1
regulation of primary metabolic process,MTERF3
regulation of primary metabolic process,MYBL2
regulation of primary metabolic process,NELFB
regulation of primary metabolic process,NSMCE2
regulation of primary metabolic process,PARD3
regulation of primary metabolic process,PARL
regulation of primary metabolic process,PARN
regulation of primary metabolic process,PAX8
regulation of primary metabolic process,PCBD2
regulation of primary metabolic process,PCGF1
regulation of primary metabolic process,PFDN1
regulation of primary metabolic process,PLAA
regulation of primary metabolic process,PPP4R2
regulation of primary metabolic process,PSME3
regulation of primary metabolic process,PSTK
regulation of primary metabolic process,RAF1
regulation of primary metabolic process,RANBP2
regulation of primary metabolic process,RELA
regulation of primary metabolic process,RICTOR
regulation of primary metabolic process,RNF31
regulation of primary metabolic process,SAMD4B
regulation of primary metabolic process,SKP2
regulation of primary metabolic process,SLC30A9
regulation of primary metabolic process,SMARCA4
regulation of primary metabolic process,SMARCA5
regulation of primary metabolic process,SOX17
regulation of primary metabolic process,SUPT3H
regulation of primary metabolic process,SUPT7L
regulation of primary metabolic process,SUZ12
regulation of primary metabolic process,TAFAZZIN
regulation of primary metabolic process,TDG
regulation of primary metabolic process,TMED10
regulation of primary metabolic process,TMED2
regulation of primary metabolic process,TRAF2
regulation of primary metabolic process,TRUB2
regulation of primary metabolic process,UBQLN4
regulation of primary metabolic process,USP1
regulation of primary metabolic process,VBP1
regulation of primary metabolic process,VEZF1
regulation of primary metabolic process,WDR48
regulation of primary metabolic process,WT1
regulation of primary metabolic process,WWTR1
regulation of primary metabolic process,YTHDC1
regulation of primary metabolic process,YTHDF2
regulation of primary metabolic process,ZEB1
regulation of primary metabolic process,ZFP36L1
regulation of primary metabolic process,ZFP69
regulation of primary metabolic process,ZNF496
regulation of primary metabolic process,ZNF780B
regulation of primary metabolic process,ZNF875
mitotic cell cycle process,APC
mitotic cell cycle process,ARID1A
mitotic cell cycle process,ARID2
mitotic cell cycle process,CCND1
mitotic cell cycle process,CCNE1
mitotic cell cycle process,CDK4
mitotic cell cycle process,CENPI
mitotic cell cycle process,CEP55
mitotic cell cycle process,CIT
mitotic cell cycle process,E2F3
mitotic cell cycle process,EIF4G1
mitotic cell cycle process,FBXW11
mitotic cell cycle process,FZR1
mitotic cell cycle process,KIF20A
mitotic cell cycle process,KIF2C
mitotic cell cycle process,KIF4A
mitotic cell cycle process,KMT5A
mitotic cell cycle process,LSM14A
mitotic cell cycle process,MAD2L1BP
mitotic cell cycle process,MIIP
mitotic cell cycle process,MYBL2
mitotic cell cycle process,NSMCE2
mitotic cell cycle process,PSME3
mitotic cell cycle process,RAD51B
mitotic cell cycle process,SKP2
mitotic cell cycle process,SMARCA4
mitotic cell cycle process,SMARCA5
mitotic cell cycle process,SPAG5
mitotic cell cycle process,TACC3
mitotic cell cycle process,VPS4B
mitotic cell cycle process,ZFP36L1
mitotic cell cycle,APC
mitotic cell cycle,ARID1A
mitotic cell cycle,ARID2
mitotic cell cycle,CCND1
mitotic cell cycle,CCNE1
mitotic cell cycle,CDK4
mitotic cell cycle,CENPI
mitotic cell cycle,CEP55
mitotic cell cycle,CIT
mitotic cell cycle,E2F3
mitotic cell cycle,EIF4G1
mitotic cell cycle,FBXW11
mitotic cell cycle,FZR1
mitotic cell cycle,HSF1
mitotic cell cycle,KIF20A
mitotic cell cycle,KIF2C
mitotic cell cycle,KIF4A
mitotic cell cycle,KMT5A
mitotic cell cycle,LSM14A
mitotic cell cycle,MAD2L1BP
mitotic cell cycle,MAEA
mitotic cell cycle,MIIP
mitotic cell cycle,MYBL2
mitotic cell cycle,NSMCE2
mitotic cell cycle,PSME3
mitotic cell cycle,RAD51B
mitotic cell cycle,SKP2
mitotic cell cycle,SMARCA4
mitotic cell cycle,SMARCA5
mitotic cell cycle,SPAG5
mitotic cell cycle,TACC3
mitotic cell cycle,VPS4B
mitotic cell cycle,XRCC2
mitotic cell cycle,ZFP36L1
cell cycle,ACTR3
cell cycle,APC
cell cycle,ARID1A
cell cycle,ARID2
cell cycle,BIRC2
cell cycle,BRD8
cell cycle,CCNC
cell cycle,CCND1
cell cycle,CCNE1
cell cycle,CDK4
cell cycle,CENPI
cell cycle,CEP55
cell cycle,CIT
cell cycle,CITED2
cell cycle,E2F3
cell cycle,EIF4G1
cell cycle,FBXW11
cell cycle,FZR1
cell cycle,HSF1
cell cycle,KIF20A
cell cycle,KIF2C
cell cycle,KIF4A
cell cycle,KMT5A
cell cycle,LSM14A
cell cycle,MAD2L1BP
cell cycle,MAEA
cell cycle,MAP3K7
cell cycle,MECOM
cell cycle,MED1
cell cycle,MEN1
cell cycle,MIIP
cell cycle,MYBL2
cell cycle,NSMCE2
cell cycle,PARD6B
cell cycle,PDS5B
cell cycle,PSME3
cell cycle,RAD51B
cell cycle,RAD51D
cell cycle,SKP2
cell cycle,SLC25A5
cell cycle,SMARCA4
cell cycle,SMARCA5
cell cycle,SPAG5
cell cycle,TACC3
cell cycle,VPS4B
cell cycle,XRCC2
cell cycle,YTHDF2
cell cycle,ZFP36L1
organelle organization,ACTR3
organelle organization,APC
organelle organization,ARID1A
organelle organization,ARID2
organelle organization,ARPC2
organelle organization,ARPC4
organelle organization,BCS1L
organelle organization,CCNE1
organelle organization,CENPI
organelle organization,CEP350
organelle organization,CNOT2
organelle organization,COX20
organelle organization,DCLRE1B
organelle organization,DNM1L
organelle organization,DOCK7
organelle organization,FBXW11
organelle organization,FZR1
organelle organization,GCN1
organelle organization,GET3
organelle organization,H1-2
organelle organization,HSF1
organelle organization,KAT6A
organelle organization,KIF20A
organelle organization,KIF2C
organelle organization,KIF4A
organelle organization,KMT5A
organelle organization,KRAS
organelle organization,KRT8
organelle organization,LMNB1
organelle organization,LRFN1
organelle organization,LSM14A
organelle organization,MAD2L1BP
organelle organization,MAEA
organelle organization,MARK2
organelle organization,METTL17
organelle organization,MFN2
organelle organization,MTERF3
organelle organization,MYBL2
organelle organization,NDUFA2
organelle organization,NSMCE2
organelle organization,PARD3
organelle organization,PARD6B
organelle organization,PARL
organelle organization,PARN
organelle organization,PDS5B
organelle organization,PEX6
organelle organization,PLEKHF1
organelle organization,POLR2M
organelle organization,PPP2R3C
organelle organization,RAB18
organelle organization,RAD51B
organelle organization,RAD51D
organelle organization,RAF1
organelle organization,RHPN1
organelle organization,RICTOR
organelle organization,SEC16A
organelle organization,SLC25A5
organelle organization,SLC30A9
organelle organization,SLC4A7
organelle organization,SMARCA4
organelle organization,SMARCA5
organelle organization,SNAP23
organelle organization,SPAG5
organelle organization,STRIP1
organelle organization,STX4
organelle organization,TACC3
organelle organization,TAFAZZIN
organelle organization,TMED10
organelle organization,TMED2
organelle organization,TOMM20
organelle organization,TWF1
organelle organization,UBQLN4
organelle organization,VPS4B
organelle organization,VTI1B
organelle organization,WWTR1
organelle organization,XRCC2
organelle organization,YTHDF2
chromatin organization,ARID1A
chromatin organization,ARID2
chromatin organization,ATAD2
chromatin organization,ATXN7L3
chromatin organization,BRD8
chromatin organization,BRPF1
chromatin organization,BTAF1
chromatin organization,CENPI
chromatin organization,CFDP1
chromatin organization,GATAD1
chromatin organization,GLMN
chromatin organization,H1-2
chromatin organization,KAT6A
chromatin organization,KDM2A
chromatin organization,KMT2A
chromatin organization,KMT2B
chromatin organization,KMT5A
chromatin organization,L3MBTL3
chromatin organization,LIN54
chromatin organization,LMNB1
chromatin organization,MAP3K7
chromatin organization,MECOM
chromatin organization,MEN1
chromatin organization,NSMCE2
chromatin organization,PCGF1
chromatin organization,RELA
chromatin organization,SMARCA4
chromatin organization,SMARCA5
chromatin organization,SUZ12
chromatin organization,TDG
chromatin organization,TTF2
chromatin organization,WT1
chromatin organization,YTHDC1
DNA repair,ARID1A
DNA repair,ARID2
DNA repair,ATXN7L3
DNA repair,BRD8
DNA repair,DCLRE1B
DNA repair,FZR1
DNA repair,GGN
DNA repair,HSF1
DNA repair,KDM2A
DNA repair,KMT5A
DNA repair,MEN1
DNA repair,NSMCE2
DNA repair,PPP4R2
DNA repair,RAD51B
DNA repair,RAD51D
DNA repair,SKP2
DNA repair,SLC30A9
DNA repair,SMARCA4
DNA repair,SMARCA5
DNA repair,SUPT3H
DNA repair,SUPT7L
DNA repair,TDG
DNA repair,TTF2
DNA repair,UBQLN4
DNA repair,USP1
DNA repair,WDR48
DNA repair,XRCC2
cell cycle process,ACTR3
cell cycle process,APC
cell cycle process,ARID1A
cell cycle process,ARID2
cell cycle process,CCNC
cell cycle process,CCND1
cell cycle process,CCNE1
