source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
KEGG,KEGG:05220,Chronic myeloid leukemia,4.605658236926205e-07,True,Chronic myeloid leukemia,76,89,10,8484,0.11235955056179775,0.13157894736842105,query_1,['KEGG:00000'],"['AKT2', 'MECOM', 'PIK3CB', 'PIK3CA', 'GAB2', 'E2F3', 'KRAS', 'CCND1', 'RAF1', 'CDK4']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
KEGG,KEGG:04218,Cellular senescence,5.713665448742554e-07,True,Cellular senescence,155,89,13,8484,0.14606741573033707,0.08387096774193549,query_1,['KEGG:00000'],"['AKT2', 'PIK3CB', 'PIK3CA', 'CCNE1', 'LIN54', 'E2F3', 'KRAS', 'FBXW11', 'CCND1', 'RAF1', 'MYBL2', 'ZFP36L1', 'CDK4']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
GO:BP,GO:0010604,positive regulation of macromolecule metabolic process,8.704487073954298e-06,True,"""Any process that increases the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",3288,157,54,21026,0.34394904458598724,0.016423357664233577,query_1,"['GO:0009893', 'GO:0043170', 'GO:0060255']","['EIF4G1', 'NCOA2', 'IGF2BP2', 'SUB1', 'CLNS1A', 'IL1RAP', 'DHX36', 'ECT2', 'TRA2B', 'AKT2', 'MECOM', 'EZH2', 'NCBP2', 'RFX5', 'PIK3CB', 'WWTR1', 'AGO2', 'HLTF', 'PDCD5', 'ASPH', 'OPA1', 'RAP2B', 'RSF1', 'PLSCR1', 'MED29', 'RBM38', 'CHD7', 'SMYD3', 'WNK1', 'SUPT5H', 'PAX8', 'FZR1', 'E2F3', 'KRAS', 'SKP2', 'WDR48', 'ACTR3', 'TMED2', 'ATXN7L3', 'FBXW11', 'SOX17', 'SUPT7L', 'TRAF2', 'VEZF1', 'WT1', 'CCND1', 'RAF1', 'MYBL2', 'SAMD4B', 'ZFP36L1', 'ARID2', 'APC', 'RICTOR', 'ZNF780B']","[['IMP'], ['IDA', 'ISS', 'IBA', 'IEA'], ['IDA', 'IBA'], ['IEA'], ['NAS'], ['IEA'], ['IMP', 'ISS', 'IEA'], ['IDA'], ['IDA', 'IBA', 'IEA'], ['IMP'], ['IDA', 'IEA'], ['IDA'], ['IMP', 'NAS'], ['IDA', 'NAS'], ['IMP'], ['IBA', 'IEA'], ['IDA', 'IMP', 'ISS', 'IEA'], ['ISO', 'IEA'], ['IDA'], ['IDA', 'IMP'], ['ISS', 'IEA'], ['IEA'], ['IDA'], ['IDA', 'IMP'], ['NAS'], ['IDA'], ['IEA'], ['IEA'], ['IDA'], ['IDA'], ['IDA', 'ISS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IEA'], ['IMP', 'IEA'], ['IDA', 'IEA'], ['IDA'], ['IDA'], ['IEA'], ['IDA', 'IBA', 'NAS', 'IEA'], ['IMP', 'ISS', 'IEA'], ['IDA', 'ISS', 'IBA', 'IEA'], ['NAS'], ['IDA', 'IMP', 'IEA'], ['IDA'], ['IDA', 'IMP', 'IGI'], ['IDA'], ['IDA', 'IEA'], ['IDA', 'IBA'], ['IBA'], ['IDA', 'IMP', 'ISS', 'IEA'], ['IMP', 'NAS'], ['IGI', 'IC'], ['IEA'], ['IEA']]"
GO:BP,GO:0009893,positive regulation of metabolic process,9.83384537289725e-06,True,"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."" [GOC:go_curators]",3597,157,57,21026,0.3630573248407643,0.0158465387823186,query_1,"['GO:0008152', 'GO:0019222', 'GO:0048522']","['EIF4G1', 'NCOA2', 'IGF2BP2', 'SUB1', 'CLNS1A', 'IL1RAP', 'DHX36', 'ECT2', 'TRA2B', 'AKT2', 'MECOM', 'EZH2', 'FH', 'NCBP2', 'RFX5', 'PIK3CB', 'WWTR1', 'AGO2', 'HLTF', 'PDCD5', 'ASPH', 'OPA1', 'RAP2B', 'RSF1', 'PLSCR1', 'MED29', 'RBM38', 'CHD7', 'SMYD3', 'WNK1', 'SUPT5H', 'UVRAG', 'PAX8', 'FZR1', 'E2F3', 'KRAS', 'SKP2', 'WDR48', 'ACTR3', 'TMED2', 'ATXN7L3', 'FBXW11', 'SOX17', 'SUPT7L', 'TRAF2', 'VEZF1', 'WT1', 'CCND1', 'RAF1', 'MYBL2', 'SAMD4B', 'ZFP36L1', 'ARID2', 'SCD', 'APC', 'RICTOR', 'ZNF780B']","[['IMP'], ['IDA', 'ISS', 'IBA', 'IEA'], ['IDA', 'IBA'], ['IEA'], ['NAS'], ['IEA'], ['IMP', 'ISS', 'IEA'], ['IDA'], ['IDA', 'IBA', 'IEA'], ['IMP'], ['IDA', 'IEA'], ['IDA'], ['ISS', 'IEA'], ['IMP', 'NAS'], ['IDA', 'NAS'], ['IMP', 'TAS'], ['IBA', 'IEA'], ['IDA', 'IMP', 'ISS', 'IEA'], ['ISO', 'IEA'], ['IDA'], ['IDA', 'IMP'], ['ISS', 'IEA'], ['IEA'], ['IDA'], ['IDA', 'IMP'], ['NAS'], ['IDA'], ['IEA'], ['IEA'], ['IDA'], ['IDA', 'IMP'], ['TAS'], ['IDA', 'IMP', 'ISS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IEA'], ['IMP', 'IEA'], ['IDA', 'IEA'], ['IDA'], ['IDA'], ['IEA'], ['IDA', 'IBA', 'NAS', 'IEA'], ['IMP', 'ISS', 'IEA'], ['IDA', 'ISS', 'IBA', 'IEA'], ['NAS'], ['IDA', 'IMP', 'IEA'], ['IDA'], ['IDA', 'IMP', 'IGI'], ['IDA'], ['IDA', 'IEA'], ['IDA', 'IBA'], ['IBA'], ['IDA', 'IMP', 'ISS', 'IEA'], ['IMP', 'NAS'], ['ISS'], ['IGI', 'ISS', 'IC'], ['IEA'], ['IEA']]"
GO:BP,GO:0051301,cell division,3.725166883376258e-05,True,"""The process resulting in division and partitioning of components of a cell to form more cells; may or may not be accompanied by the physical separation of a cell into distinct, individually membrane-bounded daughter cells."" [GOC:di, GOC:go_curators, GOC:pr]",658,157,21,21026,0.1337579617834395,0.031914893617021274,query_1,['GO:0009987'],"['SMC4', 'AHCTF1', 'ECT2', 'PIK3CB', 'WWTR1', 'ZC3HC1', 'EXOC4', 'WNK1', 'UVRAG', 'CCNE1', 'FZR1', 'CIT', 'PARD6B', 'PDS5B', 'VPS4B', 'ACTR3', 'MAEA', 'SOX17', 'CCND1', 'CDK4', 'APC']","[['IEA'], ['IMP', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IEA'], ['IDA'], ['IEA'], ['NAS'], ['IDA'], ['IMP'], ['IEA'], ['IEA'], ['IMP', 'IEA'], ['IEA'], ['IEA'], ['IMP', 'NAS', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IMP']]"
GO:BP,GO:0048522,positive regulation of cellular process,3.807285594265017e-05,True,"""Any process that activates or increases the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]",5920,157,77,21026,0.49044585987261147,0.013006756756756757,query_1,"['GO:0009987', 'GO:0048518', 'GO:0050794']","['SMC4', 'DNM1L', 'EIF4G1', 'NCOA2', 'IGF2BP2', 'SUB1', 'CLNS1A', 'IL1RAP', 'DHX36', 'ECT2', 'TRA2B', 'AKT2', 'MECOM', 'EZH2', 'FH', 'NCBP2', 'RFX5', 'PIK3CB', 'WWTR1', 'LSM14A', 'AGO2', 'AAMDC', 'HLTF', 'PDCD5', 'MMP7', 'ASPH', 'OPA1', 'GOLT1B', 'RAP2B', 'RSF1', 'PIK3CA', 'PLSCR1', 'MED29', 'RBM38', 'CHD7', 'BICD1', 'GOLPH3', 'SMYD3', 'ST6GAL1', 'WNK1', 'SUPT5H', 'UVRAG', 'CCNE1', 'TNFSF10', 'GAB2', 'PAX8', 'MIOS', 'FZR1', 'E2F3', 'KRAS', 'PDCD2', 'CIT', 'SKP2', 'WDR48', 'VPS4B', 'ACTR3', 'TMED2', 'ATXN7L3', 'FBXW11', 'SOX17', 'SUPT7L', 'TRAF2', 'VEZF1', 'WT1', 'CCND1', 'RAF1', 'MYBL2', 'SAMD4B', 'ZFP36L1', 'ARID2', 'XRCC2', 'CDK4', 'SCD', 'ARPC2', 'APC', 'RICTOR', 'ZNF780B']","[['IDA', 'ISS', 'ISO', 'IEA'], ['IDA', 'IMP', 'TAS'], ['IPI', 'IMP', 'IGI', 'IEA'], ['IDA', 'ISS', 'IBA', 'IEA'], ['IDA', 'IBA'], ['IEA'], ['NAS'], ['ISS', 'IEA'], ['IMP', 'ISS', 'IEA'], ['IDA', 'IMP', 'HMP', 'ISS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IMP', 'ISS', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IMP', 'IEA'], ['ISS', 'IEA'], ['IMP', 'ISS', 'NAS'], ['IDA', 'NAS'], ['IMP', 'IGI', 'TAS', 'IEA'], ['IDA', 'IGI', 'ISS', 'IBA', 'IEA'], ['IEA'], ['IDA', 'IMP', 'ISS', 'IEA'], ['IBA'], ['ISO', 'IEA'], ['IDA', 'IMP'], ['IDA'], ['IDA', 'IMP', 'TAS'], ['ISS', 'IEA'], ['HMP'], ['IEA'], ['IDA'], ['IDA', 'IGI', 'ISS', 'TAS', 'NAS', 'IEA'], ['IDA', 'IMP'], ['NAS'], ['IDA'], ['IEA'], ['IMP', 'IGI', 'IBA'], ['IMP'], ['IEA'], ['IEA'], ['IDA', 'IMP'], ['IDA', 'IMP'], ['TAS'], ['IMP', 'IBA'], ['IDA', 'IEP', 'IBA', 'IEA'], ['IDA', 'ISS'], ['IDA', 'IMP', 'ISS', 'IEA'], ['IDA', 'IBA', 'NAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IMP', 'IEA'], ['IDA', 'IMP'], ['IMP'], ['IDA', 'IEA'], ['IDA', 'IEA'], ['IMP'], ['IDA'], ['IEA'], ['IDA', 'IBA', 'NAS', 'IEA'], ['IDA', 'IMP', 'ISS', 'IEA'], ['IDA', 'ISS', 'IBA', 'IEA'], ['NAS'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IDA', 'IMP'], ['IDA', 'IMP', 'IGI'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IBA'], ['IDA', 'IMP', 'ISS', 'IEA'], ['IMP', 'NAS'], ['IEA'], ['IDA', 'IMP'], ['ISS'], ['IMP', 'IEA'], ['IMP', 'IGI', 'ISS', 'IC'], ['IMP', 'IBA', 'NAS', 'IEA'], ['IEA']]"
KEGG,KEGG:05222,Small cell lung cancer,3.836470741783907e-05,True,Small cell lung cancer,92,89,9,8484,0.10112359550561797,0.09782608695652174,query_1,['KEGG:00000'],"['AKT2', 'PIK3CB', 'PIK3CA', 'CCNE1', 'E2F3', 'SKP2', 'TRAF2', 'CCND1', 'CDK4']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
KEGG,KEGG:05218,Melanoma,6.508453937971455e-05,True,Melanoma,72,89,8,8484,0.0898876404494382,0.1111111111111111,query_1,['KEGG:00000'],"['AKT2', 'PIK3CB', 'PIK3CA', 'E2F3', 'KRAS', 'CCND1', 'RAF1', 'CDK4']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
KEGG,KEGG:05223,Non-small cell lung cancer,6.508453937971455e-05,True,Non-small cell lung cancer,72,89,8,8484,0.0898876404494382,0.1111111111111111,query_1,['KEGG:00000'],"['AKT2', 'PIK3CB', 'PIK3CA', 'E2F3', 'KRAS', 'CCND1', 'RAF1', 'CDK4']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
GO:BP,GO:0048518,positive regulation of biological process,8.856744986358831e-05,True,"""Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]",6264,157,79,21026,0.5031847133757962,0.012611749680715198,query_1,"['GO:0008150', 'GO:0050789']","['SMC4', 'DNM1L', 'EIF4G1', 'PAK4', 'NCOA2', 'ARFGEF1', 'IGF2BP2', 'SUB1', 'CLNS1A', 'IL1RAP', 'DHX36', 'ECT2', 'TRA2B', 'AKT2', 'MECOM', 'EZH2', 'FH', 'NCBP2', 'RFX5', 'PIK3CB', 'WWTR1', 'LSM14A', 'AGO2', 'AAMDC', 'HLTF', 'PDCD5', 'MMP7', 'ASPH', 'OPA1', 'GOLT1B', 'RAP2B', 'RSF1', 'PIK3CA', 'PLSCR1', 'MED29', 'RBM38', 'CHD7', 'BICD1', 'GOLPH3', 'SMYD3', 'ST6GAL1', 'WNK1', 'SUPT5H', 'UVRAG', 'CCNE1', 'TNFSF10', 'GAB2', 'PAX8', 'MIOS', 'FZR1', 'E2F3', 'KRAS', 'PDCD2', 'CIT', 'SKP2', 'WDR48', 'VPS4B', 'ACTR3', 'TMED2', 'ATXN7L3', 'FBXW11', 'SOX17', 'SUPT7L', 'TRAF2', 'VEZF1', 'WT1', 'CCND1', 'RAF1', 'MYBL2', 'SAMD4B', 'ZFP36L1', 'ARID2', 'XRCC2', 'CDK4', 'SCD', 'ARPC2', 'APC', 'RICTOR', 'ZNF780B']","[['IDA', 'ISS', 'ISO', 'IEA'], ['IDA', 'IMP', 'TAS'], ['IPI', 'IMP', 'IGI', 'IEA'], ['IMP'], ['IDA', 'ISS', 'IBA', 'NAS', 'IEA'], ['IMP'], ['IDA', 'IBA'], ['IEA'], ['NAS'], ['ISS', 'IEA'], ['IMP', 'ISS', 'IEA'], ['IDA', 'IMP', 'HMP', 'ISS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IMP', 'ISS', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IMP', 'IEA'], ['ISS', 'IEA'], ['IMP', 'ISS', 'NAS'], ['IDA', 'NAS'], ['IMP', 'IGI', 'TAS', 'IEA'], ['IDA', 'IGI', 'ISS', 'IBA', 'IEA'], ['IEA'], ['IDA', 'IMP', 'ISS', 'IEA'], ['IBA'], ['ISO', 'IEA'], ['IDA', 'IMP'], ['IDA'], ['IDA', 'IMP', 'TAS'], ['ISS', 'IEA'], ['HMP'], ['IEA'], ['IDA'], ['IDA', 'IGI', 'ISS', 'TAS', 'NAS', 'IEA'], ['IDA', 'IMP', 'ISS'], ['NAS'], ['IDA'], ['IEA'], ['IMP', 'IGI', 'IBA'], ['IMP'], ['IEA'], ['IEA'], ['IDA', 'IMP', 'ISS', 'IEA'], ['IDA', 'IMP'], ['TAS'], ['IMP', 'IBA'], ['IDA', 'IEP', 'IBA', 'IEA'], ['IDA', 'ISS'], ['IDA', 'IMP', 'ISS', 'IEA'], ['IDA', 'IBA', 'NAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IMP', 'IEA'], ['IDA', 'IMP'], ['IMP'], ['IDA', 'IEA'], ['IDA', 'IEA'], ['IMP'], ['IDA'], ['IEA'], ['IDA', 'IBA', 'NAS', 'IEA'], ['IDA', 'IMP', 'ISS', 'IEA'], ['IDA', 'ISS', 'IBA', 'IEA'], ['NAS'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IDA', 'IMP'], ['IDA', 'IMP', 'IGI', 'ISS'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IBA'], ['IDA', 'IMP', 'ISS', 'IEA'], ['IMP', 'NAS'], ['IEA'], ['IDA', 'IMP'], ['ISS'], ['IMP', 'IEA'], ['IMP', 'IGI', 'ISS', 'IC'], ['IMP', 'IBA', 'NAS', 'IEA'], ['IEA']]"
