source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
GO:BP,GO:0071705,nitrogen compound transport,0.00035698263585459103,True,"""The directed movement of nitrogen-containing compounds into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:mah]",1923,191,41,21026,0.21465968586387435,0.021320852834113363,query_1,['GO:0006810'],"['ACTN4', 'AHCTF1', 'ANKRD27', 'ARFGEF1', 'ASAP1', 'ASPH', 'C2CD5', 'CCDC91', 'CHD7', 'CNST', 'COPB2', 'COPG2', 'DERL1', 'DNM1L', 'ECT2', 'ENY2', 'ERC1', 'EXOC4', 'FAM91A1', 'FYTTD1', 'GOLPH3', 'GOLT1B', 'HM13', 'HSF1', 'IGF2BP2', 'IPO8', 'KIF3B', 'KPNA4', 'LSG1', 'LYN', 'LYPLA1', 'MMP7', 'NCBP2', 'PDIA4', 'SELENOT', 'SLC33A1', 'TFRC', 'TIMM50', 'TM9SF4', 'WNK1', 'YIF1B']","[['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IC'], ['IDA'], ['IMP', 'IBA', 'IEA'], ['IEA'], ['IMP'], ['IMP', 'IBA', 'IEA'], ['IBA', 'IEA'], ['IBA', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IDA'], ['ISS', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IEA'], ['IEA'], ['IDA', 'IBA'], ['IMP', 'IBA', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IEA'], ['IMP'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IMP'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IPI', 'ISS', 'NAS', 'IEA'], ['TAS'], ['ISS', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IC', 'IEA'], ['IBA', 'NAS', 'IEA'], ['IMP'], ['IDA'], ['IEA']]"
GO:BP,GO:0015031,protein transport,0.004525642426063355,True,"""The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]",1444,191,32,21026,0.16753926701570682,0.0221606648199446,query_1,"['GO:0045184', 'GO:0071705']","['ACTN4', 'AHCTF1', 'ANKRD27', 'ARFGEF1', 'ASAP1', 'ASPH', 'C2CD5', 'CCDC91', 'CNST', 'COPB2', 'COPG2', 'DERL1', 'DNM1L', 'ECT2', 'ENY2', 'ERC1', 'EXOC4', 'FAM91A1', 'GOLPH3', 'GOLT1B', 'HM13', 'IPO8', 'KIF3B', 'KPNA4', 'LSG1', 'LYPLA1', 'PDIA4', 'SELENOT', 'TFRC', 'TIMM50', 'TM9SF4', 'YIF1B']","[['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IC'], ['IDA'], ['IMP', 'IBA', 'IEA'], ['IEA'], ['IMP', 'IBA', 'IEA'], ['IBA', 'IEA'], ['IBA', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IDA'], ['ISS', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IDA', 'IBA'], ['IMP', 'IBA', 'IEA'], ['IEA'], ['IMP'], ['IBA', 'IEA'], ['IMP'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IEA'], ['IEA'], ['TAS'], ['ISS', 'IEA'], ['IDA', 'IC', 'IEA'], ['IBA', 'NAS', 'IEA'], ['IMP'], ['IEA']]"
GO:BP,GO:0046907,intracellular transport,0.005121743548291391,True,"""The directed movement of substances within a cell."" [GOC:ai]",1381,191,31,21026,0.16230366492146597,0.022447501810282405,query_1,"['GO:0006810', 'GO:0051641', 'GO:0051649']","['ACAP2', 'ACTN4', 'AHCTF1', 'ANKRD27', 'ASPH', 'BICD1', 'C2CD5', 'CCDC91', 'COPB2', 'COPG2', 'DERL1', 'ECT2', 'ENY2', 'ERC1', 'ERGIC2', 'FAM91A1', 'FYTTD1', 'GOLT1B', 'HM13', 'IPO8', 'KIF3B', 'KPNA4', 'LSG1', 'NCBP2', 'OPA1', 'RSRC1', 'TIMM50', 'TM9SF4', 'TRAPPC9', 'WNK1', 'YIF1B']","[['ISS'], ['IMP'], ['NAS'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IDA'], ['IMP'], ['IMP', 'IBA'], ['IMP', 'IBA'], ['IBA', 'IEA'], ['IBA', 'IEA'], ['IDA', 'IMP'], ['ISS', 'IEA'], ['IMP', 'IBA', 'IEA'], ['ISS'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IBA'], ['IMP', 'IBA', 'IEA'], ['IEA'], ['IMP'], ['IBA', 'IEA'], ['IMP', 'ISS', 'TAS', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA'], ['IPI', 'ISS', 'NAS'], ['TAS'], ['ISS', 'IEA'], ['NAS'], ['IMP'], ['NAS'], ['IDA'], ['IMP', 'ISS', 'IBA', 'IEA']]"
GO:BP,GO:0048193,Golgi vesicle transport,0.011382406339285174,True,"""The directed movement of substances into, out of or within the Golgi apparatus, mediated by vesicles."" [GOC:jid, ISBN:0716731363, PMID:10219233]",312,191,13,21026,0.06806282722513089,0.041666666666666664,query_1,['GO:0016192'],"['ASAP1', 'CCDC91', 'CNST', 'COPB2', 'COPG2', 'ERGIC2', 'EXOC4', 'GOLPH3', 'GOLT1B', 'LYPLA1', 'TRAPPC9', 'UVRAG', 'YIF1B']","[['IC'], ['IMP', 'IBA', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'TAS'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IMP', 'IBA', 'NAS', 'IEA'], ['IBA'], ['IMP', 'IBA'], ['IEA'], ['IEA'], ['NAS'], ['IMP'], ['IMP', 'ISS', 'IBA', 'IEA']]"
GO:BP,GO:0051641,cellular localization,0.014265600122086684,True,"""A cellular localization process whereby a substance or cellular entity, such as a protein complex or organelle, is transported to, and/or maintained in, a specific location within a cell including the localization of substances or cellular entities to the cell membrane."" [GOC:tb, GOC:vw]",3661,191,58,21026,0.3036649214659686,0.015842665938268233,query_1,"['GO:0009987', 'GO:0051179']","['ACAP2', 'ACTN4', 'AHCTF1', 'AKT2', 'ANKRD27', 'ARFGEF1', 'ASAP1', 'ASPH', 'ATP6V1C1', 'BICD1', 'C2CD5', 'CCDC91', 'CCNE1', 'CHD7', 'CNST', 'COPB2', 'COPG2', 'DERL1', 'DHX36', 'DNM1L', 'ECT2', 'EFR3A', 'ENY2', 'ERC1', 'ERGIC2', 'EXOC4', 'EZH2', 'FAM91A1', 'FYTTD1', 'GAB2', 'GOLPH3', 'GOLT1B', 'HM13', 'IPO8', 'ITPR2', 'KIF3B', 'KPNA4', 'LSG1', 'LYN', 'LYPLA1', 'NCBP2', 'OPA1', 'PAK2', 'PDIA4', 'PTP4A3', 'RSRC1', 'SELENOT', 'SIRT2', 'SMYD3', 'TFRC', 'TIMM50', 'TM9SF4', 'TRAPPC9', 'UVRAG', 'WNK1', 'WWTR1', 'YIF1B', 'YWHAZ']","[['ISS'], ['IMP', 'IEA'], ['NAS', 'IEA'], ['ISS', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IEA'], ['IDA', 'IC'], ['IDA', 'ISS', 'TAS'], ['IEA'], ['IDA', 'IMP', 'IGI', 'IBA', 'NAS'], ['IMP', 'IBA', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IEA'], ['IEA'], ['IMP', 'IBA', 'IEA'], ['IBA', 'IEA'], ['IBA', 'IEA'], ['IDA', 'IMP', 'TAS', 'IEA'], ['ISS', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IMP', 'ISS', 'IEA'], ['IMP', 'IBA'], ['IMP', 'IBA', 'IEA'], ['ISS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IBA', 'NAS', 'IEA'], ['IEA'], ['IDA', 'IBA'], ['IMP', 'IBA', 'IEA'], ['ISS'], ['IMP', 'IBA', 'IEA'], ['IEA'], ['IMP'], ['IBA', 'IEA'], ['ISS', 'IBA'], ['IMP', 'ISS', 'TAS', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['ISS', 'IEA'], ['IEA'], ['IPI', 'ISS', 'NAS'], ['TAS'], ['IMP'], ['TAS'], ['IMP'], ['ISS', 'IEA'], ['ISS', 'IEA'], ['ISS', 'IEA'], ['IEA'], ['IDA', 'IMP', 'IC', 'IEA'], ['IBA', 'NAS', 'IEA'], ['IMP', 'IBA', 'IEA'], ['NAS'], ['IMP'], ['IDA', 'ISS'], ['ISS', 'IEA'], ['IMP', 'ISS', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA']]"
GO:BP,GO:0043484,regulation of RNA splicing,0.016337986494139724,True,"""Any process that modulates the frequency, rate or extent of RNA splicing, the process of removing sections of the primary RNA transcript to remove sequences not present in the mature form of the RNA and joining the remaining sections to form the mature form of the RNA."" [GOC:jl]",187,191,10,21026,0.05235602094240838,0.053475935828877004,query_1,"['GO:0008380', 'GO:0010468', 'GO:0080090']","['CLNS1A', 'ENY2', 'ESRP1', 'HNRNPL', 'KHDRBS3', 'MBNL1', 'PUF60', 'RBM12B', 'RBM38', 'TRA2B']","[['NAS'], ['NAS'], ['IDA', 'IBA'], ['IMP', 'IBA', 'IEA'], ['IBA', 'IEA'], ['IDA', 'IBA'], ['IBA', 'IEA'], ['IBA'], ['IDA', 'IBA'], ['IDA', 'IMP', 'IBA', 'IEA']]"
GO:BP,GO:0051649,establishment of localization in cell,0.019504317971174034,True,"""Any process, occurring in a cell, that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."" [GOC:ai, GOC:dos, GOC:dph, GOC:tb]",2010,191,38,21026,0.19895287958115182,0.01890547263681592,query_1,"['GO:0051234', 'GO:0051641']","['ACAP2', 'ACTN4', 'AHCTF1', 'ANKRD27', 'ASPH', 'ATP6V1C1', 'BICD1', 'C2CD5', 'CCDC91', 'COPB2', 'COPG2', 'DERL1', 'ECT2', 'ENY2', 'ERC1', 'ERGIC2', 'EXOC4', 'FAM91A1', 'FYTTD1', 'GAB2', 'GOLT1B', 'HM13', 'IPO8', 'KIF3B', 'KPNA4', 'LSG1', 'LYN', 'NCBP2', 'OPA1', 'RSRC1', 'SELENOT', 'SIRT2', 'TIMM50', 'TM9SF4', 'TRAPPC9', 'WNK1', 'YIF1B', 'YWHAZ']","[['ISS'], ['IMP'], ['NAS'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IDA'], ['IEA'], ['IMP'], ['IMP', 'IBA'], ['IMP', 'IBA'], ['IBA', 'IEA'], ['IBA', 'IEA'], ['IDA', 'IMP'], ['IMP', 'ISS', 'IEA'], ['IMP', 'IBA', 'IEA'], ['ISS'], ['IDA', 'IBA', 'IEA'], ['NAS', 'IEA'], ['IDA', 'IBA'], ['IMP', 'IBA', 'IEA'], ['ISS'], ['IEA'], ['IMP'], ['IBA', 'IEA'], ['IMP', 'ISS', 'TAS', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA'], ['ISS', 'IEA'], ['IPI', 'ISS', 'NAS'], ['TAS'], ['ISS', 'IEA'], ['ISS', 'IEA'], ['ISS', 'IEA'], ['NAS'], ['IMP'], ['NAS'], ['IDA'], ['IMP', 'ISS', 'IBA', 'IEA'], ['IMP']]"
GO:BP,GO:0045184,establishment of protein localization,0.02078391014782176,True,"""The directed movement of a protein to a specific location."" [GOC:bf]",1937,191,37,21026,0.193717277486911,0.019101703665462055,query_1,"['GO:0008104', 'GO:0051234']","['ACTN4', 'AHCTF1', 'AKT2', 'ANKRD27', 'ARFGEF1', 'ASAP1', 'ASPH', 'C2CD5', 'CCDC91', 'CNST', 'COPB2', 'COPG2', 'DERL1', 'DNM1L', 'ECT2', 'ENY2', 'ERC1', 'EXOC4', 'FAM91A1', 'GOLPH3', 'GOLT1B', 'HM13', 'IPO8', 'KIF3B', 'KPNA4', 'LSG1', 'LYPLA1', 'PDIA4', 'PTP4A3', 'SELENOT', 'SMYD3', 'TFRC', 'TIMM50', 'TM9SF4', 'WNK1', 'YIF1B', 'YWHAZ']","[['IEA'], ['IEA'], ['ISS', 'IEA'], ['IEA'], ['IEA'], ['IC'], ['IDA'], ['IMP', 'IBA', 'IEA'], ['IEA'], ['IMP', 'IBA', 'IEA'], ['IBA', 'IEA'], ['IBA', 'IEA'], ['IDA', 'IMP', 'TAS', 'IEA'], ['IDA'], ['ISS', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IDA', 'IBA'], ['IMP', 'IBA', 'IEA'], ['IEA'], ['IMP'], ['IBA', 'IEA'], ['IMP'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IEA'], ['IEA'], ['TAS'], ['IMP'], ['ISS', 'IEA'], ['IEA'], ['IDA', 'IC', 'IEA'], ['IBA', 'NAS', 'IEA'], ['IMP'], ['IDA'], ['ISS', 'IEA'], ['IEA']]"
GO:BP,GO:0006403,RNA localization,0.02937499573024418,True,"""A process in which RNA is transported to, or maintained in, a specific location."" [GOC:ai]",200,191,10,21026,0.05235602094240838,0.05,query_1,['GO:0033036'],"['AHCTF1', 'BICD1', 'DHX36', 'ENY2', 'FYTTD1', 'HSF1', 'IGF2BP2', 'NCBP2', 'PRPF6', 'WNK1']","[['IEA'], ['NAS'], ['ISS', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IEA'], ['IEA'], ['IPI', 'ISS', 'NAS', 'IEA'], ['IMP'], ['IDA']]"
GO:BP,GO:0033036,macromolecule localization,0.03250092672958153,True,"""Any process in which a macromolecule is transported to, or maintained in, a specific location."" [GOC:mah]",3228,191,52,21026,0.27225130890052357,0.0161090458488228,query_1,['GO:0051179'],"['ACTN4', 'AHCTF1', 'AKT2', 'ANKRD27', 'ARFGEF1', 'ASAP1', 'ASPH', 'BICD1', 'C2CD5', 'CCDC91', 'CCNE1', 'CNST', 'COPB2', 'COPG2', 'DERL1', 'DHX36', 'DNM1L', 'ECT2', 'EFR3A', 'ENY2', 'ERC1', 'EXOC4', 'EZH2', 'FAM91A1', 'FYTTD1', 'GOLPH3', 'GOLT1B', 'HM13', 'HSF1', 'IGF2BP2', 'IPO8', 'KIF3B', 'KPNA4', 'LSG1', 'LYN', 'LYPLA1', 'NCBP2', 'PAK2', 'PDIA4', 'PLSCR1', 'PRPF6', 'PTP4A3', 'REPIN1', 'SELENOT', 'SMYD3', 'TFRC', 'TIMM50', 'TM9SF4', 'WNK1', 'WWTR1', 'YIF1B', 'YWHAZ']","[['IEA'], ['IEA'], ['IMP', 'ISS', 'IEA'], ['IEA'], ['IEA'], ['IDA', 'IC'], ['IDA'], ['IDA', 'IGI', 'IBA', 'NAS'], ['IMP', 'IBA', 'IEA'], ['IEA'], ['IEA'], ['IMP', 'IBA', 'IEA'], ['IBA', 'IEA'], ['IBA', 'IEA'], ['IDA', 'IMP', 'TAS', 'IEA'], ['ISS', 'IEA'], ['IDA', 'IMP', 'IEA'], ['ISS', 'IEA'], ['IMP', 'IBA'], ['IMP', 'IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IDA', 'IBA'], ['IMP', 'IBA', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IEA'], ['IMP'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IMP'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IEA'], ['IDA'], ['IDA', 'IEA'], ['IPI', 'ISS', 'NAS', 'IEA'], ['IMP'], ['TAS'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IMP'], ['IMP'], ['ISS'], ['ISS', 'IEA'], ['IEA'], ['IDA', 'IMP', 'IC', 'IEA'], ['IBA', 'NAS', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IDA', 'ISS'], ['ISS', 'IEA'], ['ISS', 'IEA'], ['IDA', 'IBA', 'IEA']]"
