Gene,Entrez ID,Regression Coefficient (Effect Size),P-value,Sample Size,R-squared,P-value (FDR),Significant (FDR<0.05)
AKT3,10000,0.07629582593250446,0.45636697517764435,63,0.009127802310773703,0.5295768457957112,False
HDAC6,10013,0.046733850931677,0.017917664372423904,119,0.04696465774325831,0.02946103260039805,True
PDCD6,10016,0.2418248587570622,1.832963536353655e-14,119,0.395769319453689,4.688976488346559e-13,True
CDH6,1004,0.3081532955159373,0.0015723050815170047,119,0.08218913591552723,0.003226745503113256,True
RANBP9,10048,0.12337726315789468,1.5336714639078885e-05,117,0.15063452109399234,4.765645791804173e-05,True
DNAJB6,10049,0.19012883547213172,2.893121530999615e-10,119,0.28902502593903023,2.696977698389472e-09,True
SMC4,10051,0.09537014289640013,0.04553543950772859,119,0.03374049910840826,0.0684275730307397,False
AP1M2,10053,0.08027582155897763,0.08336327011354831,119,0.02540581579207113,0.11878186156075538,False
UBA2,10054,0.168202657649076,1.1674903961820784e-09,119,0.2722183945408416,9.239132631656735e-09,True
DNM1L,10059,0.15713581332431514,6.730666729650498e-07,119,0.190970345056919,2.8808301177492403e-06,True
ABCF2,10061,0.21065654633620687,3.543718688368212e-18,119,0.4771353351401808,2.998531197850026e-16,True
SCAMP3,10067,0.15116616354604515,1.0988642101878137e-07,119,0.21491549615690098,5.396208175029442e-07,True
PQBP1,10084,0.0029932298136645975,0.865291091679889,119,0.00024699437347053266,0.8945678579397349,False
ARFRP1,10139,0.15817997977755313,0.0013375665536197662,119,0.08453409272847578,0.0027813293175458277,True
SUGP2,10147,0.16599673913043478,2.861036317462544e-06,119,0.17141297461005423,1.0318491636750159e-05,True
LPCAT3,10162,0.2568636428864288,2.5147224882376812e-08,119,0.2339404549301891,1.4468179389302505e-07,True
SORBS3,10174,0.16198081163859102,0.0005336574245594819,119,0.09782788253974062,0.0011931365183240447,True
ALG3,10195,0.26263167938931276,0.00036595549441172304,99,0.12329182024509378,0.0008448578865907259,True
CDK5,1020,0.26861660380747127,9.504394263973136e-14,119,0.3787525756143093,1.9726101302585755e-12,True
DDX39A,10212,0.20872335080426552,2.1629929021732652e-07,119,0.206040557042799,1.0081746577926236e-06,True
TIMM17B,10245,0.014628653530377669,0.6485949105213525,117,0.0018121035259445195,0.710611953758454,False
SF3B4,10262,0.045112152777777755,0.14087559273594283,119,0.018440173150261585,0.18737986941902915,False
ZMPSTE24,10269,0.2609906124497993,1.1814759552158785e-13,119,0.3764683867543861,2.4067102791434564e-12,True
AKAP8,10270,0.19615667496648145,6.561084219716286e-13,119,0.35818631896817776,1.1276863502637366e-11,True
STAG1,10274,0.02948326885880079,0.2658562488021863,119,0.010570236199472616,0.33307730487745435,False
