Biomarker_HGNC,TargetGene_HGNC,PPI_found
CDH6,PAX8,True
CDH6,UBE2H,False
SMC4,LIN54,False
SMC4,MIOS,False
DNM1L,SNAP23,False
EIF4G1,MIOS,False
PAK4,DDX39B,False
PAK4,FZR1,False
PAK4,LRFN1,False
PAK4,TIMM17A,False
NDRG1,E2F3,False
NCOA2,KRAS,False
NCOA2,NELFB,False
NCOA2,PDCD2,False
IPO8,SNAP23,False
ARFGEF1,KRAS,False
ARFGEF1,PDCD2,False
IGF2BP2,MIOS,False
SPINT2,DDX39B,False
SPINT2,FZR1,False
SPINT2,LRFN1,False
SPINT2,TIMM17A,False
SUB1,PAX8,False
SUB1,UBE2H,False
MFSD3,ESF1,False
COX20,CCNE1,False
COX20,CIT,False
COX20,PARD6B,False
COX20,SKP2,False
COX20,WDR26,False
CLNS1A,TIMM17A,False
CLNS1A,TOE1,False
FGD4,PDS5B,False
CCDC127,ZDHHC11,False
TGS1,WDR48,False
IL1RAP,LIN54,False
IL1RAP,MIOS,False
AHCTF1,VPS4B,False
DHX36,MIOS,False
PSMD8,DDX39B,False
PSMD8,FZR1,True
PSMD8,LRFN1,False
PSMD8,TIMM17A,False
ECT2,MIOS,False
TRA2B,MIOS,False
ADCK5,ESF1,False
AKT2,FZR1,False
MECOM,ACTR3,False
EZH2,TMED2,False
FH,ATXN7L3,False
FH,FBXW11,False
FH,MAEA,False
FH,SOX17,False
FH,SUPT7L,False
FH,TXNRD1,True
FH,VPS4B,False
FKBP4,DCLRE1B,False
FKBP4,TOE1,False
NCBP2,LIN54,False
NCBP2,MIOS,False
ERC1,DCLRE1B,False
ERC1,RPL28,False
SIPA1L3,DDX39B,False
SIPA1L3,FZR1,False
SIPA1L3,LRFN1,False
SIPA1L3,TIMM17A,False
RFX5,ARHGAP29,False
RFX5,RAC1,False
RFX5,TRAF2,False
RFX5,VEZF1,False
RFX5,WT1,False
RFX5,WWTR1,False
EFR3A,E2F3,False
ATP11B,MIOS,False
ACAP2,ACTR3,False
UBN2,TMED2,False
NAALADL2,CCND1,False
NAALADL2,RAF1,False
PIK3CB,MYBL2,False
PIK3CB,TIMM17A,False
WWTR1,SNAP23,False
WWTR1,TIMM17A,False
UBXN7,LIN54,False
UBXN7,MIOS,False
LSM14A,PAX8,False
FBXL6,ESF1,False
ZC3HC1,YTHDC1,False
AGO2,NHLRC2,False
GOLIM4,ACTR3,False
ALG8,TIMM17A,False
ALG8,TOE1,False
AAMDC,TIMM17A,False
AAMDC,TOE1,False
C8orf33,ESF1,False
REPIN1,TMED2,False
HLTF,TIMM17A,False
ANXA9,ARHGAP29,False
ANXA9,RAC1,False
ANXA9,SAMD4B,False
ANXA9,TRAF2,False
ANXA9,VEZF1,False
ANXA9,WT1,False
ANXA9,WWTR1,False
DGAT1,ZFP36L1,False
PDCD5,ARID2,False
PDCD5,PARD6B,False
PDCD5,PAX8,False
MATN2,NELFB,False
C8orf82,ESF1,False
MMP7,POLR2M,False
ASPH,KRAS,False
MTR,CCNE1,False
MTR,CIT,False
MTR,YTHDC1,False
NDUFB9,XRCC2,False
OPA1,LIN54,False
OPA1,MIOS,False
GOLT1B,PFDN1,False
DESI2,CIT,False
DESI2,PARD6B,False
DESI2,SKP2,False
DESI2,WDR26,False
ERGIC2,SNAP23,False
RSRC1,MIOS,False
PCF11,POLR2M,False
RAP2B,SNAP23,False
RAP2B,TIMM17A,False
RSF1,TIMM17A,False
RSF1,TOE1,False
PEPD,PARD6B,False
PEPD,PAX8,True
PIK3CA,MIOS,False
PLSCR1,TIMM17A,False
XRN1,MIOS,False
ESRP1,KRAS,True
ESRP1,METAP1,False
CHCHD3,YTHDC1,False
PPP1R2,ACTR3,False
PPP1R2,MIOS,False
GPATCH1,ARID2,False
GPATCH1,PARD6B,False
GPATCH1,PAX8,False
MED29,FZR1,False
CCDC91,SNAP23,False
ETNK1,SNAP23,False
RBM38,ARID2,False
CHD7,CDK4,False
CHD7,KRAS,False
CHD7,METAP1,False
CHD7,SCD,False
ITFG2,TOE1,False
CCNL1,MIOS,False
RASA2,MIOS,False
RASA2,SNAP23,False
EXOC4,YTHDC1,False
BDH1,MIOS,False
BICD1,SNAP23,False
SDHA,ZDHHC11,False
GOLPH3,PAX8,False
GOLPH3,UBE2H,False
TFB2M,ARPC2,False
TFB2M,ATXN7L3,False
TFB2M,FBXW11,False
TFB2M,XPR1,False
NOM1,DNM1L,False
NOM1,TMED2,False
NOM1,YTHDC1,False
SMYD3,ARPC2,False
SMYD3,ATXN7L3,False
SMYD3,FBXW11,False
SMYD3,MAEA,False
SMYD3,SOX17,False
SMYD3,VPS4B,False
FNDC3B,MIOS,False
ST6GAL1,MIOS,False
ST3GAL1,E2F3,False
WNK1,RPL28,False
SUPT5H,FZR1,False
UBE2H,YTHDC1,False
UVRAG,APC,False
UVRAG,MPHOSPH6,False
UVRAG,RICTOR,False
UVRAG,TOMM20,False
UVRAG,ZNF780B,False
PPFIBP1,PFDN1,False
PPFIBP1,SNAP23,False
RHPN2,PAX8,False
GFM1,LIN54,False
CCNE1,CCNE1,False
TNFSF10,MIOS,False
TIMM50,FZR1,False
PDIA4,TMED2,False
GAB2,PAX8,False
GAB2,TIMM17A,False
GAB2,TOE1,False
