Biomarker,Biomarker_HGNC,BiomarkerCluster,BiomarkerCluster_HGNC,TargetGene,TargetGene_HGNC,OncogeneAddiction,Beta,T-stat,P-value,EffectSize,CI_Lower,CI_Upper,n_Lines,MeanCNA,MeanEffect,MeanEffect_CNA6plus,PredictedEffect_CNA2,DeltaEffect_CNA6minusPred2,FDR
1004,CDH6,"1004, 55322","CDH6, C5orf22",7849,PAX8,False,-0.1973219045173581,-4.376055215042171,1.208464143455598e-05,-0.3013206276065786,-0.285699177474401,-0.1089446315603151,17,3.941176470588236,-0.9158601685259526,-1.356943183417135,-0.5328235303451986,-0.8241196530719365,0.0043931524598088
1004,CDH6,"1004, 55322","CDH6, C5orf22",7328,UBE2H,False,-0.1150450486126995,-3.915590644519028,9.018315326002258e-05,-0.3580577530120851,-0.1726312909836121,-0.0574588062417868,17,3.941176470588236,-0.4821061623987265,-0.8643074202770387,-0.2587834209740746,-0.6055239993029641,0.0194570669900709
10051,SMC4,"10051, 3840, 51068, 8706","SMC4, KPNA4, NMD3, B3GALNT1",132660,LIN54,False,-0.1029270979522504,-4.28417239109199,1.8342065720523585e-05,-0.3795471019536576,-0.1500151669195726,-0.0558390289849282,17,4.588235294117647,-0.2904857359912964,-0.5739113634094696,-0.0240861883501777,-0.5498251750592918,0.0058705194431996
10051,SMC4,"10051, 3840, 51068, 8706","SMC4, KPNA4, NMD3, B3GALNT1",54468,MIOS,False,-0.1139741928325117,-3.5993260381452736,0.0003190429787689,-0.353593736045602,-0.1760372876317414,-0.0519110980332819,17,4.588235294117647,-0.5019553118618226,-0.7830068450079741,-0.2069632833541455,-0.5760435616538286,0.0484817003825912
10059,DNM1L,"10059, 51067","DNM1L, YARS2",8773,SNAP23,False,-0.2215780179528575,-4.364874934976555,1.2719550960462078e-05,-0.3729792296267877,-0.3210734081811924,-0.1220826277245226,17,4.0,-0.6531398241662092,-1.316672664644812,-0.2099837882604944,-1.1066888763843177,0.0045759224477386
10195,EIF4G1,"10195, 1857, 1962, 1981, 2049, 5437, 55324, 55486, 5708, 8893, 9718","ALG3, DVL3, EHHADH, EIF4G1, EPHB3, POLR2H, ABCF3, PARL, PSMD2, EIF2B5, ECE2",54468,MIOS,False,-0.1534799864658127,-3.921531148699128,8.798807150395873e-05,-0.4761565796076821,-0.2301886072606458,-0.0767713656709795,17,4.0588235294117645,-0.5019553118618226,-0.8623041896775143,-0.1859671044322082,-0.6763370852453061,0.0191332628798896
10298,PAK4,"10298, 22933, 4793, 6183","PAK4, SIRT2, NFKBIB, MRPS12",7919,DDX39B,False,-0.1609658143939273,-7.610072127588906,2.739430008020648e-14,-0.355844618992334,-0.2024223464300056,-0.1195092823578489,17,4.041842194451983,-0.7709075815384515,-1.4408280235605273,-0.4422407898446045,-0.9985872337159228,1.2528662991243486e-10
10298,PAK4,"10298, 22933, 4793, 6183","PAK4, SIRT2, NFKBIB, MRPS12",51343,FZR1,False,-0.1553794793756741,-13.62489783449033,2.848085647426548e-42,-0.3217305877469128,-0.1777310732894274,-0.1330278854619207,17,4.041842194451983,-0.3081703341787889,-0.8808277133228545,0.0090900429624442,-0.8899177562852987,1.4849178063413689e-37
10298,PAK4,"10298, 22933, 4793, 6183","PAK4, SIRT2, NFKBIB, MRPS12",57622,LRFN1,False,-0.0799680691692144,-4.52223979718682,6.118868249938377e-06,-0.3193394244719024,-0.114626676964044,-0.0453094613743847,17,4.041842194451983,-0.1643239043003281,-0.5087331813172594,-0.0010417264617713,-0.5076914548554881,0.0025810831836111
10298,PAK4,"10298, 22933, 4793, 6183","PAK4, SIRT2, NFKBIB, MRPS12",10440,TIMM17A,False,-0.1461180406674812,-6.880619207985336,5.959295301313905e-12,-0.2966747746340888,-0.1877401808474602,-0.1044959004875021,17,4.041842194451983,-0.3878870846132758,-0.9965691132867784,-0.089537103807762,-0.9070320094790164,1.6704417357135675e-08
10397,NDRG1,10397,NDRG1,1871,E2F3,False,-0.0881259331817887,-4.195772830941972,2.719427110330964e-05,-0.2385015988191496,-0.129292045385607,-0.0469598209779705,17,4.778054606541382,-0.390149628137926,-0.8318928865354852,-0.1453309735064994,-0.6865619130289857,0.0079094414769376
10499,NCOA2,10499,NCOA2,3845,KRAS,False,-0.2224615282341573,-3.59531151373546,0.0003240036429729,-0.3095070796713781,-0.3437351874480917,-0.1011878690202229,17,4.294117647058823,-0.6180870444254417,-1.1285901394218352,-0.1077341267117865,-1.0208560127100488,0.0489448563346742
10499,NCOA2,10499,NCOA2,25920,NELFB,False,-0.142202913133015,-3.7915244044775904,0.0001497254322041,-0.3222864710847078,-0.2157122878605633,-0.0686935384054668,17,4.294117647058823,-0.8751446092754065,-1.060675715691887,-0.5489143967937835,-0.5117613188981034,0.0286563246670336
10499,NCOA2,10499,NCOA2,5134,PDCD2,False,-0.1932396040652886,-3.874193405303108,0.0001069784301741,-0.3549333745844786,-0.2909999956441684,-0.0954792124864088,17,4.294117647058823,-0.9716258526174696,-1.469553092843502,-0.5283114668206308,-0.9412416260228712,0.0220981664237768
10526,IPO8,10526,IPO8,8773,SNAP23,False,-0.2083441905673125,-4.067789136281327,4.746129944950431e-05,-0.3507029100312013,-0.3087297061924866,-0.1079586749421385,17,4.0588235294117645,-0.6531398241662092,-1.2862360355324065,-0.2241959024099774,-1.0620401331224292,0.0119830932393151
10565,ARFGEF1,10565,ARFGEF1,3845,KRAS,False,-0.2172237977509203,-3.746029507044931,0.0001796554689195,-0.3022199110591671,-0.3308776863217746,-0.1035699091800661,17,4.029411764705882,-0.6180870444254417,-1.2256601290101772,-0.1772505136956324,-1.0484096153145448,0.0326623684888329
10565,ARFGEF1,10565,ARFGEF1,5134,PDCD2,False,-0.1979813711591395,-3.993683634312796,6.505465192872542e-05,-0.3636428283439962,-0.2951438889279113,-0.1008188533903676,17,4.029411764705882,-0.9716258526174696,-1.4269549309258835,-0.5698401287945098,-0.8571148021313737,0.0151148859601993
10644,IGF2BP2,10644,IGF2BP2,54468,MIOS,False,-0.1501298181569872,-4.576618051835838,4.725530924169013e-06,-0.4657630115616245,-0.2144238084486194,-0.0858358278653549,17,4.029411764705882,-0.5019553118618226,-0.8623041896775143,-0.1972800926608781,-0.6650240970166361,0.0021023446837593
10653,SPINT2,"10653, 64073, 90522, 94274","SPINT2, C19orf33, YIF1B, PPP1R14A",7919,DDX39B,False,-0.1609658143939273,-7.610072127588906,2.739430008020648e-14,-0.355844618992334,-0.2024223464300056,-0.1195092823578489,17,4.041842194451983,-0.7709075815384515,-1.4408280235605273,-0.4422407898446045,-0.9985872337159228,1.2528662991243486e-10
10653,SPINT2,"10653, 64073, 90522, 94274","SPINT2, C19orf33, YIF1B, PPP1R14A",51343,FZR1,False,-0.1553794793756741,-13.62489783449033,2.848085647426548e-42,-0.3217305877469128,-0.1777310732894274,-0.1330278854619207,17,4.041842194451983,-0.3081703341787889,-0.8808277133228545,0.0090900429624442,-0.8899177562852987,1.4849178063413689e-37
10653,SPINT2,"10653, 64073, 90522, 94274","SPINT2, C19orf33, YIF1B, PPP1R14A",57622,LRFN1,False,-0.0799680691692144,-4.52223979718682,6.118868249938377e-06,-0.3193394244719024,-0.114626676964044,-0.0453094613743847,17,4.041842194451983,-0.1643239043003281,-0.5087331813172594,-0.0010417264617713,-0.5076914548554881,0.0025810831836111
10653,SPINT2,"10653, 64073, 90522, 94274","SPINT2, C19orf33, YIF1B, PPP1R14A",10440,TIMM17A,False,-0.1461180406674812,-6.880619207985336,5.959295301313905e-12,-0.2966747746340888,-0.1877401808474602,-0.1044959004875021,17,4.041842194451983,-0.3878870846132758,-0.9965691132867784,-0.089537103807762,-0.9070320094790164,1.6704417357135675e-08
10923,SUB1,"10923, 134218, 26064, 51663, 54545","SUB1, DNAJC21, RAI14, ZFR, MTMR12",7849,PAX8,False,-0.1963828103825735,-4.210075388315688,2.5528548902488187e-05,-0.2998865828928552,-0.2878071199331418,-0.1049585008320051,17,4.0,-0.9158601685259526,-1.356943183417135,-0.5230945477608056,-0.8338486356563295,0.007545307060933
10923,SUB1,"10923, 134218, 26064, 51663, 54545","SUB1, DNAJC21, RAI14, ZFR, MTMR12",7328,UBE2H,False,-0.1146475831002248,-3.6453493789160585,0.0002670287765802,-0.3568207105664288,-0.1762891736403939,-0.0530059925600556,17,4.0,-0.4821061623987265,-0.8643074202770387,-0.252810996198277,-0.6114964240787616,0.0431829594791459
113655,MFSD3,113655,MFSD3,51575,ESF1,False,-0.0951111428407752,-4.384538224707915,1.1623207283349177e-05,-0.3342366635683905,-0.1376274592560078,-0.0525948264255425,17,4.764705882352941,-0.7700897669685247,-1.082374970920695,-0.507135430879323,-0.5752395400413719,0.0042496760688281
116228,COX20,116228,COX20,898,CCNE1,False,-0.2234917650477164,-3.941749732594311,8.088935447800838e-05,-0.3504016777370805,-0.3346190156472904,-0.1123645144481424,17,3.823529411764706,-0.6425779353343016,-1.3103930320890949,-0.2350341284825838,-1.075358903606511,0.0180152098682687
116228,COX20,116228,COX20,11113,CIT,False,-0.1462075723324851,-5.016930432952045,5.250356806230684e-07,-0.4802681221846507,-0.2033264779797552,-0.089088666685215,17,3.823529411764706,-0.3459937335749832,-0.8241726079098313,-0.0793799252039809,-0.7447926827058504,0.0003513991693827
116228,COX20,116228,COX20,84612,PARD6B,False,-0.1911015564897822,-4.519779443977659,6.190408843756145e-06,-0.449281770206106,-0.2739711240764459,-0.1082319889031185,17,3.823529411764706,-0.5091554782358927,-0.9257146491070902,-0.1606761693427607,-0.7650384797643295,0.002604938031077
116228,COX20,116228,COX20,6502,SKP2,False,-0.1578322079321076,-4.391937066582571,1.123452217932599e-05,-0.332365633498679,-0.2282670612684907,-0.0873973545957245,17,3.823529411764706,-0.8703113710825862,-1.3668319652678451,-0.5824996977946252,-0.7843322674732199,0.0041472260902148
116228,COX20,116228,COX20,80232,WDR26,False,-0.1123515256991201,-3.622803868467239,0.000291426795311,-0.4023009432354618,-0.1731345412785883,-0.0515685101196519,17,3.823529411764706,-0.577986773113583,-0.9282347475238272,-0.3731104615445993,-0.5551242859792277,0.0457382161283847
1207,CLNS1A,1207,CLNS1A,10440,TIMM17A,False,-0.0521135628832123,-5.374667877080376,7.672397071305772e-08,-0.1058102028546927,-0.0711176592651908,-0.0331094665012337,17,6.5470671599088055,-0.3878870846132758,-0.8273687682263264,-0.1509232142411785,-0.6764455539851479,7.117772865934118e-05
1207,CLNS1A,1207,CLNS1A,114034,TOE1,False,-0.0299297208230409,-4.757663333749188,1.9584677537525293e-06,-0.060376980080443,-0.0422595497254723,-0.0175998919206096,17,6.5470671599088055,-0.7187744888069909,-1.1774861203891258,-0.5826820381473025,-0.5948040822418234,0.0010309050823168
121512,FGD4,121512,FGD4,23047,PDS5B,False,-0.1334017508987702,-4.25686580461793,2.0731270647153355e-05,-0.5730056563104379,-0.1948231438288771,-0.0719803579686633,17,3.4705882352941178,-0.2245537160650716,-0.5817065879592581,-0.0283746706257035,-0.5533319173335546,0.0064529823894859
