Biomarker,Target,Tractability_Flags,Tractability_Interpretation,Known_Drugs,Approved Drug,Advanced Clinical,Phase 1 Clinical,Clinical Precedence,Structure with Ligand,High-Quality Ligand,High-Quality Pocket,Druggable Family
CDH6,PAX8,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
CDH6,SMARCA5,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
CDH6,UBE2H,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,0,0,1,0
KPNA4,LIN54,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
SMC4,MIOS,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
SMC4,MYBL2,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
YARS2,BRPF1,2,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,1,0,0
DNM1L,CITED2,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
DNM1L,SNAP23,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
DNM1L,SPAG5,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
PRPF6,RELA,4,MODERATE tractability (clinical-stage target),EDASALONEXENT,0,1,0,0,1,1,0,1
PSMD2,MIOS,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
NFKBIB,CENPI,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
PAK4,DDX39B,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
SIRT2,DPRX,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
SIRT2,FZR1,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
MRPS12,LIN52,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
PAK4,LIN54,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
PAK4,LRFN1,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
PAK4,MIB1,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
MRPS12,MRPS9,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
SIRT2,PRR13,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
MRPS12,TIMM17A,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
PAK4,ZNF780B,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
NDRG1,E2F3,0,LOW tractability (no tractability evidence),EDIFOLIGIDE SODIUM,0,0,0,0,0,0,0,0
NDRG1,ESF1,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
CPQ,COX20,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
TCEA1,DDA1,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
TCEA1,HAPSTR1,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
TCEA1,KIF2C,2,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,1,0,0
LYPLA1,RAB6A,2,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
LYPLA1,SLC4A7,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
TCEA1,TTC4,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
NCOA2,HSF1,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,0,1,0,0
NCOA2,KRAS,3,HIGH tractability (approved drug exists),ADAGRASIB; SOTORASIB,1,0,0,0,1,1,0,0
NCOA2,NELFB,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
NCOA2,PDCD2,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
