ensembl_gene_id	approved_symbol	SM_B1_Approved Drug	SM_B2_Advanced Clinical	SM_B3_Phase 1 Clinical	SM_B4_Structure with Ligand	SM_B5_High-Quality Ligand	SM_B6_High-Quality Pocket	SM_B7_Med-Quality Pocket	SM_B8_Druggable Family	AB_B1_Approved Drug	AB_B2_Advanced Clinical	AB_B3_Phase 1 Clinical	AB_B4_UniProt loc high conf	AB_B5_GO CC high conf	AB_B6_UniProt loc med conf	AB_B7_UniProt SigP or TMHMM	AB_B8_GO CC med conf	AB_B9_Human Protein Atlas loc	PR_B1_Approved Drug	PR_B2_Advanced Clinical	PR_B3_Phase 1 Clinical	PR_B4_Literature	PR_B5_UniProt Ubiquitination	PR_B6_Database Ubiquitination	PR_B7_Half-life Data	PR_B8_Small Molecule Binder	OC_B1_Approved Drug	OC_B2_Advanced Clinical	OC_B3_Phase 1 Clinical	Bucket_sum_sm	Top_bucket_sm	Top_Category_sm	Bucket_sum_ab	Top_bucket_ab	Top_Category_ab	Bucket_sum_PROTAC	Top_bucket_PROTAC	Top_Category_PROTAC	Bucket_sum_othercl	Top_bucket_othercl	Top_Category_othercl
ENSG00000124608	AARS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Unknown	0	0	Unknown	0	0	Unknown	0	0	Unknown
ENSG00000131473	ACLY	1	0	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	Clinical_Precedence_sm	1	5	Predicted_Tractable_ab_High_confidence	0	0	Unknown	0	0	Unknown
ENSG00000115091	ACTR3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	Discovery_Precedence_sm	0	0	Unknown	0	0	Unknown	0	0	Unknown
ENSG00000109107	ALDOC	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	Predicted_Tractable_sm	1	5	Predicted_Tractable_ab_High_confidence	0	0	Unknown	0	0	Unknown
ENSG00000134982	APC	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	4	Discovery_Precedence_sm	3	4	Predicted_Tractable_ab_High_confidence	0	0	Unknown	0	0	Unknown
ENSG00000105290	APLP1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	4	Discovery_Precedence_sm	4	5	Predicted_Tractable_ab_High_confidence	0	0	Unknown	0	0	Unknown
ENSG00000137962	ARHGAP29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Unknown	1	9	Predicted_Tractable_ab_Medium_to_low_confidence	0	0	Unknown	0	0	Unknown
ENSG00000117713	ARID1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Unknown	0	0	Unknown	0	0	Unknown	0	0	Unknown
ENSG00000189079	ARID2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	Discovery_Precedence_sm	1	5	Predicted_Tractable_ab_High_confidence	0	0	Unknown	0	0	Unknown
ENSG00000163466	ARPC2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	4	Discovery_Precedence_sm	1	8	Predicted_Tractable_ab_Medium_to_low_confidence	0	0	Unknown	0	0	Unknown
ENSG00000241553	ARPC4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	Discovery_Precedence_sm	0	0	Unknown	0	0	Unknown	0	0	Unknown
ENSG00000156802	ATAD2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	Discovery_Precedence_sm	0	0	Unknown	0	0	Unknown	0	0	Unknown
ENSG00000070961	ATP2B1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Unknown	5	4	Predicted_Tractable_ab_High_confidence	0	0	Unknown	0	0	Unknown
ENSG00000165629	ATP5F1C	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	Discovery_Precedence_sm	1	6	Predicted_Tractable_ab_Medium_to_low_confidence	0	0	Unknown	0	0	Unknown
ENSG00000159199	ATP5MC1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	Discovery_Precedence_sm	1	7	Predicted_Tractable_ab_Medium_to_low_confidence	0	0	Unknown	0	0	Unknown
ENSG00000087152	ATXN7L3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Unknown	1	9	Predicted_Tractable_ab_Medium_to_low_confidence	0	0	Unknown	0	0	Unknown
ENSG00000074582	BCS1L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Unknown	1	7	Predicted_Tractable_ab_Medium_to_low_confidence	0	0	Unknown	0	0	Unknown
ENSG00000110330	BIRC2	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	Clinical_Precedence_sm	0	0	Unknown	0	0	Unknown	0	0	Unknown
ENSG00000112983	BRD8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Unknown	0	0	Unknown	0	0	Unknown	0	0	Unknown
